#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
90370,7708554,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacillus typhi; Bacterium (subgen. Eberthella) typhi; Salmonella choleraesuis serovar Typhi; Salmonella choleraesuis typhi; Salmonella enterica ser. typhi; Salmonella enterica serotype Typhi; Salmonella enterica serovar Typhi; Salmonella typhi).,other,-,-,-,-,20210220,-
90370,39664600,SM268103_RS24855,SM268103_RS24855,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39664607,SM268103_RS25200,SM268103_RS25200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39664654,SM268103_RS25095,SM268103_RS25095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39664670,SM268103_RS25175,SM268103_RS25175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39664715,SM223175_RS24450,SM223175_RS24450,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190410,-
90370,39664751,SM223175_RS24535,SM223175_RS24535,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39664771,SM223175_RS24810,SM223175_RS24810,SM223175_07018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39664810,SM223175_RS24770,SM223175_RS24770,SM223175_07076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
90370,39664811,SM223175_RS24560,SM223175_RS24560,SM223175_06979,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
90370,39664815,SM223175_RS24520,SM223175_RS24520,SM223175_06962,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190407,-
90370,39664820,SM231186_RS25065,SM231186_RS25065,SM231186_07154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
