#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1636547,40080023,FDH87_gp002,FDH87_gp002,TIN4_2,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20200910,-
1636547,40080024,FDH87_gp003,FDH87_gp003,TIN4_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080025,FDH87_gp004,FDH87_gp004,TIN4_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080026,FDH87_gp005,FDH87_gp005,TIN4_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080027,FDH87_gp006,FDH87_gp006,TIN4_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080028,FDH87_gp007,FDH87_gp007,TIN4_7,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
1636547,40080029,FDH87_gp008,FDH87_gp008,TIN4_8,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20200910,-
1636547,40080030,FDH87_gp009,FDH87_gp009,TIN4_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080031,FDH87_gp010,FDH87_gp010,TIN4_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080032,FDH87_gp011,FDH87_gp011,TIN4_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080033,FDH87_gp012,FDH87_gp012,TIN4_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080034,FDH87_gp013,FDH87_gp013,TIN4_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080035,FDH87_gp014,FDH87_gp014,TIN4_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080036,FDH87_gp015,FDH87_gp015,TIN4_15,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20200910,-
1636547,40080037,FDH87_gt001,FDH87_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1636547,40080038,FDH87_gp107,FDH87_gp107,TIN4_18,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20200910,-
1636547,40080039,FDH87_gp108,FDH87_gp108,TIN4_16,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20200910,-
1636547,40080040,FDH87_gp106,FDH87_gp106,TIN4_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080041,FDH87_gp105,FDH87_gp105,TIN4_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080042,FDH87_gp104,FDH87_gp104,TIN4_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080043,FDH87_gp103,FDH87_gp103,TIN4_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080044,FDH87_gp001,FDH87_gp001,TIN4_1,-,-,-,putative small terminase subunit,protein-coding,-,-,-,putative small terminase subunit,20200910,-
1636547,40080045,FDH87_gp102,FDH87_gp102,TIN4_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080046,FDH87_gp101,FDH87_gp101,TIN4_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080047,FDH87_gp100,FDH87_gp100,TIN4_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080048,FDH87_gp099,FDH87_gp099,TIN4_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080049,FDH87_gp098,FDH87_gp098,TIN4_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080050,FDH87_gp097,FDH87_gp097,TIN4_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080051,FDH87_gp096,FDH87_gp096,TIN4_29,-,-,-,putative lysozyme,protein-coding,-,-,-,putative lysozyme,20200910,-
1636547,40080052,FDH87_gp095,FDH87_gp095,TIN4_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080053,FDH87_gp094,FDH87_gp094,TIN4_31,-,-,-,putative peptidase,protein-coding,-,-,-,putative peptidase,20200910,-
1636547,40080054,FDH87_gp093,FDH87_gp093,TIN4_32,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200910,-
1636547,40080055,FDH87_gp092,FDH87_gp092,TIN4_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080056,FDH87_gp091,FDH87_gp091,TIN4_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080057,FDH87_gp090,FDH87_gp090,TIN4_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080058,FDH87_gp089,FDH87_gp089,TIN4_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080059,FDH87_gp088,FDH87_gp088,TIN4_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080060,FDH87_gp087,FDH87_gp087,TIN4_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080061,FDH87_gp086,FDH87_gp086,TIN4_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080062,FDH87_gp085,FDH87_gp085,TIN4_40,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200910,-
1636547,40080063,FDH87_gp084,FDH87_gp084,TIN4_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080064,FDH87_gp083,FDH87_gp083,TIN4_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080065,FDH87_gp082,FDH87_gp082,TIN4_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080066,FDH87_gp081,FDH87_gp081,TIN4_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080067,FDH87_gp080,FDH87_gp080,TIN4_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1636547,40080068,FDH87_gp079,FDH87_gp079,TIN4_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
