#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1701826,30309846,BOW99_gp02,BOW99_gp02,phiARI0462_2,-,-,-,N-acetylmuramoyl-L-alanine amidase LytA,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase LytA,20201221,-
1701826,30309847,BOW99_gp03,BOW99_gp03,phiARI0462_3,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
1701826,30309848,BOW99_gp04,BOW99_gp04,phiARI0462_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701826,30309849,BOW99_gp05,BOW99_gp05,phiARI0462_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701826,30309850,BOW99_gp06,BOW99_gp06,phiARI0462_6,-,-,-,peptidase_S74 domain protein,protein-coding,-,-,-,peptidase_S74 domain protein,20200629,-
1701826,30309851,BOW99_gp07,BOW99_gp07,phiARI0462_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701826,30309852,BOW99_gp08,BOW99_gp08,phiARI0462_8,-,-,-,TMP repeat family protein,protein-coding,-,-,-,TMP repeat family protein,20201221,-
1701826,30309853,BOW99_gp09,BOW99_gp09,phiARI0462_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701826,30309854,BOW99_gp10,BOW99_gp10,phiARI0462_10,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1701826,30309855,BOW99_gp11,BOW99_gp11,phiARI0462_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701826,30309856,BOW99_gp12,BOW99_gp12,phiARI0462_12,-,-,-,HK97 gp10 familygprotein,protein-coding,-,-,-,HK97 gp10 familygprotein,20201221,-
1701826,30309857,BOW99_gp13,BOW99_gp13,phiARI0462_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701826,30309858,BOW99_gp14,BOW99_gp14,phiARI0462_14,-,-,-,sugar-binding protein,protein-coding,-,-,-,sugar-binding protein,20201221,-
1701826,30309859,BOW99_gp15,BOW99_gp15,phiARI0462_15,-,-,-,DUF4355 domain-containing protein,protein-coding,-,-,-,DUF4355 domain-containing protein,20210129,-
1701826,30309860,BOW99_gp16,BOW99_gp16,phiARI0462_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701826,30309861,BOW99_gp17,BOW99_gp17,phiARI0462_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701826,30309862,BOW99_gp18,BOW99_gp18,phiARI0462_18,-,-,-,HD domain-containing protein,protein-coding,-,-,-,HD domain-containing protein,20201221,-
1701826,30309863,BOW99_gp19,BOW99_gp19,phiARI0462_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1701826,30309864,BOW99_gp20,BOW99_gp20,phiARI0462_20,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1701826,30309865,BOW99_gp21,BOW99_gp21,phiARI0462_21,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1701826,30309866,BOW99_gp22,BOW99_gp22,phiARI0462_22,-,-,-,terminase_3 domain protein,protein-coding,-,-,-,terminase_3 domain protein,20200629,-
1701826,30309867,BOW99_gp23,BOW99_gp23,phiARI0462_23,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1701826,30309868,BOW99_gt01,BOW99_gt01,phiARI0462_24,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
