#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1051616,26834848,atp9,AYB92_gp14,-,-,MT,-,ATP synthase F0 subunit 9,protein-coding,-,-,-,ATP synthase F0 subunit 9,20210417,-
1051616,26834849,AYB92_gt02,AYB92_gt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834850,AYB92_gt04,AYB92_gt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834851,AYB92_gt08,AYB92_gt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834852,atp8,AYB92_gp10,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,ATP synthase F0 subunit 8,20190406,-
1051616,26834853,nadh4,AYB92_gp09,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20190406,-
1051616,26834854,nadh1,AYB92_gp08,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20190406,-
1051616,26834855,AYB92_gt10,AYB92_gt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834856,nadh2,AYB92_gp06,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20190406,-
1051616,26834857,AYB92_gt13,AYB92_gt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834858,AYB92_gr01,AYB92_gr01,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
1051616,26834859,AYB92_gt25,AYB92_gt25,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834860,nadh5,AYB92_gp02,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20190406,-
1051616,26834861,nadh4L,AYB92_gp01,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20190406,-
1051616,26834862,coxII,AYB92_gp15,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,cytochrome c oxidase subunit 2,20190406,-
1051616,26834863,AYB92_gt03,AYB92_gt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834864,nadh6,AYB92_gp13,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20190406,-
1051616,26834865,AYB92_gt05,AYB92_gt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834866,AYB92_gt06,AYB92_gt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834867,AYB92_gt07,AYB92_gt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834868,coxIII,AYB92_gp12,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,cytochrome c oxidase subunit 3,20190406,-
1051616,26834869,AYB92_gt09,AYB92_gt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834870,AYB92_gr03,AYB92_gr03,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
1051616,26834871,atp6,AYB92_gp11,-,-,MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,ATP synthase F0 subunit 6,20190406,-
1051616,26834872,AYB92_gt11,AYB92_gt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834873,AYB92_gt12,AYB92_gt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834874,nadh3,AYB92_gp07,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20190406,-
1051616,26834875,AYB92_gt14,AYB92_gt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834876,AYB92_gt15,AYB92_gt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834877,AYB92_gt16,AYB92_gt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834878,AYB92_gt17,AYB92_gt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834879,AYB92_gt18,AYB92_gt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834880,AYB92_gt19,AYB92_gt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834881,AYB92_gt20,AYB92_gt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834882,AYB92_gt21,AYB92_gt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834883,AYB92_gt22,AYB92_gt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834884,AYB92_gt23,AYB92_gt23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834885,AYB92_gr02,AYB92_gr02,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
1051616,26834886,rps3,AYB92_gp05,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,ribosomal protein S3,20190406,-
1051616,26834887,AYB92_gt24,AYB92_gt24,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
1051616,26834888,coxI,AYB92_gp04,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,cytochrome c oxidase subunit 1,20190406,-
1051616,26834889,AYB92_gt26,AYB92_gt26,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
