#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1173752,40094442,FDI93_gp02,FDI93_gp02,SP101_00010,-,-,-,phage structural protein,protein-coding,-,-,-,phage structural protein,20200629,-
1173752,40094443,FDI93_gp03,FDI93_gp03,SP101_00015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094444,FDI93_gp04,FDI93_gp04,SP101_00020,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20200629,-
1173752,40094445,FDI93_gp05,FDI93_gp05,SP101_00025,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
1173752,40094446,FDI93_gp06,FDI93_gp06,SP101_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094447,FDI93_gp07,FDI93_gp07,SP101_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094448,FDI93_gp08,FDI93_gp08,SP101_00040,-,-,-,coat protein,protein-coding,-,-,-,coat protein,20200629,-
1173752,40094449,FDI93_gp09,FDI93_gp09,SP101_00045,-,-,-,putative head protein,protein-coding,-,-,-,putative head protein,20200629,-
1173752,40094450,FDI93_gp10,FDI93_gp10,SP101_00050,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
1173752,40094451,FDI93_gp11,FDI93_gp11,SP101_00055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094452,FDI93_gp12,FDI93_gp12,SP101_00060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094453,FDI93_gp13,FDI93_gp13,SP101_00065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094454,FDI93_gp14,FDI93_gp14,SP101_00070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094455,FDI93_gp15,FDI93_gp15,SP101_00075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094456,FDI93_gp16,FDI93_gp16,SP101_00080,-,-,-,phage tail protein,protein-coding,-,-,-,phage tail protein,20210417,-
1173752,40094457,FDI93_gp17,FDI93_gp17,SP101_00085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1173752,40094458,FDI93_gp18,FDI93_gp18,SP101_00090,-,-,-,putative DNA-binding protein,protein-coding,-,-,-,putative DNA-binding protein,20210417,-
1173752,40094459,FDI93_gp19,FDI93_gp19,SP101_00095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094460,FDI93_gp20,FDI93_gp20,SP101_00100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094461,FDI93_gp21,FDI93_gp21,SP101_00105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1173752,40094462,FDI93_gp22,FDI93_gp22,SP101_00110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1173752,40094463,FDI93_gp23,FDI93_gp23,SP101_00115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094464,FDI93_gp24,FDI93_gp24,SP101_00120,-,-,-,putative tail measure protein,protein-coding,-,-,-,putative tail measure protein,20200629,-
1173752,40094465,FDI93_gp25,FDI93_gp25,SP101_00125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094466,FDI93_gp26,FDI93_gp26,SP101_00130,-,-,-,enolase-like protein,protein-coding,-,-,-,enolase-like protein,20200629,-
1173752,40094467,FDI93_gp27,FDI93_gp27,SP101_00135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094468,FDI93_gp28,FDI93_gp28,SP101_00140,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1173752,40094469,FDI93_gp29,FDI93_gp29,SP101_00145,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1173752,40094470,FDI93_gp30,FDI93_gp30,SP101_00150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094471,FDI93_gp31,FDI93_gp31,SP101_00155,-,-,-,helicase,protein-coding,-,-,-,helicase,20200629,-
1173752,40094472,FDI93_gp32,FDI93_gp32,SP101_00160,-,-,-,Dcm,protein-coding,-,-,-,Dcm,20200629,-
1173752,40094473,FDI93_gp33,FDI93_gp33,SP101_00165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094474,FDI93_gp34,FDI93_gp34,SP101_00170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094475,FDI93_gp35,FDI93_gp35,SP101_00175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094476,FDI93_gp36,FDI93_gp36,SP101_00180,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200629,-
1173752,40094477,FDI93_gp37,FDI93_gp37,SP101_00185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094478,FDI93_gp38,FDI93_gp38,SP101_00190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094479,FDI93_gp39,FDI93_gp39,SP101_00195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094480,FDI93_gp40,FDI93_gp40,SP101_00200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094481,FDI93_gp41,FDI93_gp41,SP101_00205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094482,FDI93_gp42,FDI93_gp42,SP101_00210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094483,FDI93_gp43,FDI93_gp43,SP101_00215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1173752,40094484,FDI93_gp44,FDI93_gp44,SP101_00220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094485,FDI93_gp45,FDI93_gp45,SP101_00225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094486,FDI93_gp46,FDI93_gp46,SP101_00230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094487,FDI93_gp47,FDI93_gp47,SP101_00235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094488,FDI93_gp48,FDI93_gp48,SP101_00240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094489,FDI93_gp49,FDI93_gp49,SP101_00245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094490,FDI93_gp50,FDI93_gp50,SP101_00250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094491,FDI93_gp51,FDI93_gp51,SP101_00255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173752,40094492,FDI93_gp52,FDI93_gp52,SP101_00260,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20200629,-
1173752,40094493,FDI93_gp53,FDI93_gp53,SP101_00265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
