#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2772094,65131947,KNV61_gs01,KNV61_gs01,-,-,-,-,miscRNA,miscRNA,-,-,-,-,20210608,-
2772094,65131948,KNV61_gp74,KNV61_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131949,KNV61_gp57,KNV61_gp57,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20210608,-
2772094,65131950,KNV61_gt04,KNV61_gt04,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2772094,65131951,KNV61_gp73,KNV61_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131952,KNV61_gp72,KNV61_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131953,KNV61_gp71,KNV61_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131954,KNV61_gp70,KNV61_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131955,KNV61_gp69,KNV61_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131956,KNV61_gp68,KNV61_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131957,KNV61_gp67,KNV61_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131958,KNV61_gp66,KNV61_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131959,KNV61_gp65,KNV61_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131960,KNV61_gp64,KNV61_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131961,KNV61_gp63,KNV61_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131962,KNV61_gp62,KNV61_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131963,KNV61_gp61,KNV61_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131964,KNV61_gp60,KNV61_gp60,-,-,-,-,chaperonin,protein-coding,-,-,-,chaperonin,20210608,-
2772094,65131965,KNV61_gp59,KNV61_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131966,KNV61_gp58,KNV61_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131967,KNV61_gt02,KNV61_gt02,-,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2772094,65131968,KNV61_gp56,KNV61_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2772094,65131969,KNV61_gp55,KNV61_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
