#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
445678,39718626,trnH-GUG,E6T97_pgt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200911,-
445678,39718627,psbA,E6T97_pgp085,-,-,-,-,PsbA,protein-coding,-,-,-,PsbA,20200911,-
445678,39718628,trnK-UUU,E6T97_pgt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200911,-
445678,39718629,matK,E6T97_pgp084,-,-,-,-,maturase K,protein-coding,-,-,-,maturase K,20200911,-
445678,39718630,rps16,E6T97_pgp083,-,-,-,-,ribosomal protein S16,protein-coding,-,-,-,ribosomal protein S16,20200911,-
445678,39718631,trnQ-UUG,E6T97_pgt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200911,-
445678,39718632,psbK,E6T97_pgp082,-,-,-,-,PsbK,protein-coding,-,-,-,PsbK,20200911,-
445678,39718633,psbI,E6T97_pgp081,-,-,-,-,PsbI,protein-coding,-,-,-,PsbI,20200911,-
445678,39718634,trnS-GCU,E6T97_pgt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200911,-
445678,39718635,trnG-UCC,E6T97_pgt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200911,-
445678,39718636,trnR-UCU,E6T97_pgt006,-,-,-,-,tRNA,tRNA,-,-,-,-,20200911,-
445678,39718637,atpA,E6T97_pgp080,-,-,-,-,AtpA,protein-coding,-,-,-,AtpA,20200911,-
445678,39718638,atpF,E6T97_pgp079,-,-,-,-,AtpF,protein-coding,-,-,-,AtpF,20200911,-
445678,39718639,atpH,E6T97_pgp078,-,-,-,-,AtpH,protein-coding,-,-,-,AtpH,20200911,-
445678,39718640,atpI,E6T97_pgp077,-,-,-,-,AtpI,protein-coding,-,-,-,AtpI,20200911,-
445678,39718641,rps2,E6T97_pgp076,-,-,-,-,ribosomal protein S2,protein-coding,-,-,-,ribosomal protein S2,20200911,-
445678,39718642,rpoC2,E6T97_pgp075,-,-,-,-,RpoC2,protein-coding,-,-,-,RpoC2,20200911,-
445678,39718643,rpoC1,E6T97_pgp074,-,-,-,-,RpoC1,protein-coding,-,-,-,RpoC1,20200911,-
445678,39718644,rpoB,E6T97_pgp073,-,-,-,-,RpoB,protein-coding,-,-,-,RpoB,20200911,-
445678,39718645,trnC-GCA,E6T97_pgt007,-,-,-,-,tRNA,tRNA,-,-,-,-,20200911,-
445678,39718646,petN,E6T97_pgp072,-,-,-,-,PetN,protein-coding,-,-,-,PetN,20200911,-
445678,39718647,psbM,E6T97_pgp071,-,-,-,-,PsbM,protein-coding,-,-,-,PsbM,20200911,-
445678,39718648,trnD-GUC,E6T97_pgt008,-,-,-,-,tRNA,tRNA,-,-,-,-,20200911,-
445678,39718649,trnY-GUA,E6T97_pgt009,-,-,-,-,tRNA,tRNA,-,-,-,-,20200911,-
445678,39718650,trnE-UUC,E6T97_pgt010,-,-,-,-,tRNA,tRNA,-,-,-,-,20200911,-
445678,39718651,trnT-GGU,E6T97_pgt011,-,-,-,-,tRNA,tRNA,-,-,-,-,20200911,-
445678,39718652,psbD,E6T97_pgp070,-,-,-,-,PsbD,protein-coding,-,-,-,PsbD,20200911,-
445678,39718653,psbC,E6T97_pgp069,-,-,-,-,PsbC,protein-coding,-,-,-,PsbC,20200911,-
445678,39718654,trnS-UGA,E6T97_pgt012,-,-,-,-,tRNA,tRNA,-,-,-,-,20200911,-
445678,39718655,psbZ,E6T97_pgp068,-,-,-,-,PsbZ,protein-coding,-,-,-,PsbZ,20200911,-
445678,39718656,trnG-GCC,E6T97_pgt013,-,-,-,-,tRNA,tRNA,-,-,-,-,20200911,-
445678,39718657,trnfM-CAU,E6T97_pgt014,-,-,-,-,tRNA,tRNA,-,-,-,-,20200911,-
445678,39718658,rps14,E6T97_pgp067,-,-,-,-,ribosomal protein S14,protein-coding,-,-,-,ribosomal protein S14,20200911,-
445678,39718659,psaB,E6T97_pgp066,-,-,-,-,PsaB,protein-coding,-,-,-,PsaB,20200911,-
445678,39718660,psaA,E6T97_pgp065,-,-,-,-,PsaA,protein-coding,-,-,-,PsaA,20200911,-
