#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1132026,13405564,B612_gp02,B612_gp02,KL1_0004,-,-,-,Rz,protein-coding,-,-,-,Rz,20201221,-
1132026,13405565,B612_gp36,B612_gp36,KL1_0006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405566,B612_gp41,B612_gp41,KL1_00023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405567,B612_gp23,B612_gp23,KL1_00024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405568,B612_gp19,B612_gp19,KL1_00030,-,-,-,superfamily II helicase/restriction enzyme,protein-coding,-,-,-,superfamily II helicase/restriction enzyme,20201221,-
1132026,13405569,B612_gp18,B612_gp18,KL1_00033,-,-,-,recombinase,protein-coding,-,-,-,recombinase,20201221,-
1132026,13405570,B612_gp45,B612_gp45,KL1_00039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405571,B612_gp46,B612_gp46,KL1_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405572,B612_gp16,B612_gp16,KL1_00041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405573,B612_gp48,B612_gp48,KL1_00046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405574,B612_gp12,B612_gp12,KL1_00047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405575,B612_gp15,B612_gp15,KL1_00049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405576,B612_gp51,B612_gp51,KL1_00051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405577,B612_gp52,B612_gp52,KL1_00052,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20201221,-
1132026,13405578,B612_gp01,B612_gp01,KL1_0002,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1132026,13405579,B612_gp38,B612_gp38,KL1_0003,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201221,-
1132026,13405580,B612_gp39,B612_gp39,KL1_0005,-,-,-,Rz1,protein-coding,-,-,-,Rz1,20201221,-
1132026,13405581,B612_gp35,B612_gp35,KL1_0007,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1132026,13405582,B612_gp34,B612_gp34,KL1_0008,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1132026,13405583,B612_gp33,B612_gp33,KL1_0009,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20201221,-
1132026,13405584,B612_gp32,B612_gp32,KL1_00010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405585,B612_gp31,B612_gp31,KL1_00011,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1132026,13405586,B612_gp30,B612_gp30,KL1_00012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405587,B612_gp29,B612_gp29,KL1_00013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405588,B612_gp28,B612_gp28,KL1_00014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405589,B612_gp27,B612_gp27,KL1_00015,-,-,-,head-tail joining protein,protein-coding,-,-,-,head-tail joining protein,20201221,-
1132026,13405590,B612_gp26,B612_gp26,KL1_00016,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1132026,13405591,B612_gp25,B612_gp25,KL1_00017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405592,B612_gp03,B612_gp03,KL1_00019,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1132026,13405593,B612_gp05,B612_gp05,KL1_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405594,B612_gp04,B612_gp04,KL1_00021,-,-,-,tail tape measure,protein-coding,-,-,-,tail tape measure,20201221,-
1132026,13405595,B612_gp40,B612_gp40,KL1_00022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405596,B612_gp22,B612_gp22,KL1_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1132026,13405597,B612_gp21,B612_gp21,KL1_00026,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1132026,13405598,B612_gp20,B612_gp20,KL1_00027,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1132026,13405599,B612_gp06,B612_gp06,KL1_00028,-,-,-,DNA polymerase III beta subunit,protein-coding,-,-,-,DNA polymerase III beta subunit,20201221,-
