#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1109717,11537937,terL,RoPhRRH1_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1109717,11537938,terS,RoPhRRH1_gp01,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1109717,11541239,RoPhRRH1_gp12,RoPhRRH1_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109717,11541240,RoPhRRH1_gp13,RoPhRRH1_gp13,-,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
1109717,11541241,RoPhRRH1_gp14,RoPhRRH1_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109717,11541242,RoPhRRH1_gp15,RoPhRRH1_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109717,11541243,RoPhRRH1_gp16,RoPhRRH1_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109717,11541244,RoPhRRH1_gp17,RoPhRRH1_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109717,11541245,RoPhRRH1_gp18,RoPhRRH1_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109717,11541246,RoPhRRH1_gp19,RoPhRRH1_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109717,11541247,RoPhRRH1_gp20,RoPhRRH1_gp20,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1109717,11541248,RoPhRRH1_gp03,RoPhRRH1_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109717,11541249,RoPhRRH1_gp04,RoPhRRH1_gp04,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1109717,11541250,RoPhRRH1_gp05,RoPhRRH1_gp05,-,-,-,-,putative lysin,protein-coding,-,-,-,putative lysin,20201221,-
1109717,11541251,RoPhRRH1_gp06,RoPhRRH1_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109717,11541252,RoPhRRH1_gp07,RoPhRRH1_gp07,-,-,-,-,caudovirus prohead protease family protein,protein-coding,-,-,-,caudovirus prohead protease family protein,20201221,-
1109717,11541253,RoPhRRH1_gp08,RoPhRRH1_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109717,11541254,RoPhRRH1_gp09,RoPhRRH1_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109717,11541255,RoPhRRH1_gp10,RoPhRRH1_gp10,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201221,-
1109717,11541256,RoPhRRH1_gp11,RoPhRRH1_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1109717,11542910,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Rhodococcus bacteriophage RRH1).,other,-,-,-,-,20200513,-
