#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1493513,24404849,ABY41_gp002,ABY41_gp002,Syn7803US120_2,-,-,-,base plate wedge component,protein-coding,-,-,-,base plate wedge component,20201221,-
1493513,24404850,ABY41_gp003,ABY41_gp003,Syn7803US120_3,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20201221,-
1493513,24404851,ABY41_gp004,ABY41_gp004,Syn7803US120_4,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20201221,-
1493513,24404852,ABY41_gp005,ABY41_gp005,Syn7803US120_5,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20201221,-
1493513,24404853,ABY41_gp006,ABY41_gp006,Syn7803US120_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404854,ABY41_gp007,ABY41_gp007,Syn7803US120_7,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20201221,-
1493513,24404855,ABY41_gp008,ABY41_gp008,Syn7803US120_8,-,-,-,late control gene D protein,protein-coding,-,-,-,late control gene D protein,20201221,-
1493513,24404856,ABY41_gp009,ABY41_gp009,Syn7803US120_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404857,ABY41_gp010,ABY41_gp010,Syn7803US120_10,-,-,-,CP12 protein,protein-coding,-,-,-,CP12 protein,20201221,-
1493513,24404858,ABY41_gp011,ABY41_gp011,Syn7803US120_11,-,-,-,putative base plate hub subunit and tail lysozyme,protein-coding,-,-,-,putative base plate hub subunit and tail lysozyme,20201221,-
1493513,24404859,ABY41_gp012,ABY41_gp012,Syn7803US120_12,-,-,-,putative base plate lysozyme,protein-coding,-,-,-,putative base plate lysozyme,20201221,-
1493513,24404860,ABY41_gp013,ABY41_gp013,Syn7803US120_13,-,-,-,DUF680 domain-containing protein,protein-coding,-,-,-,DUF680 domain-containing protein,20201221,-
1493513,24404861,ABY41_gp014,ABY41_gp014,Syn7803US120_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404862,ABY41_gp015,ABY41_gp015,Syn7803US120_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404863,ABY41_gp016,ABY41_gp016,Syn7803US120_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404864,ABY41_gp017,ABY41_gp017,Syn7803US120_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404865,ABY41_gp018,ABY41_gp018,Syn7803US120_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404866,ABY41_gp019,ABY41_gp019,Syn7803US120_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404867,ABY41_gp020,ABY41_gp020,Syn7803US120_20,-,-,-,5-phosphoribosylformylglycinamide amidotransferase,protein-coding,-,-,-,5-phosphoribosylformylglycinamide amidotransferase,20201221,-
1493513,24404868,ABY41_gp021,ABY41_gp021,Syn7803US120_21,-,-,-,phosphoribosylformylglycinamidine synthase,protein-coding,-,-,-,phosphoribosylformylglycinamidine synthase,20201221,-
1493513,24404869,ABY41_gp022,ABY41_gp022,Syn7803US120_22,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20201221,-
1493513,24404870,ABY41_gp023,ABY41_gp023,Syn7803US120_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404871,ABY41_gp024,ABY41_gp024,Syn7803US120_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493513,24404872,ABY41_gp025,ABY41_gp025,Syn7803US120_25,-,-,-,DNA endonuclease V,protein-coding,-,-,-,DNA endonuclease V,20201221,-
