#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
133430,25020640,psaI,ADP40_gp056,-,-,-,-,photosystem I subunit VIII,protein-coding,-,-,-,photosystem I subunit VIII,20200909,-
133430,25020641,atpF,ADP40_gp080,-,-,-,-,ATP synthase CF0 B chain,protein-coding,-,-,-,ATP synthase CF0 B chain,20200909,-
133430,25020642,rbcL,ADP40_gp058,-,-,-,-,"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",protein-coding,-,-,-,"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",20200909,-
133430,25020643,atpB,ADP40_gp059,-,-,-,-,ATP synthase CF1 beta chain,protein-coding,-,-,-,ATP synthase CF1 beta chain,20200909,-
133430,25020644,atpH,ADP40_gp079,-,-,-,-,ATP synthase CF0 C chain,protein-coding,-,-,-,ATP synthase CF0 C chain,20200909,-
133430,25020645,atpI,ADP40_gp078,-,-,-,-,ATP synthase CF0 A chain,protein-coding,-,-,-,ATP synthase CF0 A chain,20200909,-
133430,25020646,rps2,ADP40_gp077,-,-,-,-,ribosomal protein S2,protein-coding,-,-,-,ribosomal protein S2,20200909,-
133430,25020647,ndhD,ADP40_gp016,-,-,-,-,NADH-plastoquinone oxidoreductase subunit 4,protein-coding,-,-,-,NADH-plastoquinone oxidoreductase subunit 4,20200909,-
133430,25020648,petA,ADP40_gp053,-,-,-,-,cytochrome f,protein-coding,-,-,-,cytochrome f,20200909,-
133430,25020649,trnQ-UUG,ADP40_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20150716,-
133430,25020650,trnN-GUU,ADP40_gt033,-,-,-,-,tRNA,tRNA,-,-,-,-,20161231,-
133430,25020651,chlL,ADP40_gp006,-,-,-,-,photochlorophyllide reductase subunit L,protein-coding,-,-,-,photochlorophyllide reductase subunit L,20200909,-
133430,25020652,psbB,ADP40_gp040,-,-,-,-,photosystem II 47 kDa protein,protein-coding,-,-,-,photosystem II 47 kDa protein,20200909,-
133430,25020653,rps8,ADP40_gp030,-,-,-,-,ribosomal protein S8,protein-coding,-,-,-,ribosomal protein S8,20200909,-
133430,25020654,rps16,ADP40_gp087,-,-,-,-,ribosomal protein S16,protein-coding,-,-,-,ribosomal protein S16,20200909,-
133430,25020655,ndhH,ADP40_gp010,-,-,-,-,NADH-plastoquinone oxidoreductase subunit,protein-coding,-,-,-,NADH-plastoquinone oxidoreductase subunit,20200909,-
133430,25020656,trnL-CAA,ADP40_gt038,-,-,-,-,tRNA,tRNA,-,-,-,-,20161231,-
133430,25020657,rps7,ADP40_gp020,-,-,-,-,ribosomal protein S7,protein-coding,-,-,-,ribosomal protein S7,20200909,-
133430,25020658,trnV-UAC,ADP40_gt018,-,-,-,-,tRNA,tRNA,-,-,-,-,20150716,-
133430,25020659,psaC,ADP40_gp015,-,-,-,-,photosystem I subunit VII,protein-coding,-,-,-,photosystem I subunit VII,20200909,-
133430,25020660,ndhG,ADP40_gp013,-,-,-,-,NADH-plastoquinone oxidoreductase subunit 6,protein-coding,-,-,-,NADH-plastoquinone oxidoreductase subunit 6,20200909,-
133430,25020661,rpl32,ADP40_gp018,-,-,-,-,ribosomal protein L32,protein-coding,-,-,-,ribosomal protein L32,20200909,-
133430,25020662,ndhI,ADP40_gp012,-,-,-,-,NADH-plastoquinone oxidoreductase subunit I,protein-coding,-,-,-,NADH-plastoquinone oxidoreductase subunit I,20200909,-
133430,25020663,rps15,ADP40_gp009,-,-,-,-,ribosomal protein S15,protein-coding,-,-,-,ribosomal protein S15,20200909,-
133430,25020664,ndhA,ADP40_gp011,-,-,-,-,NADH-plastoquinone oxidoreductase subunit 1,protein-coding,-,-,-,NADH-plastoquinone oxidoreductase subunit 1,20200909,-
