#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591369,56134819,H1O01_gp02,H1O01_gp02,DOMN_2,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210424,-
2591369,56134820,H1O01_gp03,H1O01_gp03,DOMN_3,-,-,-,putative head morphogenesis protein,protein-coding,-,-,-,putative head morphogenesis protein,20201217,-
2591369,56134821,H1O01_gp04,H1O01_gp04,DOMN_4,-,-,-,putative head morphogenesis protein,protein-coding,-,-,-,putative head morphogenesis protein,20210424,-
2591369,56134822,H1O01_gp05,H1O01_gp05,DOMN_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134823,H1O01_gp06,H1O01_gp06,DOMN_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591369,56134824,H1O01_gp07,H1O01_gp07,DOMN_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134825,H1O01_gp08,H1O01_gp08,DOMN_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591369,56134826,H1O01_gp09,H1O01_gp09,DOMN_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134827,H1O01_gp10,H1O01_gp10,DOMN_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134828,H1O01_gp11,H1O01_gp11,DOMN_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591369,56134829,H1O01_gp12,H1O01_gp12,DOMN_12,-,-,-,putative tail depolymerase,protein-coding,-,-,-,putative tail depolymerase,20201217,-
2591369,56134830,H1O01_gp13,H1O01_gp13,DOMN_13,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201217,-
2591369,56134831,H1O01_gp14,H1O01_gp14,DOMN_14,-,-,-,putative tape measure chaperone,protein-coding,-,-,-,putative tape measure chaperone,20200912,-
2591369,56134832,H1O01_gp15,H1O01_gp15,DOMN_15,-,-,-,putative tape measure chaperone,protein-coding,-,-,-,putative tape measure chaperone,20210424,-
2591369,56134833,H1O01_gp16,H1O01_gp16,DOMN_16,-,-,-,putative tail length tape-measure protein,protein-coding,-,-,-,putative tail length tape-measure protein,20201217,-
2591369,56134834,H1O01_gp17,H1O01_gp17,DOMN_17,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210424,-
2591369,56134835,H1O01_gp18,H1O01_gp18,DOMN_18,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20201217,-
2591369,56134836,H1O01_gp19,H1O01_gp19,DOMN_19,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20210327,-
2591369,56134837,H1O01_gp20,H1O01_gp20,DOMN_20,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20201217,-
2591369,56134838,H1O01_gp21,H1O01_gp21,DOMN_21,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210424,-
2591369,56134839,H1O01_gp22,H1O01_gp22,DOMN_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134840,H1O01_gp23,H1O01_gp23,DOMN_23,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201217,-
2591369,56134841,H1O01_gp24,H1O01_gp24,DOMN_24,-,-,-,putative ssDNA binding protein,protein-coding,-,-,-,putative ssDNA binding protein,20200724,-
2591369,56134842,H1O01_gp25,H1O01_gp25,DOMN_25,-,-,-,putative recombination protein,protein-coding,-,-,-,putative recombination protein,20210327,-
2591369,56134843,H1O01_gp26,H1O01_gp26,DOMN_26,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210424,-
2591369,56134844,H1O01_gp27,H1O01_gp27,DOMN_27,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201217,-
2591369,56134845,H1O01_gp28,H1O01_gp28,DOMN_28,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20210424,-
2591369,56134846,H1O01_gp29,H1O01_gp29,DOMN_29,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201217,-
2591369,56134847,H1O01_gp30,H1O01_gp30,DOMN_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591369,56134848,H1O01_gp31,H1O01_gp31,DOMN_31,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200724,-
2591369,56134849,H1O01_gp32,H1O01_gp32,DOMN_32,-,-,-,putative DNA adenine methyltransferase,protein-coding,-,-,-,putative DNA adenine methyltransferase,20210424,-
2591369,56134850,H1O01_gp33,H1O01_gp33,DOMN_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134851,H1O01_gp34,H1O01_gp34,DOMN_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134852,H1O01_gp35,H1O01_gp35,DOMN_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134853,H1O01_gp36,H1O01_gp36,DOMN_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591369,56134854,H1O01_gp37,H1O01_gp37,DOMN_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2591369,56134855,H1O01_gp38,H1O01_gp38,DOMN_38,-,-,-,putative nucleoside triphosphate hydrolase,protein-coding,-,-,-,putative nucleoside triphosphate hydrolase,20201217,-
2591369,56134856,H1O01_gp39,H1O01_gp39,DOMN_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134857,H1O01_gp40,H1O01_gp40,DOMN_40,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20200926,-
2591369,56134858,H1O01_gp41,H1O01_gp41,DOMN_41,-,-,-,putative spanin,protein-coding,-,-,-,putative spanin,20210424,-
2591369,56134859,H1O01_gp42,H1O01_gp42,DOMN_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134860,H1O01_gp43,H1O01_gp43,DOMN_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2591369,56134861,H1O01_gp44,H1O01_gp44,DOMN_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134862,H1O01_gp45,H1O01_gp45,DOMN_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134863,H1O01_gp46,H1O01_gp46,DOMN_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134864,H1O01_gp47,H1O01_gp47,DOMN_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134865,H1O01_gp48,H1O01_gp48,DOMN_48,-,-,-,putative cytosine DNA methylase,protein-coding,-,-,-,putative cytosine DNA methylase,20200724,-
2591369,56134866,H1O01_gp49,H1O01_gp49,DOMN_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134867,H1O01_gp50,H1O01_gp50,DOMN_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134868,H1O01_gp51,H1O01_gp51,DOMN_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134869,H1O01_gp52,H1O01_gp52,DOMN_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134870,H1O01_gp53,H1O01_gp53,DOMN_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134871,H1O01_gp54,H1O01_gp54,DOMN_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134872,H1O01_gp55,H1O01_gp55,DOMN_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134873,H1O01_gp56,H1O01_gp56,DOMN_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134874,H1O01_gp57,H1O01_gp57,DOMN_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134875,H1O01_gp58,H1O01_gp58,DOMN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134876,H1O01_gp59,H1O01_gp59,DOMN_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134877,H1O01_gp60,H1O01_gp60,DOMN_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134878,H1O01_gp61,H1O01_gp61,DOMN_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134879,H1O01_gp62,H1O01_gp62,DOMN_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134880,H1O01_gp63,H1O01_gp63,DOMN_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134881,H1O01_gp64,H1O01_gp64,DOMN_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134882,H1O01_gp65,H1O01_gp65,DOMN_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134883,H1O01_gp66,H1O01_gp66,DOMN_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134884,H1O01_gp67,H1O01_gp67,DOMN_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134885,H1O01_gp68,H1O01_gp68,DOMN_68,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200724,-
2591369,56134886,H1O01_gp69,H1O01_gp69,DOMN_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134887,H1O01_gp70,H1O01_gp70,DOMN_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134888,H1O01_gp71,H1O01_gp71,DOMN_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591369,56134889,H1O01_gp72,H1O01_gp72,DOMN_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
