#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2508206,55014869,HOV50_gp02,HOV50_gp02,PTXU04_00002,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210306,-
2508206,55014870,HOV50_gp03,HOV50_gp03,PTXU04_00003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014871,HOV50_gp04,HOV50_gp04,PTXU04_00004,-,-,-,putative tail fiber component,protein-coding,-,-,-,putative tail fiber component,20210306,-
2508206,55014872,HOV50_gp05,HOV50_gp05,PTXU04_00005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014873,HOV50_gp06,HOV50_gp06,PTXU04_00006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2508206,55014874,HOV50_gp07,HOV50_gp07,PTXU04_00007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2508206,55014875,HOV50_gp08,HOV50_gp08,PTXU04_00008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014876,HOV50_gp09,HOV50_gp09,PTXU04_00009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014877,HOV50_gp10,HOV50_gp10,PTXU04_00010,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20210306,-
2508206,55014878,HOV50_gp11,HOV50_gp11,PTXU04_00011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014879,HOV50_gp12,HOV50_gp12,PTXU04_00012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014880,HOV50_gp13,HOV50_gp13,PTXU04_00013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014881,HOV50_gp14,HOV50_gp14,PTXU04_00014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014882,HOV50_gp15,HOV50_gp15,PTXU04_00015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014883,HOV50_gp16,HOV50_gp16,PTXU04_00016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014884,HOV50_gp17,HOV50_gp17,PTXU04_00017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2508206,55014885,HOV50_gp18,HOV50_gp18,PTXU04_00018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2508206,55014886,HOV50_gp19,HOV50_gp19,PTXU04_00019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2508206,55014887,HOV50_gp20,HOV50_gp20,PTXU04_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014888,HOV50_gp21,HOV50_gp21,PTXU04_00021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014889,HOV50_gp22,HOV50_gp22,PTXU04_00022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014890,HOV50_gp23,HOV50_gp23,PTXU04_00023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014891,HOV50_gp24,HOV50_gp24,PTXU04_00024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014892,HOV50_gp25,HOV50_gp25,PTXU04_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2508206,55014893,HOV50_gp26,HOV50_gp26,PTXU04_00026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2508206,55014894,HOV50_gp27,HOV50_gp27,PTXU04_00027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
