#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163633,65112560,KNT87_gp001,KNT87_gp001,-,-,-,-,rIIA lysis inhibitor,protein-coding,-,-,-,rIIA lysis inhibitor,20210607,-
2163633,65112561,KNT87_gp291,KNT87_gp291,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112562,KNT87_gt003,KNT87_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2163633,65112563,KNT87_gt004,KNT87_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2163633,65112564,KNT87_gp290,KNT87_gp290,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112565,KNT87_gt006,KNT87_gt006,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2163633,65112566,KNT87_gt007,KNT87_gt007,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2163633,65112567,KNT87_gt008,KNT87_gt008,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2163633,65112568,KNT87_gp287,KNT87_gp287,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112569,KNT87_gt010,KNT87_gt010,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2163633,65112570,KNT87_gt011,KNT87_gt011,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2163633,65112571,KNT87_gp286,KNT87_gp286,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2163633,65112572,KNT87_gt013,KNT87_gt013,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2163633,65112573,KNT87_gt014,KNT87_gt014,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2163633,65112574,KNT87_gt015,KNT87_gt015,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2163633,65112575,KNT87_gt016,KNT87_gt016,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2163633,65112576,KNT87_gp285,KNT87_gp285,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112577,KNT87_gt018,KNT87_gt018,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2163633,65112578,KNT87_gp284,KNT87_gp284,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112579,KNT87_gt020,KNT87_gt020,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2163633,65112580,KNT87_gt021,KNT87_gt021,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2163633,65112581,KNT87_gt022,KNT87_gt022,-,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2163633,65112582,KNT87_gp283,KNT87_gp283,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112583,KNT87_gp002,KNT87_gp002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112584,KNT87_gp003,KNT87_gp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112585,KNT87_gp004,KNT87_gp004,-,-,-,-,DNA topoisomerase,protein-coding,-,-,-,DNA topoisomerase,20210607,-
2163633,65112586,KNT87_gp005,KNT87_gp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112587,KNT87_gp006,KNT87_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112588,KNT87_gp007,KNT87_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112589,KNT87_gp008,KNT87_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112590,KNT87_gp009,KNT87_gp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112591,KNT87_gp010,KNT87_gp010,-,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210607,-
2163633,65112592,KNT87_gp011,KNT87_gp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112593,KNT87_gp012,KNT87_gp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112594,KNT87_gp013,KNT87_gp013,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2163633,65112595,KNT87_gp014,KNT87_gp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112596,KNT87_gp015,KNT87_gp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112597,KNT87_gp016,KNT87_gp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112598,KNT87_gp017,KNT87_gp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112599,KNT87_gp018,KNT87_gp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112600,KNT87_gp019,KNT87_gp019,-,-,-,-,small outer capsid protein,protein-coding,-,-,-,small outer capsid protein,20210607,-
2163633,65112601,KNT87_gp020,KNT87_gp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112602,KNT87_gp021,KNT87_gp021,-,-,-,-,dCTP pyrophosphatase,protein-coding,-,-,-,dCTP pyrophosphatase,20210607,-
2163633,65112603,KNT87_gp022,KNT87_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112604,KNT87_gp023,KNT87_gp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112605,KNT87_gp024,KNT87_gp024,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210607,-
2163633,65112606,KNT87_gp025,KNT87_gp025,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2163633,65112607,KNT87_gp026,KNT87_gp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112608,KNT87_gp027,KNT87_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112609,KNT87_gp028,KNT87_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112610,KNT87_gp029,KNT87_gp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112611,KNT87_gp030,KNT87_gp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112612,KNT87_gp031,KNT87_gp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112613,KNT87_gp032,KNT87_gp032,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2163633,65112614,KNT87_gp033,KNT87_gp033,-,-,-,-,head assembly protein,protein-coding,-,-,-,head assembly protein,20210607,-
2163633,65112615,KNT87_gp034,KNT87_gp034,-,-,-,-,RecA-like recombination protein,protein-coding,-,-,-,RecA-like recombination protein,20210607,-
2163633,65112616,KNT87_gp035,KNT87_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112617,KNT87_gp036,KNT87_gp036,-,-,-,-,dCMP hydroxymethylase,protein-coding,-,-,-,dCMP hydroxymethylase,20210607,-
2163633,65112618,KNT87_gp037,KNT87_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112619,KNT87_gp038,KNT87_gp038,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210607,-
2163633,65112620,KNT87_gp039,KNT87_gp039,-,-,-,-,translational repressor protein,protein-coding,-,-,-,translational repressor protein,20210607,-
2163633,65112621,KNT87_gp040,KNT87_gp040,-,-,-,-,clamp loader small subunit,protein-coding,-,-,-,clamp loader small subunit,20210607,-
2163633,65112622,KNT87_gp041,KNT87_gp041,-,-,-,-,replication factor C small subunit / DNA polymerase clamp loader subunit,protein-coding,-,-,-,replication factor C small subunit / DNA polymerase clamp loader subunit,20210607,-
2163633,65112623,KNT87_gp042,KNT87_gp042,-,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20210607,-
2163633,65112624,KNT87_gp043,KNT87_gp043,-,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20210607,-
2163633,65112625,KNT87_gp044,KNT87_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112626,KNT87_gp045,KNT87_gp045,-,-,-,-,putative recombination endonuclease subunit,protein-coding,-,-,-,putative recombination endonuclease subunit,20210607,-
2163633,65112627,KNT87_gp046,KNT87_gp046,-,-,-,-,putative recombination endonuclease subunit,protein-coding,-,-,-,putative recombination endonuclease subunit,20210607,-
2163633,65112628,KNT87_gp047,KNT87_gp047,-,-,-,-,DNA alpha-glucosyltransferase,protein-coding,-,-,-,DNA alpha-glucosyltransferase,20210607,-
2163633,65112629,KNT87_gp048,KNT87_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112630,KNT87_gp049,KNT87_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112631,KNT87_gp050,KNT87_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112632,KNT87_gp051,KNT87_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112633,KNT87_gp052,KNT87_gp052,-,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210607,-
2163633,65112634,KNT87_gp053,KNT87_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112635,KNT87_gp054,KNT87_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112636,KNT87_gp055,KNT87_gp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112637,KNT87_gp056,KNT87_gp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112638,KNT87_gp057,KNT87_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112639,KNT87_gp058,KNT87_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112640,KNT87_gp059,KNT87_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112641,KNT87_gp060,KNT87_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112642,KNT87_gp061,KNT87_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112643,KNT87_gp062,KNT87_gp062,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210607,-
2163633,65112644,KNT87_gp063,KNT87_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112645,KNT87_gp064,KNT87_gp064,-,-,-,-,recombination endonuclease VII,protein-coding,-,-,-,recombination endonuclease VII,20210607,-
2163633,65112646,KNT87_gp065,KNT87_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112647,KNT87_gp066,KNT87_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112648,KNT87_gp067,KNT87_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112649,KNT87_gp068,KNT87_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112650,KNT87_gp069,KNT87_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112651,KNT87_gp070,KNT87_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112652,KNT87_gp071,KNT87_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112653,KNT87_gp072,KNT87_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112654,KNT87_gp073,KNT87_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112655,KNT87_gp074,KNT87_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112656,KNT87_gp075,KNT87_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112657,KNT87_gp076,KNT87_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112658,KNT87_gp077,KNT87_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112659,KNT87_gp078,KNT87_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112660,KNT87_gp079,KNT87_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112661,KNT87_gp080,KNT87_gp080,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2163633,65112662,KNT87_gp081,KNT87_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163633,65112663,KNT87_gp082,KNT87_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
