#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1883366,30306292,BOW87_gp002,BOW87_gp002,C421010_002,-,-,-,baseplate wedge component,protein-coding,-,-,-,baseplate wedge component,20200910,-
1883366,30306293,BOW87_gp003,BOW87_gp003,C421010_003,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20200910,-
1883366,30306294,BOW87_gp004,BOW87_gp004,C421010_004,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20200910,-
1883366,30306295,BOW87_gp005,BOW87_gp005,C421010_005,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20201221,-
1883366,30306296,BOW87_gp006,BOW87_gp006,C421010_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306297,BOW87_gp007,BOW87_gp007,C421010_007,-,-,-,baseplate hub assembly subunit,protein-coding,-,-,-,baseplate hub assembly subunit,20201221,-
1883366,30306298,BOW87_gp008,BOW87_gp008,C421010_008,-,-,-,baseplate hub assembly catalyst,protein-coding,-,-,-,baseplate hub assembly catalyst,20200910,-
1883366,30306299,BOW87_gp009,BOW87_gp009,C421010_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306300,BOW87_gp010,BOW87_gp010,C421010_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306301,BOW87_gp011,BOW87_gp011,C421010_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306302,BOW87_gp012,BOW87_gp012,C421010_012,-,-,-,baseplate hub + tail lysozyme,protein-coding,-,-,-,baseplate hub + tail lysozyme,20200910,-
1883366,30306303,BOW87_gp013,BOW87_gp013,C421010_013,-,-,-,hemagluttinin motif protein,protein-coding,-,-,-,hemagluttinin motif protein,20200910,-
1883366,30306304,BOW87_gp014,BOW87_gp014,C421010_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306305,BOW87_gp015,BOW87_gp015,C421010_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306306,BOW87_gp016,BOW87_gp016,C421010_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1883366,30306307,BOW87_gp017,BOW87_gp017,C421010_017,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20200910,-
