#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2047,9923519,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Actinomyces dentocariosus; Nocardia dentocariosus; Nocardia salivae; Rothia denticariosa.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20150424,-
2047,32321284,ES20_RS10180,ES20_RS10180,ES20_10430,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321290,ES20_RS09870,ES20_RS09870,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321292,ES20_RS10125,ES20_RS10125,ES20_10380,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321295,ES20_RS11885,ES20_RS11885,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321296,ES20_RS10145,ES20_RS10145,ES20_10395,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321297,ES20_RS10110,ES20_RS10110,ES20_10365,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20210123,-
2047,32321298,ES20_RS10190,ES20_RS10190,ES20_10440,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321299,ES20_RS09755,ES20_RS09755,ES20_10005,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20210424,-
2047,32321303,ES20_RS09920,ES20_RS09920,ES20_10175,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321305,ES20_RS09860,ES20_RS09860,ES20_10115,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170908,-
2047,32321309,ES20_RS10000,ES20_RS10000,ES20_10255,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321310,ES20_RS09970,ES20_RS09970,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
2047,32321311,ES20_RS09690,ES20_RS09690,ES20_09940,-,-,-,tRNA,tRNA,-,-,-,-,20170501,-
2047,32321313,ES20_RS10045,ES20_RS10045,ES20_10300,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170502,-
2047,32321314,ES20_RS10150,ES20_RS10150,ES20_10400,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20170501,-
