#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1897536,40072588,2,FDH11_gp02,E6_2,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201221,-
1897536,40072589,3,FDH11_gp03,E6_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1897536,40072590,4,FDH11_gp04,E6_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1897536,40072591,5,FDH11_gp05,E6_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072592,6,FDH11_gp06,E6_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072593,7,FDH11_gp07,E6_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072594,8,FDH11_gp08,E6_8,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1897536,40072595,9,FDH11_gp09,E6_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072596,10,FDH11_gp10,E6_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072597,11,FDH11_gp11,E6_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072598,12,FDH11_gp12,E6_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072599,13,FDH11_gp13,E6_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072600,14,FDH11_gp14,E6_14,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1897536,40072601,15,FDH11_gp15,E6_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897536,40072602,16,FDH11_gp16,E6_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
