#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1458857,19736176,LP114_003,LP114_003,-,-,-,-,minor structural protein,protein-coding,-,-,-,minor structural protein,20201221,-
1458857,19736177,LP114_004,LP114_004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736178,LP114_005,LP114_005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736179,LP114_006,LP114_006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736180,LP114_007,LP114_007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736181,LP114_008,LP114_008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736182,LP114_009,LP114_009,-,-,-,-,radical SAM domain-containing protein,protein-coding,-,-,-,radical SAM domain-containing protein,20201221,-
1458857,19736183,LP114_010,LP114_010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736184,LP114_011,LP114_011,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210320,-
1458857,19736185,LP114_012,LP114_012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736186,LP114_013,LP114_013,-,-,-,-,putative DNA replication protein,protein-coding,-,-,-,putative DNA replication protein,20201221,-
1458857,19736187,LP114_014,LP114_014,-,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20210320,-
1458857,19736188,LP114_015,LP114_015,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1458857,19736189,LP114_016,LP114_016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736190,LP114_017,LP114_017,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1458857,19736191,LP114_018,LP114_018,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20201221,-
1458857,19736192,LP114_020,LP114_020,-,-,-,-,putative HNH homing endonuclease,protein-coding,-,-,-,putative HNH homing endonuclease,20210320,-
1458857,19736193,LP114_021,LP114_021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736194,LP114_022,LP114_022,-,-,-,-,crossover junction endodeoxyribonuclease,protein-coding,-,-,-,crossover junction endodeoxyribonuclease,20210123,-
1458857,19736195,LP114_023,LP114_023,-,-,-,-,P-loop containing nucleoside triphosphate hydrolase,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase,20201221,-
1458857,19736196,LP114_024,LP114_024,-,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1458857,19736197,LP114_025,LP114_025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736198,LP114_026,LP114_026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736199,LP114_027,LP114_027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736200,LP114_028,LP114_028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736201,LP114_029,LP114_029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736202,LP114_030,LP114_030,-,-,-,-,AAA_5 domain-containing protein,protein-coding,-,-,-,AAA_5 domain-containing protein,20201221,-
1458857,19736203,LP114_031,LP114_031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736204,LP114_032,LP114_032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736205,LP114_033,LP114_033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736206,LP114_034,LP114_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736207,LP114_035,LP114_035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736208,LP114_036,LP114_036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736209,LP114_037,LP114_037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736210,LP114_038,LP114_038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736211,LP114_039,LP114_039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736212,LP114_040,LP114_040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736213,LP114_041,LP114_041,-,-,-,-,putative thioredoxin,protein-coding,-,-,-,putative thioredoxin,20201221,-
1458857,19736214,LP114_042,LP114_042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736215,LP114_043,LP114_043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736216,LP114_044,LP114_044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736217,LP114_045,LP114_045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736218,LP114_046,LP114_046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736219,LP114_047,LP114_047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736220,LP114_048,LP114_048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736221,LP114_049,LP114_049,-,-,-,-,putative HNH homing endonuclease,protein-coding,-,-,-,putative HNH homing endonuclease,20201221,-
1458857,19736222,LP114_050,LP114_050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736223,LP114_051,LP114_051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736224,LP114_052,LP114_052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736225,LP114_053,LP114_053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736226,LP114_054,LP114_054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736227,LP114_055,LP114_055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736228,LP114_056,LP114_056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736229,LP114_057,LP114_057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736230,LP114_058,LP114_058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736231,LP114_059,LP114_059,-,-,-,-,LPXTG cell wall anchor domain-containing protein,protein-coding,-,-,-,LPXTG cell wall anchor domain-containing protein,20201221,-
1458857,19736232,LP114_060,LP114_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736233,LP114_061,LP114_061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736234,LP114_062,LP114_062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736235,LP114_063,LP114_063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736236,LP114_064,LP114_064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736237,LP114_065,LP114_065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736238,LP114_066,LP114_066,-,-,-,-,DUF1642 domain-containing protein,protein-coding,-,-,-,DUF1642 domain-containing protein,20201221,-
1458857,19736239,LP114_067,LP114_067,-,-,-,-,DUF1642 domain-containing protein,protein-coding,-,-,-,DUF1642 domain-containing protein,20201221,-
1458857,19736240,LP114_068,LP114_068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736241,LP114_069,LP114_069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736242,LP114_070,LP114_070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736243,LP114_071,LP114_071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736244,LP114_072,LP114_072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736245,LP114_073,LP114_073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736246,LP114_074,LP114_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736247,LP114_075,LP114_075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736248,LP114_076,LP114_076,-,-,-,-,His-Me finger endonuclease,protein-coding,-,-,-,His-Me finger endonuclease,20201221,-
1458857,19736249,LP114_077,LP114_077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1458857,19736250,LP114_078,LP114_078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736251,LP114_079,LP114_079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736252,LP114_080,LP114_080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458857,19736253,LP114_081,LP114_081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
