#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591371,56134910,H1O02_gp02,H1O02_gp02,gp2,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210424,-
2591371,56134911,H1O02_gp03,H1O02_gp03,gp3,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210424,-
2591371,56134912,H1O02_gp04,H1O02_gp04,gp4,-,-,-,putative head morphogenesis protein,protein-coding,-,-,-,putative head morphogenesis protein,20201217,-
2591371,56134913,H1O02_gp05,H1O02_gp05,gp5,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20210424,-
2591371,56134914,H1O02_gp06,H1O02_gp06,gp6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134915,H1O02_gp07,H1O02_gp07,gp7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591371,56134916,H1O02_gp08,H1O02_gp08,gp8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591371,56134917,H1O02_gp09,H1O02_gp09,gp9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591371,56134918,H1O02_gp10,H1O02_gp10,gp10,-,-,-,putative head completion protein,protein-coding,-,-,-,putative head completion protein,20200724,-
2591371,56134919,H1O02_gp11,H1O02_gp11,gp11,-,-,-,putative neck protein,protein-coding,-,-,-,putative neck protein,20200912,-
2591371,56134920,H1O02_gp12,H1O02_gp12,gp12,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20210424,-
2591371,56134921,H1O02_gp13,H1O02_gp13,gp13,-,-,-,putative tail protein/depolymerase,protein-coding,-,-,-,putative tail protein/depolymerase,20201217,-
2591371,56134922,H1O02_gp14,H1O02_gp14,gp14,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201217,-
2591371,56134923,H1O02_gp15,H1O02_gp15,gp15,-,-,-,putative tape measure chaperone,protein-coding,-,-,-,putative tape measure chaperone,20200912,-
2591371,56134924,H1O02_gp16,H1O02_gp16,gp16,-,-,-,putative tape measure chaperone,protein-coding,-,-,-,putative tape measure chaperone,20210424,-
2591371,56134925,H1O02_gp17,H1O02_gp17,gp17,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201217,-
2591371,56134926,H1O02_gp18,H1O02_gp18,gp18,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210424,-
2591371,56134927,H1O02_gp19,H1O02_gp19,gp19,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20201217,-
2591371,56134928,H1O02_gp20,H1O02_gp20,gp20,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20210424,-
2591371,56134929,H1O02_gp21,H1O02_gp21,gp21,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20201217,-
2591371,56134930,H1O02_gp22,H1O02_gp22,gp22,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210424,-
