#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1735582,26642870,AVT95p45,AVT95p45,-,-,-,-,internal virion core protein,protein-coding,-,-,-,internal virion core protein,20201221,-
1735582,26642871,AVT95p46,AVT95p46,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
1735582,26642872,AVT95p47,AVT95p47,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1735582,26642873,AVT95p48,AVT95p48,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210424,-
1735582,26642874,AVT95p49,AVT95p49,-,-,-,-,putative DNA maturase A,protein-coding,-,-,-,putative DNA maturase A,20201221,-
1735582,26642875,AVT95p50,AVT95p50,-,-,-,-,DNA maturase B,protein-coding,-,-,-,DNA maturase B,20201221,-
1735582,26642876,AVT95p51,AVT95p51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642877,AVT95p52,AVT95p52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642878,AVT95p01,AVT95p01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642879,AVT95p02,AVT95p02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642880,AVT95p03,AVT95p03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642881,AVT95p04,AVT95p04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642882,AVT95p05,AVT95p05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642883,AVT95p06,AVT95p06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642884,AVT95p07,AVT95p07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642886,AVT95p09,AVT95p09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642887,AVT95p10,AVT95p10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642888,AVT95p11,AVT95p11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642889,AVT95p12,AVT95p12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642890,AVT95p13,AVT95p13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642891,AVT95p14,AVT95p14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642892,AVT95p15,AVT95p15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642893,AVT95p16,AVT95p16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642894,AVT95p17,AVT95p17,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1735582,26642895,AVT95p18,AVT95p18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642896,AVT95p19,AVT95p19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642897,AVT95p20,AVT95p20,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1735582,26642898,AVT95p21,AVT95p21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642899,AVT95p22,AVT95p22,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20201221,-
1735582,26642900,AVT95p23,AVT95p23,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1735582,26642901,AVT95p24,AVT95p24,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210327,-
1735582,26642902,AVT95p25,AVT95p25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642903,AVT95p26,AVT95p26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642904,AVT95p27,AVT95p27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642906,AVT95p29,AVT95p29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1735582,26642907,AVT95p30,AVT95p30,-,-,-,-,DNA endonuclease,protein-coding,-,-,-,DNA endonuclease,20210327,-
1735582,26642908,AVT95p31,AVT95p31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1735582,26642909,AVT95p32,AVT95p32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
