#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1133302,59442876,rps7,IQF76_pgp002,-,-,-,-,ribosomal protein S7,protein-coding,-,-,-,ribosomal protein S7,20210529,-
1133302,59442877,trnD-GUC,IQF76_pgt009,-,-,-,-,tRNA,tRNA,-,-,-,-,20201029,-
1133302,59442878,rps2,IQF76_pgp080,-,-,-,-,ribosomal protein S2,protein-coding,-,-,-,ribosomal protein S2,20210529,-
1133302,59442879,rpoC1,IQF76_pgp082,-,-,-,-,RNA polymerase beta' subunit,protein-coding,-,-,-,RNA polymerase beta' subunit,20210529,-
1133302,59442880,chlN,IQF76_pgp005,-,-,-,-,ChlN,protein-coding,-,-,-,ChlN,20210529,-
1133302,59442881,rrn4.5,IQF76_pgr006,-,-,-,-,4.5S ribosomal RNA,rRNA,-,-,-,-,20201029,-
1133302,59442882,trnA-UGC,IQF76_pgt034,-,-,-,-,tRNA,tRNA,-,-,-,-,20201029,-
1133302,59442883,rpoC2,IQF76_pgp081,-,-,-,-,RNA polymerase beta'' subunit,protein-coding,-,-,-,RNA polymerase beta'' subunit,20210529,-
1133302,59442884,pafI,IQF76_pgp061,-,-,-,-,hypothetical chloroplast RF34,protein-coding,-,-,-,hypothetical chloroplast RF34,20210529,-
1133302,59442885,psaA,IQF76_pgp062,-,-,-,-,photosystem I P700 apoprotein A1,protein-coding,-,-,-,photosystem I P700 apoprotein A1,20210529,-
1133302,59442886,matK,IQF76_pgp070,-,-,-,-,maturase K,protein-coding,-,-,-,maturase K,20210529,-
1133302,59442887,trnL-CAA,IQF76_pgt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20201029,-
1133302,59442888,rpl21,IQF76_pgp018,-,-,-,-,ribosomal protein L21,protein-coding,-,-,-,ribosomal protein L21,20210529,-
1133302,59442889,ndhH,IQF76_pgp009,-,-,-,-,NADH-plastoquinone oxidoreductase subunit 7,protein-coding,-,-,-,NADH-plastoquinone oxidoreductase subunit 7,20210529,-
1133302,59442890,trnS-GGA,IQF76_pgt016,-,-,-,-,tRNA,tRNA,-,-,-,-,20201029,-
1133302,59442891,psbB,IQF76_pgp037,-,-,-,-,photosystem II CP47 chlorophyll apoprotein,protein-coding,-,-,-,photosystem II CP47 chlorophyll apoprotein,20210529,-
1133302,59442892,trnK-UUU,IQF76_pgt007,-,-,-,-,tRNA,tRNA,-,-,-,-,20201029,-
1133302,59442893,trnR-UCU,IQF76_pgt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20201029,-
1133302,59442894,psbT,IQF76_pgp036,-,-,-,-,photosystem II protein T,protein-coding,-,-,-,photosystem II protein T,20210417,-
1133302,59442895,psaC,IQF76_pgp014,-,-,-,-,photosystem I subunit VII,protein-coding,-,-,-,photosystem I subunit VII,20210529,-
1133302,59442896,trnI-GAU,IQF76_pgt027,-,-,-,-,tRNA,tRNA,-,-,-,-,20201029,-
1133302,59442897,trnV-GAC,IQF76_pgt036,-,-,-,-,tRNA,tRNA,-,-,-,-,20201029,-
1133302,59442898,psbA,IQF76_pgp069,-,-,-,-,photosystem II protein D1,protein-coding,-,-,-,photosystem II protein D1,20201117,-
1133302,59442899,rbcL,IQF76_pgp054,-,-,-,-,"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",protein-coding,-,-,-,"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",20210529,-
1133302,59442900,trnR-CCG,IQF76_pgt022,-,-,-,-,tRNA,tRNA,-,-,-,-,20201029,-
1133302,59442901,ycf1,IQF76_pgp006,-,-,-,-,Ycf1,protein-coding,-,-,-,Ycf1,20210529,-
1133302,59442902,trnS-UGA,IQF76_pgt013,-,-,-,-,tRNA,tRNA,-,-,-,-,20201029,-
1133302,59442903,chlL,IQF76_pgp004,-,-,-,-,protochlorophyllide reductase ATP-binding subunit,protein-coding,-,-,-,protochlorophyllide reductase ATP-binding subunit,20210529,-
1133302,59442904,rpl23,IQF76_pgp020,-,-,-,-,ribosomal protein L23,protein-coding,-,-,-,ribosomal protein L23,20210529,-
1133302,59442905,petA,IQF76_pgp049,-,-,-,-,cytochrome f,protein-coding,-,-,-,cytochrome f,20210529,-
1133302,59442906,petD,IQF76_pgp032,-,-,-,-,cytochrome b6/f complex subunit IV,protein-coding,-,-,-,cytochrome b6/f complex subunit IV,20210529,-
