#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1141132,14013216,F401_gp02,F401_gp02,phiAS7_00002,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201221,-
1141132,14013217,F401_gp03,F401_gp03,phiAS7_00003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013218,F401_gp04,F401_gp04,phiAS7_00004,-,-,-,putative ATP-dependent DNA ligase,protein-coding,-,-,-,putative ATP-dependent DNA ligase,20201221,-
1141132,14013219,F401_gp05,F401_gp05,phiAS7_00005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013220,F401_gp06,F401_gp06,phiAS7_00006,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1141132,14013221,F401_gp07,F401_gp07,phiAS7_00007,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1141132,14013222,F401_gp08,F401_gp08,phiAS7_00008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013223,F401_gp09,F401_gp09,phiAS7_00009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013224,F401_gp10,F401_gp10,phiAS7_00010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013225,F401_gp11,F401_gp11,phiAS7_00011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013226,F401_gp12,F401_gp12,phiAS7_00012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013227,F401_gp13,F401_gp13,phiAS7_00013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013228,F401_gp14,F401_gp14,phiAS7_00014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013229,F401_gp15,F401_gp15,phiAS7_00015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013230,F401_gp16,F401_gp16,phiAS7_00016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141132,14013231,F401_gp17,F401_gp17,phiAS7_00017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
