#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2696385,56133550,H1N83_gp02,H1N83_gp02,atuna_2,-,-,-,putative phosphoesterase,protein-coding,-,-,-,putative phosphoesterase,20200724,-
2696385,56133551,H1N83_gp03,H1N83_gp03,atuna_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133552,H1N83_gp04,H1N83_gp04,atuna_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133553,H1N83_gp05,H1N83_gp05,atuna_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133554,H1N83_gp06,H1N83_gp06,atuna_6,-,-,-,putative DNA N-6-adenine-methyltransferase,protein-coding,-,-,-,putative DNA N-6-adenine-methyltransferase,20210313,-
2696385,56133555,H1N83_gp07,H1N83_gp07,atuna_7,-,-,-,VRR-NUC domain-containing protein,protein-coding,-,-,-,VRR-NUC domain-containing protein,20210403,-
2696385,56133556,H1N83_gp08,H1N83_gp08,atuna_8,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20210306,-
2696385,56133557,H1N83_gp09,H1N83_gp09,atuna_9,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20210403,-
2696385,56133558,H1N83_gp10,H1N83_gp10,atuna_10,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20210313,-
2696385,56133559,H1N83_gp11,H1N83_gp11,atuna_11,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210313,-
2696385,56133560,H1N83_gp12,H1N83_gp12,atuna_12,-,-,-,putative ssDNA-binding protein,protein-coding,-,-,-,putative ssDNA-binding protein,20210313,-
2696385,56133561,H1N83_gp13,H1N83_gp13,atuna_13,-,-,-,putative recombination protein,protein-coding,-,-,-,putative recombination protein,20210313,-
2696385,56133562,H1N83_gp14,H1N83_gp14,atuna_14,-,-,-,exodeoxyribonuclease VIII,protein-coding,-,-,-,exodeoxyribonuclease VIII,20210403,-
2696385,56133563,H1N83_gp15,H1N83_gp15,atuna_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133564,H1N83_gp16,H1N83_gp16,atuna_16,-,-,-,putative outer membrane protein,protein-coding,-,-,-,putative outer membrane protein,20200724,-
2696385,56133565,H1N83_gp17,H1N83_gp17,atuna_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133566,H1N83_gp18,H1N83_gp18,atuna_18,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210313,-
2696385,56133567,H1N83_gp19,H1N83_gp19,atuna_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696385,56133568,H1N83_gp20,H1N83_gp20,atuna_20,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20210313,-
2696385,56133569,H1N83_gp21,H1N83_gp21,atuna_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2696385,56133570,H1N83_gp22,H1N83_gp22,atuna_22,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210313,-
2696385,56133571,H1N83_gp23,H1N83_gp23,atuna_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210313,-
2696385,56133572,H1N83_gp24,H1N83_gp24,atuna_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696385,56133573,H1N83_gp25,H1N83_gp25,atuna_25,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20200919,-
2696385,56133574,H1N83_gp26,H1N83_gp26,atuna_26,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210313,-
2696385,56133575,H1N83_gp27,H1N83_gp27,atuna_27,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210306,-
2696385,56133576,H1N83_gp28,H1N83_gp28,atuna_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133577,H1N83_gp29,H1N83_gp29,atuna_29,-,-,-,ribonucleoside-triphosphate reductase,protein-coding,-,-,-,ribonucleoside-triphosphate reductase,20200724,-
2696385,56133578,H1N83_gp30,H1N83_gp30,atuna_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210306,-
2696385,56133579,H1N83_gp31,H1N83_gp31,atuna_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133580,H1N83_gp32,H1N83_gp32,atuna_32,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210313,-
2696385,56133581,H1N83_gp33,H1N83_gp33,atuna_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696385,56133582,H1N83_gp34,H1N83_gp34,atuna_34,-,-,-,HtjA,protein-coding,-,-,-,HtjA,20200724,-
2696385,56133583,H1N83_gp35,H1N83_gp35,atuna_35,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20210313,-
2696385,56133584,H1N83_gp36,H1N83_gp36,atuna_36,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20210403,-
2696385,56133585,H1N83_gp37,H1N83_gp37,atuna_37,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210313,-
2696385,56133586,H1N83_gp38,H1N83_gp38,atuna_38,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2696385,56133587,H1N83_gp39,H1N83_gp39,atuna_39,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210123,-
2696385,56133588,H1N83_gp40,H1N83_gp40,atuna_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133589,H1N83_gp41,H1N83_gp41,atuna_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133590,H1N83_gp42,H1N83_gp42,atuna_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133591,H1N83_gp43,H1N83_gp43,atuna_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133592,H1N83_gp44,H1N83_gp44,atuna_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133593,H1N83_gp45,H1N83_gp45,atuna_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133594,H1N83_gp46,H1N83_gp46,atuna_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133595,H1N83_gp47,H1N83_gp47,atuna_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133596,H1N83_gp48,H1N83_gp48,atuna_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133597,H1N83_gp49,H1N83_gp49,atuna_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133598,H1N83_gp50,H1N83_gp50,atuna_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133599,H1N83_gp51,H1N83_gp51,atuna_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133600,H1N83_gp52,H1N83_gp52,atuna_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696385,56133601,H1N83_gp53,H1N83_gp53,atuna_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133602,H1N83_gp54,H1N83_gp54,atuna_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133603,H1N83_gp55,H1N83_gp55,atuna_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133604,H1N83_gp56,H1N83_gp56,atuna_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133605,H1N83_gp57,H1N83_gp57,atuna_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133606,H1N83_gp58,H1N83_gp58,atuna_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133607,H1N83_gp59,H1N83_gp59,atuna_59,-,-,-,putative kinase-phosphatase,protein-coding,-,-,-,putative kinase-phosphatase,20210313,-
2696385,56133608,H1N83_gp60,H1N83_gp60,atuna_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133609,H1N83_gp61,H1N83_gp61,atuna_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133610,H1N83_gp62,H1N83_gp62,atuna_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133611,H1N83_gp63,H1N83_gp63,atuna_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2696385,56133612,H1N83_gp64,H1N83_gp64,atuna_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
