#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1468411,19487942,FH31_gp02,FH31_gp02,9g_00002,-,-,-,DNA polymerase beta subunit,protein-coding,-,-,-,DNA polymerase beta subunit,20201221,-
1468411,19487943,FH31_gp03,FH31_gp03,9g_00003,-,-,-,queuosine tRNA-ribosyltransferase,protein-coding,-,-,-,queuosine tRNA-ribosyltransferase,20201221,-
1468411,19487944,FH31_gp04,FH31_gp04,9g_00004,-,-,-,GTP cyclohydrolase 1,protein-coding,-,-,-,GTP cyclohydrolase 1,20201221,-
1468411,19487945,FH31_gp05,FH31_gp05,9g_00005,-,-,-,"6-carboxy-5,6,7,8-tetrahydropterin synthase",protein-coding,-,-,-,"6-carboxy-5,6,7,8-tetrahydropterin synthase",20201221,-
1468411,19487946,FH31_gp06,FH31_gp06,9g_00006,-,-,-,7-cyano-7-deazaguanine synthase,protein-coding,-,-,-,7-cyano-7-deazaguanine synthase,20201221,-
1468411,19487947,FH31_gp07,FH31_gp07,9g_00007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487948,FH31_gp08,FH31_gp08,9g_00008,-,-,-,organic radical activating enzyme,protein-coding,-,-,-,organic radical activating enzyme,20201221,-
1468411,19487949,FH31_gp09,FH31_gp09,9g_00009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487950,FH31_gp10,FH31_gp10,9g_00010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487951,FH31_gp11,FH31_gp11,9g_00011,-,-,-,superfamily II DNA/RNA helicase,protein-coding,-,-,-,superfamily II DNA/RNA helicase,20201221,-
1468411,19487952,FH31_gp12,FH31_gp12,9g_00012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487953,FH31_gp13,FH31_gp13,9g_00013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1468411,19487954,FH31_gp14,FH31_gp14,9g_00014,-,-,-,ATPase,protein-coding,-,-,-,ATPase,20201221,-
