#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1173754,16254175,N276_gp02,N276_gp02,SP030_00010,-,-,-,DR0530-like primase,protein-coding,-,-,-,DR0530-like primase,20200629,-
1173754,16254176,N276_gp03,N276_gp03,SP030_00015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254177,N276_gp04,N276_gp04,SP030_00020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254178,N276_gp05,N276_gp05,SP030_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254179,N276_gp06,N276_gp06,SP030_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1173754,16254180,N276_gp07,N276_gp07,SP030_00035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1173754,16254181,N276_gp08,N276_gp08,SP030_00040,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200629,-
1173754,16254182,N276_gp09,N276_gp09,SP030_00045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1173754,16254183,N276_gp10,N276_gp10,SP030_00050,-,-,-,helicase,protein-coding,-,-,-,helicase,20200629,-
1173754,16254184,N276_gp11,N276_gp11,SP030_00055,-,-,-,TerS,protein-coding,-,-,-,TerS,20210123,-
1173754,16254185,N276_gp12,N276_gp12,SP030_00060,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200926,-
1173754,16254186,N276_gp13,N276_gp13,SP030_00065,-,-,-,head-tail joining protein lambda W,protein-coding,-,-,-,head-tail joining protein lambda W,20210123,-
1173754,16254187,N276_gp14,N276_gp14,SP030_00070,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200926,-
1173754,16254188,N276_gp15,N276_gp15,SP030_00075,-,-,-,prohead protease ClpP,protein-coding,-,-,-,prohead protease ClpP,20200629,-
1173754,16254189,N276_gp16,N276_gp16,SP030_00080,-,-,-,decorator protein D,protein-coding,-,-,-,decorator protein D,20200629,-
1173754,16254190,N276_gp17,N276_gp17,SP030_00085,-,-,-,capsid protein E,protein-coding,-,-,-,capsid protein E,20200926,-
1173754,16254191,N276_gp18,N276_gp18,SP030_00090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254192,N276_gp19,N276_gp19,SP030_00095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254193,N276_gp20,N276_gp20,SP030_00100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254194,N276_gp21,N276_gp21,SP030_00105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254195,N276_gp22,N276_gp22,SP030_00110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1173754,16254196,N276_gp23,N276_gp23,SP030_00115,-,-,-,pre-tape measure frameshift protein G-T,protein-coding,-,-,-,pre-tape measure frameshift protein G-T,20200629,-
