#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
40269,3293337,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Vibrio salmonicida.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20190427,-
40269,39465406,EIJ81_RS01180,EIJ81_RS01180,EIJ81_01180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465407,EIJ81_RS00215,EIJ81_RS00215,EIJ81_00215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465409,EIJ81_RS00040,EIJ81_RS00040,EIJ81_00040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465410,EIJ81_RS00190,EIJ81_RS00190,EIJ81_00190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465412,EIJ81_RS00640,EIJ81_RS00640,EIJ81_00640,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465414,EIJ81_RS00535,EIJ81_RS00535,EIJ81_00535,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465415,EIJ81_RS00755,EIJ81_RS00755,EIJ81_00755,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465416,EIJ81_RS00460,EIJ81_RS00460,EIJ81_00460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465417,EIJ81_RS01220,EIJ81_RS01220,EIJ81_01220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465419,EIJ81_RS00210,EIJ81_RS00210,EIJ81_00210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465421,EIJ81_RS00360,EIJ81_RS00360,EIJ81_00360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465422,EIJ81_RS00030,EIJ81_RS00030,EIJ81_00030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465423,EIJ81_RS00450,EIJ81_RS00450,EIJ81_00450,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465424,EIJ81_RS00195,EIJ81_RS00195,EIJ81_00195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465426,EIJ81_RS00590,EIJ81_RS00590,EIJ81_00590,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465427,EIJ81_RS00950,EIJ81_RS00950,EIJ81_00950,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465428,EIJ81_RS00905,EIJ81_RS00905,EIJ81_00905,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465430,EIJ81_RS00985,EIJ81_RS00985,EIJ81_00985,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465432,EIJ81_RS00800,EIJ81_RS00800,EIJ81_00800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465434,EIJ81_RS01080,EIJ81_RS01080,EIJ81_01080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465437,EIJ81_RS01035,EIJ81_RS01035,EIJ81_01035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465438,EIJ81_RS00860,EIJ81_RS00860,EIJ81_00860,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465439,EIJ81_RS00900,EIJ81_RS00900,EIJ81_00900,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465440,EIJ81_RS01010,EIJ81_RS01010,EIJ81_01010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465442,EIJ81_RS00475,EIJ81_RS00475,EIJ81_00475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465445,EIJ81_RS00775,EIJ81_RS00775,EIJ81_00775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465446,EIJ81_RS00140,EIJ81_RS00140,EIJ81_00140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465448,EIJ81_RS00510,EIJ81_RS00510,EIJ81_00510,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465449,EIJ81_RS00650,EIJ81_RS00650,EIJ81_00650,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465451,EIJ81_RS01050,EIJ81_RS01050,EIJ81_01050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465452,EIJ81_RS00790,EIJ81_RS00790,EIJ81_00790,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465455,EIJ81_RS00135,EIJ81_RS00135,EIJ81_00135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465461,EIJ81_RS00405,EIJ81_RS00405,EIJ81_00405,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465463,EIJ81_RS00290,EIJ81_RS00290,EIJ81_00290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465465,EIJ81_RS00300,EIJ81_RS00300,EIJ81_00300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465468,EIJ81_RS00410,EIJ81_RS00410,EIJ81_00410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465469,EIJ81_RS00700,EIJ81_RS00700,EIJ81_00700,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465472,EIJ81_RS00605,EIJ81_RS00605,EIJ81_00605,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465473,EIJ81_RS00465,EIJ81_RS00465,EIJ81_00465,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465474,EIJ81_RS00615,EIJ81_RS00615,EIJ81_00615,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465475,EIJ81_RS00930,EIJ81_RS00930,EIJ81_00930,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465476,EIJ81_RS00745,EIJ81_RS00745,EIJ81_00745,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465478,EIJ81_RS01005,EIJ81_RS01005,EIJ81_01005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465479,EIJ81_RS00310,EIJ81_RS00310,EIJ81_00310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465484,EIJ81_RS00920,EIJ81_RS00920,EIJ81_00920,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465486,EIJ81_RS00840,EIJ81_RS00840,EIJ81_00840,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465487,EIJ81_RS01320,EIJ81_RS01320,EIJ81_01320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465489,EIJ81_RS00240,EIJ81_RS00240,EIJ81_00240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465490,EIJ81_RS00835,EIJ81_RS00835,EIJ81_00835,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465492,EIJ81_RS00060,EIJ81_RS00060,EIJ81_00060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465493,EIJ81_RS00505,EIJ81_RS00505,EIJ81_00505,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
40269,39465495,EIJ81_RS00165,EIJ81_RS00165,EIJ81_00165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
40269,39465496,EIJ81_RS00355,EIJ81_RS00355,EIJ81_00355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465497,EIJ81_RS00375,EIJ81_RS00375,EIJ81_00375,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465498,EIJ81_RS01160,EIJ81_RS01160,EIJ81_01160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
40269,39465499,EIJ81_RS00415,EIJ81_RS00415,EIJ81_00415,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
