#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1912936,64690277,F5147DRAFT_101009,F5147DRAFT_101009,-,-,Unknown,-,tRNA-guanine(15) transglycosylase-like protein,protein-coding,-,-,-,tRNA-guanine(15) transglycosylase-like protein,20210605,-
1912936,64690278,F5147DRAFT_101096,F5147DRAFT_101096,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690279,F5147DRAFT_101210,F5147DRAFT_101210,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690280,F5147DRAFT_101476,F5147DRAFT_101476,-,-,Unknown,-,ribosomal protein S12/S23,protein-coding,-,-,-,ribosomal protein S12/S23,20210605,-
1912936,64690281,F5147DRAFT_101601,F5147DRAFT_101601,-,-,Unknown,-,Haloacid dehalogenase-like hydrolase-domain-containing protein,protein-coding,-,-,-,Haloacid dehalogenase-like hydrolase-domain-containing protein,20210605,-
1912936,64690282,F5147DRAFT_101967,F5147DRAFT_101967,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690283,F5147DRAFT_102039,F5147DRAFT_102039,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690284,F5147DRAFT_102068,F5147DRAFT_102068,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690285,F5147DRAFT_102149,F5147DRAFT_102149,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64690286,F5147DRAFT_102768,F5147DRAFT_102768,-,-,Unknown,-,Na+ dependent nucleoside transporter C-terminus-domain-containing protein,protein-coding,-,-,-,Na+ dependent nucleoside transporter C-terminus-domain-containing protein,20210605,-
1912936,64690287,F5147DRAFT_102894,F5147DRAFT_102894,-,-,Unknown,-,carbohydrate-binding module family 12 protein,protein-coding,-,-,-,carbohydrate-binding module family 12 protein,20210605,-
1912936,64690288,F5147DRAFT_102922,F5147DRAFT_102922,-,-,Unknown,-,mannose-6-phosphate isomerase,protein-coding,-,-,-,mannose-6-phosphate isomerase,20210605,-
1912936,64690289,F5147DRAFT_103073,F5147DRAFT_103073,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690290,F5147DRAFT_103097,F5147DRAFT_103097,-,-,Unknown,-,Aldehyde/histidinol dehydrogenase,protein-coding,-,-,-,Aldehyde/histidinol dehydrogenase,20210605,-
1912936,64690291,F5147DRAFT_103138,F5147DRAFT_103138,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690292,F5147DRAFT_103245,F5147DRAFT_103245,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690293,F5147DRAFT_103596,F5147DRAFT_103596,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690294,F5147DRAFT_103742,F5147DRAFT_103742,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690295,F5147DRAFT_103750,F5147DRAFT_103750,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64690296,F5147DRAFT_104265,F5147DRAFT_104265,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
