#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1235656,16835708,P754_gp02,P754_gp02,PHL114L00_02,-,-,-,putative terminase,protein-coding,-,-,-,putative terminase,20201221,-
1235656,16835709,P754_gp03,P754_gp03,PHL114L00_03,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201221,-
1235656,16835710,P754_gp04,P754_gp04,PHL114L00_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235656,16835711,P754_gp05,P754_gp05,PHL114L00_05,-,-,-,putative scaffold protein,protein-coding,-,-,-,putative scaffold protein,20201221,-
1235656,16835712,P754_gp06,P754_gp06,PHL114L00_06,-,-,-,putative major head protein,protein-coding,-,-,-,putative major head protein,20201221,-
1235656,16835713,P754_gp07,P754_gp07,PHL114L00_07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235656,16835714,P754_gp08,P754_gp08,PHL114L00_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235656,16835715,P754_gp09,P754_gp09,PHL114L00_09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235656,16835716,P754_gp10,P754_gp10,PHL114L00_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235656,16835717,P754_gp11,P754_gp11,PHL114L00_11,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201221,-
1235656,16835718,P754_gp12,P754_gp12,PHL114L00_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235656,16835719,P754_gp13,P754_gp13,PHL114L00_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235656,16835720,P754_gp14,P754_gp14,PHL114L00_14,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
1235656,16835721,P754_gp15,P754_gp15,PHL114L00_15,-,-,-,putative minor tail subunit,protein-coding,-,-,-,putative minor tail subunit,20201221,-
1235656,16835722,P754_gp16,P754_gp16,PHL114L00_16,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20201221,-
1235656,16835723,P754_gp17,P754_gp17,PHL114L00_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235656,16835724,P754_gp18,P754_gp18,PHL114L00_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235656,16835725,P754_gp19,P754_gp19,PHL114L00_19,-,-,-,putative collagen-like protein,protein-coding,-,-,-,putative collagen-like protein,20201221,-
1235656,16835726,P754_gp20,P754_gp20,PHL114L00_20,-,-,-,putative amidase,protein-coding,-,-,-,putative amidase,20201221,-
1235656,16835727,P754_gp21,P754_gp21,PHL114L00_21,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1235656,16835728,P754_gp22,P754_gp22,PHL114L00_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235656,16835729,P754_gp23,P754_gp23,PHL114L00_23,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20201221,-
1235656,16835730,P754_gp24,P754_gp24,PHL114L00_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235656,16835731,P754_gp25,P754_gp25,PHL114L00_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235656,16835732,P754_gp26,P754_gp26,PHL114L00_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235656,16835733,P754_gp27,P754_gp27,PHL114L00_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235656,16835734,P754_gp28,P754_gp28,PHL114L00_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235656,16835735,P754_gp29,P754_gp29,PHL114L00_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235656,16835736,P754_gp30,P754_gp30,PHL114L00_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1235656,16835737,P754_gp31,P754_gp31,PHL114L00_31,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1235656,16835738,P754_gp32,P754_gp32,PHL114L00_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235656,16835739,P754_gp33,P754_gp33,PHL114L00_33,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1235656,16835740,P754_gp34,P754_gp34,PHL114L00_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235656,16835741,P754_gp35,P754_gp35,PHL114L00_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235656,16835742,P754_gp36,P754_gp36,PHL114L00_36,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201221,-
1235656,16835743,P754_gp37,P754_gp37,PHL114L00_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235656,16835744,P754_gp38,P754_gp38,PHL114L00_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235656,16835745,P754_gp39,P754_gp39,PHL114L00_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235656,16835746,P754_gp40,P754_gp40,PHL114L00_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
