#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1983572,65107814,KNT63_gp075,KNT63_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107815,KNT63_gp076,KNT63_gp076,-,-,-,-,DNA helicase loader protein,protein-coding,-,-,-,DNA helicase loader protein,20210607,-
1983572,65107816,KNT63_gp077,KNT63_gp077,-,-,-,-,late promoter transcription protein,protein-coding,-,-,-,late promoter transcription protein,20210607,-
1983572,65107817,KNT63_gp078,KNT63_gp078,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210607,-
1983572,65107818,KNT63_gp079,KNT63_gp079,-,-,-,-,P-starvation inducible protein,protein-coding,-,-,-,P-starvation inducible protein,20210607,-
1983572,65107819,KNT63_gp080,KNT63_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107820,KNT63_gp081,KNT63_gp081,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210607,-
1983572,65107821,KNT63_gp082,KNT63_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107822,KNT63_gp083,KNT63_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107823,KNT63_gp084,KNT63_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107824,KNT63_gp085,KNT63_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107825,KNT63_gp086,KNT63_gp086,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210607,-
1983572,65107826,KNT63_gp087,KNT63_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107827,KNT63_gp088,KNT63_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107828,KNT63_gp089,KNT63_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107829,KNT63_gp090,KNT63_gp090,-,-,-,-,photosystem Q(A) protein,protein-coding,-,-,-,photosystem Q(A) protein,20210607,-
1983572,65107830,KNT63_gp091,KNT63_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107831,KNT63_gp092,KNT63_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107832,KNT63_gp093,KNT63_gp093,-,-,-,-,photosystem II D1 protein,protein-coding,-,-,-,photosystem II D1 protein,20210607,-
1983572,65107833,KNT63_gp094,KNT63_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107834,KNT63_gp095,KNT63_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107835,KNT63_gp096,KNT63_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107836,KNT63_gp097,KNT63_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107837,KNT63_gp098,KNT63_gp098,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20210607,-
1983572,65107838,KNT63_gp099,KNT63_gp099,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20210607,-
1983572,65107839,KNT63_gp100,KNT63_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107840,KNT63_gp101,KNT63_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107841,KNT63_gp102,KNT63_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107842,KNT63_gp103,KNT63_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107843,KNT63_gp104,KNT63_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107844,KNT63_gp105,KNT63_gp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107845,KNT63_gp106,KNT63_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107846,KNT63_gp107,KNT63_gp107,-,-,-,-,transaldolase-like protein,protein-coding,-,-,-,transaldolase-like protein,20210607,-
1983572,65107847,KNT63_gp108,KNT63_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107848,KNT63_gp109,KNT63_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107849,KNT63_gp110,KNT63_gp110,-,-,-,-,ribonucleotide reductase A,protein-coding,-,-,-,ribonucleotide reductase A,20210607,-
1983572,65107850,KNT63_gp111,KNT63_gp111,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20210607,-
1983572,65107851,KNT63_gp112,KNT63_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107852,KNT63_gp113,KNT63_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107853,KNT63_gp114,KNT63_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107854,KNT63_gp115,KNT63_gp115,-,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20210607,-
1983572,65107855,KNT63_gp116,KNT63_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107856,KNT63_gp117,KNT63_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107857,KNT63_gp118,KNT63_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107858,KNT63_gp119,KNT63_gp119,-,-,-,-,ribonucleotide reductase A,protein-coding,-,-,-,ribonucleotide reductase A,20210607,-
1983572,65107859,KNT63_gp120,KNT63_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107860,KNT63_gp121,KNT63_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107861,KNT63_gp122,KNT63_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107862,KNT63_gp123,KNT63_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107863,KNT63_gp124,KNT63_gp124,-,-,-,-,MazG,protein-coding,-,-,-,MazG,20210607,-
1983572,65107864,KNT63_gp125,KNT63_gp125,-,-,-,-,DNA primase-helicase,protein-coding,-,-,-,DNA primase-helicase,20210607,-
1983572,65107865,KNT63_gp126,KNT63_gp126,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20210607,-
1983572,65107866,KNT63_gp127,KNT63_gp127,-,-,-,-,RecA-like recombination protein,protein-coding,-,-,-,RecA-like recombination protein,20210607,-
1983572,65107867,KNT63_gp128,KNT63_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107868,KNT63_gp129,KNT63_gp129,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210607,-
1983572,65107869,KNT63_gp130,KNT63_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107870,KNT63_gp131,KNT63_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107871,KNT63_gp132,KNT63_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107872,KNT63_gp133,KNT63_gp133,-,-,-,-,DUF680 domain-containing protein,protein-coding,-,-,-,DUF680 domain-containing protein,20210607,-
1983572,65107873,KNT63_gp134,KNT63_gp134,-,-,-,-,Hsp20 heat shock protein,protein-coding,-,-,-,Hsp20 heat shock protein,20210607,-
1983572,65107874,KNT63_gp135,KNT63_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107875,KNT63_gp136,KNT63_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107876,KNT63_gp137,KNT63_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107877,KNT63_gp138,KNT63_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107878,KNT63_gp139,KNT63_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107879,KNT63_gp140,KNT63_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107880,KNT63_gp141,KNT63_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107881,KNT63_gp142,KNT63_gp142,-,-,-,-,translational repressor of early genes,protein-coding,-,-,-,translational repressor of early genes,20210607,-
1983572,65107882,KNT63_gp143,KNT63_gp143,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20210607,-
1983572,65107883,KNT63_gp144,KNT63_gp144,-,-,-,-,putative cytosine-specific protein,protein-coding,-,-,-,putative cytosine-specific protein,20210607,-
1983572,65107884,KNT63_gp145,KNT63_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107885,KNT63_gp146,KNT63_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107886,KNT63_gp147,KNT63_gp147,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20210607,-
1983572,65107887,KNT63_gp148,KNT63_gp148,-,-,-,-,S-adenosylmethionine decarboxylase,protein-coding,-,-,-,S-adenosylmethionine decarboxylase,20210607,-
1983572,65107888,KNT63_gp149,KNT63_gp149,-,-,-,-,sliding clamp DNA polymerase,protein-coding,-,-,-,sliding clamp DNA polymerase,20210607,-
1983572,65107889,KNT63_gp150,KNT63_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107890,KNT63_gp151,KNT63_gp151,-,-,-,-,porphyrin biosynthetic protein,protein-coding,-,-,-,porphyrin biosynthetic protein,20210607,-
1983572,65107891,KNT63_gp152,KNT63_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107892,KNT63_gp153,KNT63_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107893,KNT63_gp154,KNT63_gp154,-,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210607,-
1983572,65107894,KNT63_gp155,KNT63_gp155,-,-,-,-,putative tryptophan halogenase,protein-coding,-,-,-,putative tryptophan halogenase,20210607,-
1983572,65107895,KNT63_gp156,KNT63_gp156,-,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20210607,-
1983572,65107896,KNT63_gp157,KNT63_gp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107897,KNT63_gp158,KNT63_gp158,-,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20210607,-
1983572,65107898,KNT63_gp159,KNT63_gp159,-,-,-,-,sigma factor,protein-coding,-,-,-,sigma factor,20210607,-
1983572,65107899,KNT63_gp160,KNT63_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107900,KNT63_gp161,KNT63_gp161,-,-,-,-,UvsW,protein-coding,-,-,-,UvsW,20210607,-
1983572,65107901,KNT63_gp162,KNT63_gp162,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20210607,-
1983572,65107902,KNT63_gp163,KNT63_gp163,-,-,-,-,UvsY,protein-coding,-,-,-,UvsY,20210607,-
1983572,65107903,KNT63_gp164,KNT63_gp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107904,KNT63_gp165,KNT63_gp165,-,-,-,-,head-proximal tip of tail protein,protein-coding,-,-,-,head-proximal tip of tail protein,20210607,-
1983572,65107905,KNT63_gp166,KNT63_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107906,KNT63_gp167,KNT63_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107907,KNT63_gp168,KNT63_gp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107908,KNT63_gp169,KNT63_gp169,-,-,-,-,precursor of head vertex protein,protein-coding,-,-,-,precursor of head vertex protein,20210607,-
1983572,65107909,KNT63_gp170,KNT63_gp170,-,-,-,-,scaffold prohead core protein,protein-coding,-,-,-,scaffold prohead core protein,20210607,-
1983572,65107910,KNT63_gp171,KNT63_gp171,-,-,-,-,protease,protein-coding,-,-,-,protease,20210607,-
1983572,65107911,KNT63_gp172,KNT63_gp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107912,KNT63_gp173,KNT63_gp173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107913,KNT63_gp174,KNT63_gp174,-,-,-,-,head-proximal tip of tail tube,protein-coding,-,-,-,head-proximal tip of tail tube,20210607,-
1983572,65107914,KNT63_gp175,KNT63_gp175,-,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20210607,-
1983572,65107915,KNT63_gp176,KNT63_gp176,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
1983572,65107916,KNT63_gp177,KNT63_gp177,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210607,-
1983572,65107917,KNT63_gp178,KNT63_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107918,KNT63_gp179,KNT63_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107919,KNT63_gp180,KNT63_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107920,KNT63_gp181,KNT63_gp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107921,KNT63_gp182,KNT63_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107922,KNT63_gp183,KNT63_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107923,KNT63_gp184,KNT63_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107924,KNT63_gp185,KNT63_gp185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107925,KNT63_gp186,KNT63_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107926,KNT63_gp187,KNT63_gp187,-,-,-,-,ferredoxin,protein-coding,-,-,-,ferredoxin,20210607,-
1983572,65107927,KNT63_gp188,KNT63_gp188,-,-,-,-,plastocyanin,protein-coding,-,-,-,plastocyanin,20210607,-
1983572,65107928,KNT63_gp189,KNT63_gp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107929,KNT63_gp190,KNT63_gp190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107930,KNT63_gp191,KNT63_gp191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107931,KNT63_gp192,KNT63_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107932,KNT63_gp193,KNT63_gp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107933,KNT63_gp194,KNT63_gp194,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
1983572,65107934,KNT63_gp195,KNT63_gp195,-,-,-,-,tail sheath stabilizer,protein-coding,-,-,-,tail sheath stabilizer,20210607,-
1983572,65107935,KNT63_gp196,KNT63_gp196,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
1983572,65107936,KNT63_gp197,KNT63_gp197,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
1983572,65107937,KNT63_gp198,KNT63_gp198,-,-,-,-,outer membrane protein,protein-coding,-,-,-,outer membrane protein,20210607,-
1983572,65107938,KNT63_gp199,KNT63_gp199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107939,KNT63_gp200,KNT63_gp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107940,KNT63_gp201,KNT63_gp201,-,-,-,-,VrlC protein,protein-coding,-,-,-,VrlC protein,20210607,-
1983572,65107941,KNT63_gp202,KNT63_gp202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107942,KNT63_gp203,KNT63_gp203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1983572,65107943,KNT63_gp204,KNT63_gp204,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210607,-
1983572,65107944,KNT63_gp001,KNT63_gp001,-,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20210607,-
1983572,65242577,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
