#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
698488,40072889,FDH14_gp02,FDH14_gp02,-,-,-,-,putative terminase,protein-coding,-,-,-,putative terminase,20201220,-
698488,40072890,FDH14_gp03,FDH14_gp03,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201220,-
698488,40072891,FDH14_gp04,FDH14_gp04,-,-,-,-,"putative head protein, SPP1 gp7 family",protein-coding,-,-,-,"putative head protein, SPP1 gp7 family",20201220,-
698488,40072892,FDH14_gp05,FDH14_gp05,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201220,-
698488,40072893,FDH14_gp06,FDH14_gp06,-,-,-,-,putative spanin,protein-coding,-,-,-,putative spanin,20201220,-
698488,40072894,FDH14_gp07,FDH14_gp07,-,-,-,-,putative spanin,protein-coding,-,-,-,putative spanin,20201220,-
698488,40072895,FDH14_gp08,FDH14_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072896,FDH14_gp09,FDH14_gp09,-,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20201220,-
698488,40072897,FDH14_gp10,FDH14_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072898,FDH14_gp11,FDH14_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072899,FDH14_gp12,FDH14_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072900,FDH14_gp13,FDH14_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072901,FDH14_gp14,FDH14_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072902,FDH14_gp15,FDH14_gp15,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201220,-
698488,40072903,FDH14_gp17,FDH14_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072904,FDH14_gp16,FDH14_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072905,FDH14_gp18,FDH14_gp18,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201220,-
698488,40072906,FDH14_gp19,FDH14_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072907,FDH14_gp20,FDH14_gp20,-,-,-,-,putative kinase-phosphatase,protein-coding,-,-,-,putative kinase-phosphatase,20210417,-
698488,40072908,FDH14_gp21,FDH14_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072909,FDH14_gp22,FDH14_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072910,FDH14_gp23,FDH14_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072911,FDH14_gp25,FDH14_gp25,-,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201220,-
698488,40072912,FDH14_gp24,FDH14_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072913,FDH14_gp26,FDH14_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072914,FDH14_gp27,FDH14_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072915,FDH14_gp28,FDH14_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072916,FDH14_gp29,FDH14_gp29,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201220,-
698488,40072917,FDH14_gp30,FDH14_gp30,-,-,-,-,tailspike 63D sialidase,protein-coding,-,-,-,tailspike 63D sialidase,20201220,-
698488,40072918,FDH14_gp31,FDH14_gp31,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201220,-
698488,40072919,FDH14_gp32,FDH14_gp32,-,-,-,-,putative C-specific methylase,protein-coding,-,-,-,putative C-specific methylase,20201220,-
698488,40072920,FDH14_gp33,FDH14_gp33,-,-,-,-,putative Mte8-like protein,protein-coding,-,-,-,putative Mte8-like protein,20201220,-
698488,40072921,FDH14_gp34,FDH14_gp34,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201220,-
698488,40072922,FDH14_gp35,FDH14_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072923,FDH14_gp36,FDH14_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072924,FDH14_gp37,FDH14_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072925,FDH14_gp38,FDH14_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072926,FDH14_gp39,FDH14_gp39,-,-,-,-,putative helicase-primase,protein-coding,-,-,-,putative helicase-primase,20201220,-
698488,40072927,FDH14_gp40,FDH14_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
698488,40072928,FDH14_gp41,FDH14_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
