#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1792245,29081781,Blue_002,Blue_002,-,-,-,-,PcfJ-like protein,protein-coding,-,-,-,PcfJ-like protein,20200910,-
1792245,29081782,Blue_003,Blue_003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081783,Blue_004,Blue_004,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200910,-
1792245,29081784,Blue_005,Blue_005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081785,Blue_006,Blue_006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081786,Blue_007,Blue_007,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20200910,-
1792245,29081787,Blue_008,Blue_008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081788,Blue_009,Blue_009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081789,Blue_010,Blue_010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081790,Blue_011,Blue_011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081791,Blue_012,Blue_012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081792,Blue_013,Blue_013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081793,Blue_014,Blue_014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081794,Blue_015,Blue_015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081795,Blue_016,Blue_016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081796,Blue_017,Blue_017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081797,Blue_018,Blue_018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081798,Blue_019,Blue_019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081799,Blue_020,Blue_020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081800,Blue_021,Blue_021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081801,Blue_022,Blue_022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081802,Blue_023,Blue_023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081803,Blue_024,Blue_024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081804,Blue_025,Blue_025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081805,Blue_026,Blue_026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081806,Blue_027,Blue_027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081807,Blue_028,Blue_028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1792245,29081808,Blue_029,Blue_029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
