#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1131317,14011747,FV3_00088,FV3_00088,-,-,-,-,putative exodeoxyribonuclease,protein-coding,-,-,-,putative exodeoxyribonuclease,20200629,-
1131317,14011748,FV3_00089,FV3_00089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011749,FV3_00090,FV3_00090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011750,FV3_00091,FV3_00091,-,-,-,-,EndoVII packaging and recombination endonuclease,protein-coding,-,-,-,EndoVII packaging and recombination endonuclease,20200629,-
1131317,14011751,FV3_00092,FV3_00092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011752,FV3_00093,FV3_00093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
1131317,14011753,FV3_00094,FV3_00094,-,-,-,-,putative DNA N6-adenine methyltransferase,protein-coding,-,-,-,putative DNA N6-adenine methyltransferase,20200629,-
1131317,14011754,FV3_00095,FV3_00095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011755,FV3_00096,FV3_00096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011756,FV3_0097,FV3_0097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011757,FV3_00098,FV3_00098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1131317,14011758,FV3_00099,FV3_00099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011759,FV3_00100,FV3_00100,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200629,-
1131317,14011760,FV3_00101,FV3_00101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011761,FV3_00102,FV3_00102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011762,FV3_00103,FV3_00103,-,-,-,-,ribonucleoside triphosphate reductase alpha chain,protein-coding,-,-,-,ribonucleoside triphosphate reductase alpha chain,20200629,-
1131317,14011763,FV3_00104,FV3_00104,-,-,-,-,ribonucleoside diphosphate reductase beta chain,protein-coding,-,-,-,ribonucleoside diphosphate reductase beta chain,20200629,-
1131317,14011764,FV3_00105,FV3_00105,-,-,-,-,glutaredoxin 1,protein-coding,-,-,-,glutaredoxin 1,20200629,-
1131317,14011765,FV3_00106,FV3_00106,-,-,-,-,anaerobic ribonucleoside-triphosphate reductase,protein-coding,-,-,-,anaerobic ribonucleoside-triphosphate reductase,20210123,-
1131317,14011766,FV3_00107,FV3_00107,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20200629,-
1131317,14011767,FV3_00108,FV3_00108,-,-,-,-,anaerobic ribonucleoside-triphosphate reductase,protein-coding,-,-,-,anaerobic ribonucleoside-triphosphate reductase,20200629,-
1131317,14011768,FV3_00109,FV3_00109,-,-,-,-,anaerobic NTP reductase small subunit,protein-coding,-,-,-,anaerobic NTP reductase small subunit,20200629,-
1131317,14011769,FV3_00110,FV3_00110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011770,FV3_00111,FV3_00111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011771,FV3_00112,FV3_00112,-,-,-,-,PhoH-like protein,protein-coding,-,-,-,PhoH-like protein,20210129,-
1131317,14011772,FV3_00113,FV3_00113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011773,FV3_00114,FV3_00114,-,-,-,-,ClpP ATP-dependent protease subunit,protein-coding,-,-,-,ClpP ATP-dependent protease subunit,20200629,-
1131317,14011774,FV3_00115,FV3_00115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011775,FV3_00116,FV3_00116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1131317,14011776,FV3_00117,FV3_00117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
