#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
287,2827877,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Bacillus aeruginosus; Bacillus pyocyaneus; Bacterium aeruginosum; Bacterium pyocyaneum; Micrococcus pyocyaneus; Pseudomonas polycolor; Pseudomonas pyocyanea; probable synonym or variety: ""Pseudomonas polycolor"" Clara 1930.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210522,-
287,39458370,DL351_RS34750,DL351_RS34750,DL351_34610,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,39458389,DL351_RS34700,DL351_RS34700,DL351_34560,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,39458393,DL351_RS34735,DL351_RS34735,DL351_34595,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,39458396,DL351_RS34505,DL351_RS34505,DL351_34365,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,39458399,DL351_RS34675,DL351_RS34675,DL351_34535,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
287,39458401,DL351_RS34655,DL351_RS34655,DL351_34515,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,39458405,DL351_RS34575,DL351_RS34575,DL351_34435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,39458407,DL351_RS34485,DL351_RS34485,DL351_34345,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
287,39458408,DL351_RS34720,DL351_RS34720,DL351_34580,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
287,39458409,DL351_RS34730,DL351_RS34730,DL351_34590,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,39458429,EGY27_RS00025,EGY27_RS00025,EGY27_00025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,39458432,EGY27_RS00150,EGY27_RS00150,EGY27_00150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,39458446,EGY27_RS00175,EGY27_RS00175,EGY27_00175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,39458485,PA5486_RS35090,PA5486_RS35090,PA5486_06835,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190428,-
287,39458500,PA5486_RS35245,PA5486_RS35245,PA5486_06863,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,39458504,PA5486_RS35225,PA5486_RS35225,PA5486_06859,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190608,-
287,40042064,DZ927_RS34155,DZ927_RS34155,DZ927_034160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042075,DZ927_RS34265,DZ927_RS34265,DZ927_034270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
287,40042077,DZ927_RS34200,DZ927_RS34200,DZ927_034205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
