#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1897739,55601238,HWB03_gp02,HWB03_gp02,STCF101_0002,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210327,-
1897739,55601239,HWB03_gp03,HWB03_gp03,STCF101_0003,-,-,-,DUF1441 family protein,protein-coding,-,-,-,DUF1441 family protein,20210116,-
1897739,55601240,HWB03_gp04,HWB03_gp04,STCF101_0004,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200801,-
1897739,55601241,HWB03_gp05,HWB03_gp05,STCF101_0005,-,-,-,putative head-to-tail joining protein W,protein-coding,-,-,-,putative head-to-tail joining protein W,20210116,-
1897739,55601242,HWB03_gp06,HWB03_gp06,STCF101_0006,-,-,-,portal protein,pseudo,-,-,-,-,20201221,-
1897739,55601243,HWB03_gp07,HWB03_gp07,STCF101_0008,-,-,-,head-tail preconnector protein,protein-coding,-,-,-,head-tail preconnector protein,20200801,-
1897739,55601244,HWB03_gp08,HWB03_gp08,STCF101_0009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1897739,55601245,HWB03_gp09,HWB03_gp09,STCF101_0010,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210123,-
1897739,55601246,HWB03_gp10,HWB03_gp10,STCF101_0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601247,HWB03_gp11,HWB03_gp11,STCF101_0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601248,HWB03_gp12,HWB03_gp12,STCF101_0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601249,HWB03_gp13,HWB03_gp13,STCF101_0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601250,HWB03_gp14,HWB03_gp14,STCF101_0015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601251,HWB03_gp15,HWB03_gp15,STCF101_0016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601252,HWB03_gp16,HWB03_gp16,STCF101_0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601253,HWB03_gp17,HWB03_gp17,STCF101_0018,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20210327,-
1897739,55601254,HWB03_gp18,HWB03_gp18,STCF101_0019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601255,HWB03_gp19,HWB03_gp19,STCF101_0020,-,-,-,BR0599 family protein,protein-coding,-,-,-,BR0599 family protein,20201221,-
1897739,55601256,HWB03_gp20,HWB03_gp20,STCF101_0021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601257,HWB03_gp21,HWB03_gp21,STCF101_0022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601258,HWB03_gp22,HWB03_gp22,STCF101_0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1897739,55601259,HWB03_gp23,HWB03_gp23,STCF101_0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1897739,55601260,HWB03_gp24,HWB03_gp24,STCF101_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601261,HWB03_gp25,HWB03_gp25,STCF101_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601262,HWB03_gp26,HWB03_gp26,STCF101_0027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601263,HWB03_gp27,HWB03_gp27,STCF101_0028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601264,HWB03_gp28,HWB03_gp28,STCF101_0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601265,HWB03_gp29,HWB03_gp29,STCF101_0030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601266,HWB03_gp30,HWB03_gp30,STCF101_0031,-,-,-,putative endolysin 2,protein-coding,-,-,-,putative endolysin 2,20201221,-
1897739,55601267,HWB03_gp31,HWB03_gp31,STCF101_0032,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200801,-
1897739,55601268,HWB03_gp32,HWB03_gp32,STCF101_0033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897739,55601269,HWB03_gp33,HWB03_gp33,STCF101_0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
