#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591375,56134730,H1O00_gp02,H1O00_gp02,GROOT_2,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210424,-
2591375,56134731,H1O00_gp03,H1O00_gp03,GROOT_3,-,-,-,putative head morphogenesis protein,protein-coding,-,-,-,putative head morphogenesis protein,20201217,-
2591375,56134732,H1O00_gp04,H1O00_gp04,GROOT_4,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20210424,-
2591375,56134733,H1O00_gp05,H1O00_gp05,GROOT_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134734,H1O00_gp06,H1O00_gp06,GROOT_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591375,56134735,H1O00_gp07,H1O00_gp07,GROOT_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134736,H1O00_gp08,H1O00_gp08,GROOT_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591375,56134737,H1O00_gp09,H1O00_gp09,GROOT_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134738,H1O00_gp10,H1O00_gp10,GROOT_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134739,H1O00_gp11,H1O00_gp11,GROOT_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591375,56134740,H1O00_gp12,H1O00_gp12,GROOT_12,-,-,-,putative tail protein/depolymerase,protein-coding,-,-,-,putative tail protein/depolymerase,20201217,-
2591375,56134741,H1O00_gp13,H1O00_gp13,GROOT_13,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201217,-
2591375,56134742,H1O00_gp14,H1O00_gp14,GROOT_14,-,-,-,putative tape measure chaperone,protein-coding,-,-,-,putative tape measure chaperone,20201217,-
2591375,56134743,H1O00_gp15,H1O00_gp15,GROOT_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591375,56134744,H1O00_gp16,H1O00_gp16,GROOT_16,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201217,-
2591375,56134745,H1O00_gp17,H1O00_gp17,GROOT_17,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210424,-
2591375,56134746,H1O00_gp18,H1O00_gp18,GROOT_18,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20201217,-
2591375,56134747,H1O00_gp19,H1O00_gp19,GROOT_19,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20210424,-
2591375,56134748,H1O00_gp20,H1O00_gp20,GROOT_20,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20201217,-
2591375,56134749,H1O00_gp21,H1O00_gp21,GROOT_21,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210424,-
2591375,56134750,H1O00_gp22,H1O00_gp22,GROOT_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134751,H1O00_gp23,H1O00_gp23,GROOT_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134752,H1O00_gp24,H1O00_gp24,GROOT_24,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201217,-
2591375,56134753,H1O00_gp25,H1O00_gp25,GROOT_25,-,-,-,putative ssDNA binding protein,protein-coding,-,-,-,putative ssDNA binding protein,20200724,-
2591375,56134754,H1O00_gp26,H1O00_gp26,GROOT_26,-,-,-,putative recombination protein,protein-coding,-,-,-,putative recombination protein,20210327,-
2591375,56134755,H1O00_gp27,H1O00_gp27,GROOT_27,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20210424,-
2591375,56134756,H1O00_gp28,H1O00_gp28,GROOT_28,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201217,-
2591375,56134757,H1O00_gp29,H1O00_gp29,GROOT_29,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200912,-
2591375,56134758,H1O00_gp30,H1O00_gp30,GROOT_30,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201217,-
2591375,56134759,H1O00_gp31,H1O00_gp31,GROOT_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591375,56134760,H1O00_gp32,H1O00_gp32,GROOT_32,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20200724,-
2591375,56134761,H1O00_gp33,H1O00_gp33,GROOT_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591375,56134762,H1O00_gp34,H1O00_gp34,GROOT_34,-,-,-,DNA adenine methyltransferase,protein-coding,-,-,-,DNA adenine methyltransferase,20210424,-
2591375,56134763,H1O00_gp35,H1O00_gp35,GROOT_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134764,H1O00_gp36,H1O00_gp36,GROOT_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134765,H1O00_gp37,H1O00_gp37,GROOT_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134766,H1O00_gp38,H1O00_gp38,GROOT_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591375,56134767,H1O00_gp39,H1O00_gp39,GROOT_39,-,-,-,putative polynucleotide kinase/phosphatase,protein-coding,-,-,-,putative polynucleotide kinase/phosphatase,20210327,-
2591375,56134768,H1O00_gp40,H1O00_gp40,GROOT_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591375,56134769,H1O00_gp41,H1O00_gp41,GROOT_41,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200724,-
2591375,56134770,H1O00_gp42,H1O00_gp42,GROOT_42,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201217,-
