#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2681621,11294559,clP1_057,clP1_057,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201222,-
2681621,11294560,clP1_012,clP1_012,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20201222,-
2681621,11294561,clP1_014,clP1_014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294562,clP1_013,clP1_013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294563,clP1_015,clP1_015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294564,clP1_016,clP1_016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294565,clP1_017,clP1_017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294566,clP1_018,clP1_018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294567,clP1_020,clP1_020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294568,clP1_021,clP1_021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294569,clP1_022,clP1_022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294570,clP1_025,clP1_025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294571,clP1_024,clP1_024,-,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20201222,-
2681621,11294572,clP1_019,clP1_019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294573,clP1_023,clP1_023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294574,clP1_026,clP1_026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294575,clP1_027,clP1_027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294576,clP1_028,clP1_028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294577,clP1_030,clP1_030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294578,clP1_029,clP1_029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294579,clP1_031,clP1_031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294580,clP1_032,clP1_032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294581,clP1_035,clP1_035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294582,clP1_034,clP1_034,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201222,-
2681621,11294583,clP1_033,clP1_033,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201222,-
2681621,11294584,clP1_036,clP1_036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2681621,11294585,clP1_039,clP1_039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
