#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1239383,14181360,F867_gp176,F867_gp176,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200629,-
1239383,14181361,F867_gp177,F867_gp177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181362,F867_gp178,F867_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181363,F867_gp179,F867_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181364,F867_gp180,F867_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181365,F867_gp181,F867_gp181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181366,F867_gp182,F867_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181367,F867_gp183,F867_gp183,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1239383,14181368,F867_gp184,F867_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181369,F867_gp185,F867_gp185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181370,F867_gp186,F867_gp186,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200629,-
1239383,14181371,F867_gp187,F867_gp187,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200629,-
1239383,14181372,F867_gp188,F867_gp188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181373,F867_gp189,F867_gp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181374,F867_gp190,F867_gp190,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200629,-
1239383,14181375,F867_gp191,F867_gp191,-,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200629,-
1239383,14181376,F867_gp192,F867_gp192,-,-,-,-,Ig-like protein,protein-coding,-,-,-,Ig-like protein,20200629,-
1239383,14181377,F867_gp193,F867_gp193,-,-,-,-,sigma factor,protein-coding,-,-,-,sigma factor,20210212,-
1239383,14181378,F867_gp194,F867_gp194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181379,F867_gp195,F867_gp195,-,-,-,-,recombinasea,protein-coding,-,-,-,recombinasea,20200629,-
1239383,14181380,F867_gp196,F867_gp196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181381,F867_gp197,F867_gp197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
