#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1239383,14181427,F867_gp148,F867_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181428,F867_gp147,F867_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181429,F867_gp146,F867_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181430,F867_gp145,F867_gp145,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200629,-
1239383,14181431,F867_gp144,F867_gp144,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210417,-
1239383,14181432,F867_gp143,F867_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181433,F867_gp142,F867_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181434,F867_gp141,F867_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181435,F867_gp140,F867_gp140,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20200629,-
1239383,14181436,F867_gp139,F867_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181437,F867_gp138,F867_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181438,F867_gp137,F867_gp137,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
1239383,14181439,F867_gp136,F867_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181440,F867_gp135,F867_gp135,-,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20200629,-
1239383,14181441,F867_gp134,F867_gp134,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210320,-
1239383,14181442,F867_gp133,F867_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181443,F867_gp132,F867_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181444,F867_gp131,F867_gp131,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200629,-
1239383,14181445,F867_gp130,F867_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181446,F867_gp129,F867_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181447,F867_gp128,F867_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181448,F867_gp127,F867_gp127,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210212,-
1239383,14181449,F867_gp126,F867_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181450,F867_gp125,F867_gp125,-,-,-,-,Dmd,protein-coding,-,-,-,Dmd,20200629,-
1239383,14181451,F867_gp124,F867_gp124,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200629,-
1239383,14181452,F867_gp123,F867_gp123,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200629,-
1239383,14181453,F867_gp122,F867_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181454,F867_gp001,F867_gp001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181455,iro,F867_gp168,-,-,-,-,Iro,protein-coding,-,-,-,Iro,20200629,-
1239383,14181456,F867_gp120,F867_gp120,-,-,-,-,phage philc3 family protein,protein-coding,-,-,-,phage philc3 family protein,20210417,-
1239383,14181457,F867_gp119,F867_gp119,-,-,-,-,autolysin (n-acetylmuramoyl-l-alanine amidase),protein-coding,-,-,-,autolysin (n-acetylmuramoyl-l-alanine amidase),20210320,-
1239383,14181458,F867_gp118,F867_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1239383,14181459,F867_gp117,F867_gp117,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200629,-
1239383,14250486,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Staphylococcus aureus bacteriophage JD007).,other,-,-,-,-,20200513,-
