#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
377461,4524529,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Malvastrum yellow mosaic virus associated DNA1; Malvastrum yellow mosaic virus-associated DNA 1).,other,-,-,-,-,20190327,-
377461,37627265,rep,D1Y54_gp1,-,-,-,-,replication protein,protein-coding,-,-,-,replication protein,20181103,-
