#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1527514,20284416,LD29_gp02,LD29_gp02,EK99P-1_0002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1527514,20284417,LD29_gp03,LD29_gp03,EK99P-1_0003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284418,LD29_gp04,LD29_gp04,EK99P-1_0004,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20201221,-
1527514,20284419,LD29_gp05,LD29_gp05,EK99P-1_0005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284420,LD29_gp06,LD29_gp06,EK99P-1_0006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284421,LD29_gp07,LD29_gp07,EK99P-1_0007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284422,LD29_gp08,LD29_gp08,EK99P-1_0008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284423,LD29_gp09,LD29_gp09,EK99P-1_0009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284424,LD29_gp10,LD29_gp10,EK99P-1_0010,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201221,-
1527514,20284425,LD29_gp11,LD29_gp11,EK99P-1_0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284426,LD29_gp12,LD29_gp12,EK99P-1_0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284427,LD29_gp13,LD29_gp13,EK99P-1_0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284428,LD29_gp14,LD29_gp14,EK99P-1_0014,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201221,-
1527514,20284429,LD29_gp15,LD29_gp15,EK99P-1_0015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284430,LD29_gp16,LD29_gp16,EK99P-1_0016,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201221,-
1527514,20284431,LD29_gp17,LD29_gp17,EK99P-1_0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527514,20284432,LD29_gp18,LD29_gp18,EK99P-1_0018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1527514,20284433,LD29_gp19,LD29_gp19,EK99P-1_0019,-,-,-,tail length tape measure protein,protein-coding,-,-,-,tail length tape measure protein,20201221,-
1527514,20284434,LD29_gp20,LD29_gp20,EK99P-1_0020,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20201221,-
1527514,20284435,LD29_gp21,LD29_gp21,EK99P-1_0021,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1527514,20284436,LD29_gp22,LD29_gp22,EK99P-1_0022,-,-,-,tail component protein,protein-coding,-,-,-,tail component protein,20201221,-
1527514,20284437,LD29_gp23,LD29_gp23,EK99P-1_0023,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20201221,-
