#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
424947,17494502,V184_gp02,V184_gp02,-,-,-,-,putative phage terminase large subunit,protein-coding,-,-,-,putative phage terminase large subunit,20201220,-
424947,17494503,V184_gp03,V184_gp03,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
424947,17494504,V184_gp04,V184_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494505,V184_gp05,V184_gp05,-,-,-,-,putative head morphogenesis protein,protein-coding,-,-,-,putative head morphogenesis protein,20200629,-
424947,17494506,V184_gp06,V184_gp06,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
424947,17494507,V184_gp07,V184_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494508,V184_gp08,V184_gp08,-,-,-,-,putative spanin protein,protein-coding,-,-,-,putative spanin protein,20200629,-
424947,17494509,V184_gp09,V184_gp09,-,-,-,-,putative spanin protein,protein-coding,-,-,-,putative spanin protein,20200629,-
424947,17494510,V184_gp10,V184_gp10,-,-,-,-,putative scaffold protein,protein-coding,-,-,-,putative scaffold protein,20200629,-
424947,17494511,V184_gp11,V184_gp11,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
424947,17494512,V184_gp12,V184_gp12,-,-,-,-,putative head protein,protein-coding,-,-,-,putative head protein,20200629,-
424947,17494513,V184_gp13,V184_gp13,-,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20210123,-
424947,17494514,V184_gp14,V184_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494515,V184_gp15,V184_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494516,V184_gp16,V184_gp16,-,-,-,-,putative neck protein,protein-coding,-,-,-,putative neck protein,20200629,-
424947,17494517,V184_gp17,V184_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494518,V184_gp18,V184_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494519,V184_gp19,V184_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494520,V184_gp20,V184_gp20,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
424947,17494521,V184_gp21,V184_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494522,V184_gp22,V184_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494523,V184_gp23,V184_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494524,V184_gp24,V184_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494525,V184_gp25,V184_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494526,V184_gp26,V184_gp26,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20200629,-
424947,17494527,V184_gp27,V184_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494528,V184_gp28,V184_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494529,V184_gp29,V184_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494530,V184_gp30,V184_gp30,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
424947,17494531,V184_gp31,V184_gp31,-,-,-,-,tailspike protein,protein-coding,-,-,-,tailspike protein,20200629,-
424947,17494532,V184_gp32,V184_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494533,V184_gp33,V184_gp33,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200629,-
424947,17494534,V184_gp34,V184_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494535,V184_gp35,V184_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
424947,17494536,V184_gp36,V184_gp36,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200629,-
424947,17494537,V184_gp37,V184_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
