#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1610836,26645457,AVU35_gp02,AVU35_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1610836,26645458,AVU35_gp03,AVU35_gp03,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
1610836,26645459,AVU35_gp04,AVU35_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645460,AVU35_gp05,AVU35_gp05,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20200629,-
1610836,26645461,AVU35_gp06,AVU35_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645462,AVU35_gp07,AVU35_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645463,AVU35_gp08,AVU35_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645464,AVU35_gp09,AVU35_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645465,AVU35_gp10,AVU35_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645466,AVU35_gp11,AVU35_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645467,AVU35_gp12,AVU35_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645468,AVU35_gp13,AVU35_gp13,-,-,-,-,putative phage tail subunit,protein-coding,-,-,-,putative phage tail subunit,20200629,-
1610836,26645469,AVU35_gp14,AVU35_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645470,AVU35_gp15,AVU35_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645471,AVU35_gp16,AVU35_gp16,-,-,-,-,putative tail length tape measure protein,protein-coding,-,-,-,putative tail length tape measure protein,20200629,-
1610836,26645472,AVU35_gp17,AVU35_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645473,AVU35_gp18,AVU35_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645474,AVU35_gp19,AVU35_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645475,AVU35_gp20,AVU35_gp20,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1610836,26645476,AVU35_gp21,AVU35_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645477,AVU35_gp22,AVU35_gp22,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1610836,26645478,AVU35_gp23,AVU35_gp23,-,-,-,-,tail fiber assembly protein,protein-coding,-,-,-,tail fiber assembly protein,20200629,-
1610836,26645479,AVU35_gp24,AVU35_gp24,-,-,-,-,tail fiber assembly protein,protein-coding,-,-,-,tail fiber assembly protein,20200629,-
1610836,26645480,AVU35_gp25,AVU35_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645481,AVU35_gp26,AVU35_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645482,AVU35_gp27,AVU35_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645483,AVU35_gp28,AVU35_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645484,AVU35_gp29,AVU35_gp29,-,-,-,-,DNA polymerase B region,protein-coding,-,-,-,DNA polymerase B region,20200629,-
1610836,26645485,AVU35_gp30,AVU35_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645486,AVU35_gp31,AVU35_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645487,AVU35_gp32,AVU35_gp32,-,-,-,-,GTP cyclohydrolase I / queuosine biosynthesis protein FolE,protein-coding,-,-,-,GTP cyclohydrolase I / queuosine biosynthesis protein FolE,20200629,-
1610836,26645488,AVU35_gp33,AVU35_gp33,-,-,-,-,6-carboxytetrahydropterin synthase,protein-coding,-,-,-,6-carboxytetrahydropterin synthase,20200629,-
1610836,26645489,AVU35_gp34,AVU35_gp34,-,-,-,-,glutamine amidotransferases class-II (GATase) / queuosine biosynthesis QueC ATPase,protein-coding,-,-,-,glutamine amidotransferases class-II (GATase) / queuosine biosynthesis QueC ATPase,20200629,-
1610836,26645490,AVU35_gp35,AVU35_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645491,AVU35_gp36,AVU35_gp36,-,-,-,-,queuosine Biosynthesis QueE Radical SAM,protein-coding,-,-,-,queuosine Biosynthesis QueE Radical SAM,20200629,-
1610836,26645492,AVU35_gp37,AVU35_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645493,AVU35_gp38,AVU35_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645494,AVU35_gp39,AVU35_gp39,-,-,-,-,helicase-like protein,protein-coding,-,-,-,helicase-like protein,20200629,-
1610836,26645495,AVU35_gp40,AVU35_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645496,AVU35_gp41,AVU35_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645497,AVU35_gp42,AVU35_gp42,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210424,-
1610836,26645498,AVU35_gp43,AVU35_gp43,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200629,-
1610836,26645499,AVU35_gp44,AVU35_gp44,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20200629,-
1610836,26645500,AVU35_gp45,AVU35_gp45,-,-,-,-,RNAse H,protein-coding,-,-,-,RNAse H,20200629,-
1610836,26645501,AVU35_gp46,AVU35_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645502,AVU35_gp47,AVU35_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645503,AVU35_gp48,AVU35_gp48,-,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,20200629,-
1610836,26645504,AVU35_gp49,AVU35_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645505,AVU35_gp50,AVU35_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645506,AVU35_gp51,AVU35_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645507,AVU35_gp52,AVU35_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645508,AVU35_gp53,AVU35_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645509,AVU35_gp54,AVU35_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645510,AVU35_gp55,AVU35_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645511,AVU35_gp56,AVU35_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645512,AVU35_gp57,AVU35_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645513,AVU35_gp58,AVU35_gp58,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200629,-
1610836,26645514,AVU35_gp59,AVU35_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645515,AVU35_gp60,AVU35_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645516,AVU35_gp61,AVU35_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645517,AVU35_gp62,AVU35_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645518,AVU35_gp63,AVU35_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645519,AVU35_gp64,AVU35_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645520,AVU35_gp65,AVU35_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645521,AVU35_gp66,AVU35_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645522,AVU35_gp67,AVU35_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645523,AVU35_gp68,AVU35_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645524,AVU35_gp69,AVU35_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645525,AVU35_gp70,AVU35_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645526,AVU35_gp71,AVU35_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645527,AVU35_gp72,AVU35_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645528,AVU35_gp73,AVU35_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645529,AVU35_gp74,AVU35_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645530,AVU35_gp75,AVU35_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645531,AVU35_gp76,AVU35_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645532,AVU35_gp77,AVU35_gp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645533,AVU35_gp78,AVU35_gp78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645534,AVU35_gp79,AVU35_gp79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645535,AVU35_gp80,AVU35_gp80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645536,AVU35_gp81,AVU35_gp81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645537,AVU35_gp82,AVU35_gp82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645538,AVU35_gp83,AVU35_gp83,-,-,-,-,lysin,protein-coding,-,-,-,lysin,20200629,-
1610836,26645539,AVU35_gp84,AVU35_gp84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645540,AVU35_gp85,AVU35_gp85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645541,AVU35_gp86,AVU35_gp86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1610836,26645542,AVU35_gp01,AVU35_gp01,-,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20200629,-
1610836,26680750,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
