#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
53749,32230939,rps12,B9D61_pgp043,-,-,-,-,ribosomal protein S12,protein-coding,-,-,-,-,20170714,-
53749,32230940,clpP,B9D61_pgp041,-,-,-,-,ATP-dependent Clp protease proteolytic subunit,protein-coding,-,-,-,-,20170908,-
53749,32230941,trnH-GUG,B9D61_pgt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20170419,-
53749,32230942,trnL-CAA,B9D61_pgt023,-,-,-,-,tRNA,tRNA,-,-,-,-,20170419,-
53749,32230943,trnI-CAU,B9D61_pgt036,-,-,-,-,tRNA,tRNA,-,-,-,-,20170419,-
53749,32230944,rps15,B9D61_pgp018,-,-,-,-,ribosomal protein S15,protein-coding,-,-,-,-,20170908,-
53749,32230945,rps2,B9D61_pgp077,-,-,-,-,ribosomal protein S2,protein-coding,-,-,-,-,20170908,-
53749,32230946,rpoC1,B9D61_pgp079,-,-,-,-,RNA polymerase beta' subunit,protein-coding,-,-,-,-,20170714,-
53749,32230947,rrn4.5,B9D61_pgr006,-,-,-,-,4.5S ribosomal RNA,rRNA,-,-,-,-,20170419,-
53749,32230948,trnA-UGC,B9D61_pgt032,-,-,-,-,tRNA,tRNA,-,-,-,-,20170419,-
53749,32230949,rpoC2,B9D61_pgp078,-,-,-,-,RNA polymerase beta'' subunit,protein-coding,-,-,-,-,20170714,-
53749,32230950,matK,B9D61_pgp086,-,-,-,-,maturase K,protein-coding,-,-,-,-,20170714,-
53749,32230951,ycf3,B9D61_pgp066,-,-,-,-,photosystem I assembly protein Ycf3,protein-coding,-,-,-,-,20170908,-
53749,32230952,ycf1,B9D61_pgp007,-,-,-,-,pseudo,pseudo,-,-,-,-,20170419,-
53749,32230953,psaA,B9D61_pgp067,-,-,-,-,photosystem I P700 chlorophyll a apoprotein A1,protein-coding,-,-,-,-,20170908,-
53749,32230954,rps7,B9D61_pgp020,-,-,-,-,ribosomal protein S7,protein-coding,-,-,-,-,20170908,-
53749,32230955,trnL-CAA,B9D61_pgt035,-,-,-,-,tRNA,tRNA,-,-,-,-,20170419,-
53749,32230956,ndhI,B9D61_pgp015,frxB,-,-,-,NADH dehydrogenase subunit I,protein-coding,-,-,-,-,20170714,-
53749,32230957,psbB,B9D61_pgp040,-,-,-,-,photosystem II 47 kDa protein,protein-coding,-,-,-,-,20170908,-
53749,32230958,trnS-GCU,B9D61_pgt014,-,-,-,-,tRNA,tRNA,-,-,-,-,20170419,-
53749,32230959,trnR-UCU,B9D61_pgt008,-,-,-,-,tRNA,tRNA,-,-,-,-,20170419,-
