#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
3077,1457447,ChvulCp106,ChvulCp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
3077,1457448,ChvulCp108,ChvulCp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191214,-
3077,1457449,ChvulCp109,ChvulCp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
3077,1457450,ChvulCp110,ChvulCp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
3077,1457451,ChvulCp111,ChvulCp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191214,-
3077,1457452,ChvulCp112,ChvulCp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
3077,1457453,ChvulCp113,ChvulCp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
3077,1457454,ChvulCp115,ChvulCp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
3077,1457455,ChvulCp117,ChvulCp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
3077,1457456,ChvulCp118,ChvulCp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
3077,1457457,ChvulCp119,ChvulCp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
3077,1457458,ChvulCp120,ChvulCp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
3077,1457459,ChvulCp121,ChvulCp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
3077,1457460,ChvulCp122,ChvulCp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
3077,1457461,ChvulCp124,ChvulCp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
3077,1457462,ChvulCp127,ChvulCp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191214,-
3077,1457463,ChvulCp129,ChvulCp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191214,-
3077,1457464,ChvulCp130,ChvulCp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
3077,1457465,ChvulCp133,ChvulCp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191214,-
