#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2767587,64472199,KGG96_gp02,KGG96_gp02,CPT_Sitrop_002,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210529,-
2767587,64472200,KGG96_gp03,KGG96_gp03,CPT_Sitrop_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472201,KGG96_gp04,KGG96_gp04,CPT_Sitrop_004,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210529,-
2767587,64472202,KGG96_gp05,KGG96_gp05,CPT_Sitrop_005,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210505,-
2767587,64472203,KGG96_gp06,KGG96_gp06,CPT_Sitrop_006,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20210505,-
2767587,64472204,KGG96_gp07,KGG96_gp07,CPT_Sitrop_007,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20210505,-
2767587,64472205,KGG96_gp08,KGG96_gp08,CPT_Sitrop_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2767587,64472206,KGG96_gp09,KGG96_gp09,CPT_Sitrop_009,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20210505,-
2767587,64472207,KGG96_gp10,KGG96_gp10,CPT_Sitrop_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472208,KGG96_gp11,KGG96_gp11,CPT_Sitrop_012,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20210505,-
2767587,64472209,KGG96_gp13,KGG96_gp13,CPT_Sitrop_013,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210529,-
2767587,64472210,KGG96_gp12,KGG96_gp12,CPT_Sitrop_011,-,-,-,tape measure chaperone,protein-coding,-,-,-,tape measure chaperone,20210505,-
2767587,64472211,KGG96_gp14,KGG96_gp14,CPT_Sitrop_014,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2767587,64472212,KGG96_gp15,KGG96_gp15,CPT_Sitrop_015,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2767587,64472213,KGG96_gp16,KGG96_gp16,CPT_Sitrop_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472214,KGG96_gp17,KGG96_gp17,CPT_Sitrop_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2767587,64472215,KGG96_gp18,KGG96_gp18,CPT_Sitrop_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472216,KGG96_gp19,KGG96_gp19,CPT_Sitrop_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472217,KGG96_gp20,KGG96_gp20,CPT_Sitrop_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2767587,64472218,KGG96_gp21,KGG96_gp21,CPT_Sitrop_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2767587,64472219,KGG96_gp22,KGG96_gp22,CPT_Sitrop_022,-,-,-,endolysin endopeptidase,protein-coding,-,-,-,endolysin endopeptidase,20210529,-
2767587,64472220,KGG96_gp23,KGG96_gp23,CPT_Sitrop_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472221,KGG96_gp24,KGG96_gp24,CPT_Sitrop_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472222,KGG96_gp25,KGG96_gp25,CPT_Sitrop_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472223,KGG96_gp26,KGG96_gp26,CPT_Sitrop_026,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210505,-
2767587,64472224,KGG96_gp27,KGG96_gp27,CPT_Sitrop_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2767587,64472225,KGG96_gp28,KGG96_gp28,CPT_Sitrop_028,-,-,-,helicase,protein-coding,-,-,-,helicase,20210505,-
2767587,64472226,KGG96_gp29,KGG96_gp29,CPT_Sitrop_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472227,KGG96_gp30,KGG96_gp30,CPT_Sitrop_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472228,KGG96_gp31,KGG96_gp31,CPT_Sitrop_031,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210515,-
2767587,64472229,KGG96_gp32,KGG96_gp32,CPT_Sitrop_032,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20210529,-
2767587,64472230,KGG96_gp33,KGG96_gp33,CPT_Sitrop_033,-,-,-,holliday junction endonuclease,protein-coding,-,-,-,holliday junction endonuclease,20210505,-
2767587,64472231,KGG96_gp34,KGG96_gp34,CPT_Sitrop_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472232,KGG96_gp35,KGG96_gp35,CPT_Sitrop_035,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210529,-
2767587,64472233,KGG96_gp36,KGG96_gp36,CPT_Sitrop_036,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210529,-
2767587,64472234,KGG96_gp37,KGG96_gp37,CPT_Sitrop_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472235,KGG96_gp38,KGG96_gp38,CPT_Sitrop_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472236,KGG96_gp39,KGG96_gp39,CPT_Sitrop_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472237,KGG96_gp40,KGG96_gp40,CPT_Sitrop_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472238,KGG96_gp41,KGG96_gp41,CPT_Sitrop_041,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210605,-
2767587,64472239,KGG96_gp42,KGG96_gp42,CPT_Sitrop_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472240,KGG96_gp43,KGG96_gp43,CPT_Sitrop_043,-,-,-,"ribonucleoside-triphosphate reductase, adenosylcobalamin-dependent",protein-coding,-,-,-,"ribonucleoside-triphosphate reductase, adenosylcobalamin-dependent",20210529,-
2767587,64472241,KGG96_gp44,KGG96_gp44,CPT_Sitrop_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472242,KGG96_gp45,KGG96_gp45,CPT_Sitrop_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2767587,64472243,KGG96_gp46,KGG96_gp46,CPT_Sitrop_046,-,-,-,integrase,protein-coding,-,-,-,integrase,20210529,-
2767587,64472244,KGG96_gp47,KGG96_gp47,CPT_Sitrop_047,-,-,-,flavin-dependent thymidylate synthase,protein-coding,-,-,-,flavin-dependent thymidylate synthase,20210529,-
2767587,64472245,KGG96_gp48,KGG96_gp48,CPT_Sitrop_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2767587,64472246,KGG96_gp49,KGG96_gp49,CPT_Sitrop_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472247,KGG96_gp50,KGG96_gp50,CPT_Sitrop_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472248,KGG96_gp51,KGG96_gp51,CPT_Sitrop_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472249,KGG96_gp52,KGG96_gp52,CPT_Sitrop_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472250,KGG96_gp53,KGG96_gp53,CPT_Sitrop_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472251,KGG96_gp54,KGG96_gp54,CPT_Sitrop_054,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20210529,-
2767587,64472252,KGG96_gp55,KGG96_gp55,CPT_Sitrop_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472253,KGG96_gp56,KGG96_gp56,CPT_Sitrop_056,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210505,-
2767587,64472254,KGG96_gp57,KGG96_gp57,CPT_Sitrop_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472255,KGG96_gp58,KGG96_gp58,CPT_Sitrop_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2767587,64472256,KGG96_gp59,KGG96_gp59,CPT_Sitrop_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
2767587,64472257,KGG96_gp60,KGG96_gp60,CPT_Sitrop_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210505,-
