#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1857099,30310453,BOX12_gp02,BOX12_gp02,BPS11Q3_2,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20200629,-
1857099,30310454,BOX12_gp03,BOX12_gp03,BPS11Q3_3,-,-,-,i-Spanin,protein-coding,-,-,-,i-Spanin,20200629,-
1857099,30310455,BOX12_gp04,BOX12_gp04,BPS11Q3_4,-,-,-,o-Spanin,protein-coding,-,-,-,o-Spanin,20200629,-
1857099,30310456,BOX12_gp05,BOX12_gp05,BPS11Q3_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310457,BOX12_gp06,BOX12_gp06,BPS11Q3_6,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
1857099,30310458,BOX12_gp07,BOX12_gp07,BPS11Q3_7,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20200629,-
1857099,30310459,BOX12_gp08,BOX12_gp08,BPS11Q3_8,-,-,-,amidase,protein-coding,-,-,-,amidase,20200629,-
1857099,30310460,BOX12_gp09,BOX12_gp09,BPS11Q3_9,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200629,-
1857099,30310461,BOX12_gp10,BOX12_gp10,BPS11Q3_10,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200926,-
1857099,30310462,BOX12_gp11,BOX12_gp11,BPS11Q3_11,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
1857099,30310463,BOX12_gp12,BOX12_gp12,BPS11Q3_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310464,BOX12_gp13,BOX12_gp13,BPS11Q3_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310465,BOX12_gp14,BOX12_gp14,BPS11Q3_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310466,BOX12_gp15,BOX12_gp15,BPS11Q3_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310467,BOX12_gp16,BOX12_gp16,BPS11Q3_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310468,BOX12_gp17,BOX12_gp17,BPS11Q3_17,-,-,-,DUF2737 family protein,protein-coding,-,-,-,DUF2737 family protein,20210123,-
1857099,30310469,BOX12_gp18,BOX12_gp18,BPS11Q3_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310470,BOX12_gp19,BOX12_gp19,BPS11Q3_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310471,BOX12_gp20,BOX12_gp20,BPS11Q3_20,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20201221,-
1857099,30310472,BOX12_gp21,BOX12_gp21,BPS11Q3_21,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
1857099,30310473,BOX12_gp22,BOX12_gp22,BPS11Q3_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310474,BOX12_gp23,BOX12_gp23,BPS11Q3_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310475,BOX12_gp24,BOX12_gp24,BPS11Q3_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310476,BOX12_gp25,BOX12_gp25,BPS11Q3_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310477,BOX12_gp26,BOX12_gp26,BPS11Q3_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310478,BOX12_gp27,BOX12_gp27,BPS11Q3_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310479,BOX12_gp28,BOX12_gp28,BPS11Q3_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310480,BOX12_gp29,BOX12_gp29,BPS11Q3_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310481,BOX12_gp30,BOX12_gp30,BPS11Q3_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1857099,30310482,BOX12_gp31,BOX12_gp31,BPS11Q3_31,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210320,-
