#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1086030,11136039,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Shigella flexneri 5a strain M90T).,other,-,-,-,-,20160921,-
1086030,40047288,EKN05_RS24725,EKN05_RS24725,EKN05_24750,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
1086030,40047298,EKN05_RS24335,EKN05_RS24335,EKN05_24355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190501,-
1086030,40047320,EKN05_RS23955,EKN05_RS23955,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
1086030,40047340,EKN05_RS24020,EKN05_RS24020,EKN05_24035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
1086030,40047396,EKN05_RS23660,EKN05_RS23660,EKN05_23680,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
1086030,40047423,EKN05_RS23805,EKN05_RS23805,EKN05_23825,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
1086030,40047436,EKN05_RS23880,EKN05_RS23880,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
1086030,40047438,EKN05_RS23900,EKN05_RS23900,EKN05_23920,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
1086030,40047484,EKN05_RS23695,EKN05_RS23695,EKN05_23715,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
1086030,40047504,EKN05_RS24245,EKN05_RS24245,EKN05_24265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190501,-
1086030,40047511,EKN05_RS24550,EKN05_RS24550,EKN05_24570,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
1086030,40047538,EKN05_RS24500,EKN05_RS24500,EKN05_24520,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
1086030,40047562,EKN05_RS24810,EKN05_RS24810,EKN05_24835,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190501,-
