#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1081054,11175052,MsPV1_gp1,MsPV1_gp1,-,-,-,-,E6,protein-coding,-,-,-,E6,20180816,-
1081054,11175053,MsPV1_gp3,MsPV1_gp3,-,-,-,-,E1,protein-coding,-,-,-,E1,20180816,-
1081054,11175054,MsPV1_gp4,MsPV1_gp4,-,-,-,-,E2,protein-coding,-,-,-,E2,20180816,-
1081054,11175055,MsPV1_gp5,MsPV1_gp5,-,-,-,-,E4,protein-coding,-,-,-,E4,20180816,-
1081054,11175056,MsPV1_gp6,MsPV1_gp6,-,-,-,-,L2,protein-coding,-,-,-,L2,20180816,-
1081054,11175057,MsPV1_gp7,MsPV1_gp7,-,-,-,-,L1,protein-coding,-,-,-,L1,20180816,-
1081054,11175058,MsPV1_gp2,MsPV1_gp2,-,-,-,-,E7,protein-coding,-,-,-,E7,20180816,-
1081054,11175426,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200506,-
