#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1582151,26647032,PHICD146_20002,PHICD146_20002,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1582151,26647033,PHICD146_20003,PHICD146_20003,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1582151,26647034,PHICD146_20004,PHICD146_20004,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1582151,26647035,PHICD146_20005,PHICD146_20005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582151,26647036,PHICD146_20006,PHICD146_20006,-,-,-,-,Scaffolding protein,protein-coding,-,-,-,Scaffolding protein,20200629,-
1582151,26647037,PHICD146_20007,PHICD146_20007,-,-,-,-,coat protein,protein-coding,-,-,-,coat protein,20201221,-
1582151,26647038,PHICD146_20008,PHICD146_20008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582151,26647039,PHICD146_20009,PHICD146_20009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582151,26647040,PHICD146_20010,PHICD146_20010,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201221,-
1582151,26647041,PHICD146_20011,PHICD146_20011,-,-,-,-,chloramphenicol resistance protein,protein-coding,-,-,-,chloramphenicol resistance protein,20201221,-
1582151,26647042,PHICD146_20012,PHICD146_20012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582151,26647043,PHICD146_20013,PHICD146_20013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1582151,26647044,PHICD146_20014,PHICD146_20014,-,-,-,-,bacterioGp15 family protein,protein-coding,-,-,-,bacterioGp15 family protein,20201221,-
