#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
105883,42265042,psbA,GFD15_pgp083,-,-,-,-,photosystem II protein D1,protein-coding,-,-,-,photosystem II protein D1,20201217,-
105883,42265043,trnK-UUU,GFD15_pgt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
105883,42265044,matK,GFD15_pgp082,-,-,-,-,maturase K,protein-coding,-,-,-,maturase K,20201217,-
105883,42265045,rps16,GFD15_pgp081,-,-,-,-,ribosomal protein S16,protein-coding,-,-,-,ribosomal protein S16,20200919,-
105883,42265046,trnQ-UUG,GFD15_pgt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
105883,42265047,psbK,GFD15_pgp080,-,-,-,-,photosystem II protein K,protein-coding,-,-,-,photosystem II protein K,20200912,-
105883,42265048,psbI,GFD15_pgp079,-,-,-,-,photosystem II protein I,protein-coding,-,-,-,photosystem II protein I,20200801,-
105883,42265049,trnS-GCU,GFD15_pgt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
105883,42265050,trnG-GCC,GFD15_pgt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
105883,42265051,trnR-UCU,GFD15_pgt006,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
105883,42265052,atpA,GFD15_pgp078,-,-,-,-,ATP synthase CF1 alpha subunit,protein-coding,-,-,-,ATP synthase CF1 alpha subunit,20201217,-
105883,42265053,atpF,GFD15_pgp077,-,-,-,-,ATP synthase CF0 B subunit,protein-coding,-,-,-,ATP synthase CF0 B subunit,20200919,-
105883,42265054,atpH,GFD15_pgp076,-,-,-,-,ATP synthase CF0 subunit III,protein-coding,-,-,-,ATP synthase CF0 subunit III,20200801,-
105883,42265055,atpI,GFD15_pgp075,-,-,-,-,ATP synthase CF0 subunit IV,protein-coding,-,-,-,ATP synthase CF0 subunit IV,20201217,-
105883,42265056,rps2,GFD15_pgp074,-,-,-,-,ribosomal protein S2,protein-coding,-,-,-,ribosomal protein S2,20200919,-
105883,42265057,rpoC2,GFD15_pgp073,-,-,-,-,RNA polymerase beta''subunit,protein-coding,-,-,-,RNA polymerase beta''subunit,20201217,-
105883,42265058,rpoC1,GFD15_pgp072,-,-,-,-,RNA polymerase beta' subunit,protein-coding,-,-,-,RNA polymerase beta' subunit,20201217,-
105883,42265059,rpoB,GFD15_pgp071,-,-,-,-,RNA polymerase beta subunit,protein-coding,-,-,-,RNA polymerase beta subunit,20200905,-
105883,42265060,trnC-GCA,GFD15_pgt007,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
105883,42265061,petN,GFD15_pgp070,-,-,-,-,cytochrome b6/f complex subunit VIII,protein-coding,-,-,-,cytochrome b6/f complex subunit VIII,20200801,-
105883,42265062,psbM,GFD15_pgp069,-,-,-,-,photosystem II protein M,protein-coding,-,-,-,photosystem II protein M,20200801,-
105883,42265063,trnD-GUC,GFD15_pgt008,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
105883,42265064,trnY-GUA,GFD15_pgt009,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
105883,42265065,trnE-UUC,GFD15_pgt010,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
105883,42265066,trnT-GGU,GFD15_pgt011,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
105883,42265067,psbD,GFD15_pgp068,-,-,-,-,photosystem II protein D2,protein-coding,-,-,-,photosystem II protein D2,20200801,-
105883,42265068,psbC,GFD15_pgp067,-,-,-,-,photosystem II CP43 chlorophyll apoprotein,protein-coding,-,-,-,photosystem II CP43 chlorophyll apoprotein,20200919,-
105883,42265069,trnS-UGA,GFD15_pgt012,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
105883,42265070,psbZ,GFD15_pgp066,-,-,-,-,photosystem II protein Z,protein-coding,-,-,-,photosystem II protein Z,20200801,-
105883,42265071,trnG-UCC,GFD15_pgt013,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
105883,42265072,trnfM-CAU,GFD15_pgt014,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
105883,42265073,rps14,GFD15_pgp065,-,-,-,-,ribosomal protein S14,protein-coding,-,-,-,ribosomal protein S14,20200919,-
105883,42265074,psaB,GFD15_pgp064,-,-,-,-,photosystem I P700 apoprotein A2,protein-coding,-,-,-,photosystem I P700 apoprotein A2,20200912,-
105883,42265075,psaA,GFD15_pgp063,-,-,-,-,photosystem I P700 apoprotein A1,protein-coding,-,-,-,photosystem I P700 apoprotein A1,20201217,-
105883,42265076,ycf3,GFD15_pgp062,-,-,-,-,hypothetical chloroplast RF3,protein-coding,-,-,-,hypothetical chloroplast RF3,20200919,-
105883,42265077,trnS-GGA,GFD15_pgt015,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
105883,42265078,rps4,GFD15_pgp061,-,-,-,-,ribosomal protein S4,protein-coding,-,-,-,ribosomal protein S4,20200905,-
105883,42265079,trnT-UGU,GFD15_pgt016,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
105883,42265080,trnL-UAA,GFD15_pgt017,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
105883,42265081,trnF-GAA,GFD15_pgt018,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
105883,42265082,ndhJ,GFD15_pgp060,-,-,-,-,NADH-plastoquinone oxidoreductase subunit J,protein-coding,-,-,-,NADH-plastoquinone oxidoreductase subunit J,20200905,-
105883,42265083,ndhK,GFD15_pgp059,-,-,-,-,NADH-plastoquinone oxidoreductase subunit K,protein-coding,-,-,-,NADH-plastoquinone oxidoreductase subunit K,20200905,-
105883,42265084,ndhC,GFD15_pgp058,-,-,-,-,NADH-plastoquinone oxidoreductase subunit 3,protein-coding,-,-,-,NADH-plastoquinone oxidoreductase subunit 3,20200905,-
105883,42265085,trnV-UAC,GFD15_pgt019,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
105883,42265086,trnM-CAU,GFD15_pgt020,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
105883,42265087,atpE,GFD15_pgp057,-,-,-,-,ATP synthase CF1 epsilon subunit,protein-coding,-,-,-,ATP synthase CF1 epsilon subunit,20200905,-
105883,42265088,atpB,GFD15_pgp056,-,-,-,-,ATP synthase CF1 beta subunit,protein-coding,-,-,-,ATP synthase CF1 beta subunit,20200912,-
105883,42265089,rbcL,GFD15_pgp055,-,-,-,-,"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",protein-coding,-,-,-,"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",20201217,-
105883,42265090,accD,GFD15_pgp054,-,-,-,-,pseudo,pseudo,-,-,-,-,20200908,-
105883,42265091,psaI,GFD15_pgp053,-,-,-,-,photosystem I subunit VIII,protein-coding,-,-,-,photosystem I subunit VIII,20200919,-
105883,42265092,ycf4,GFD15_pgp052,-,-,-,-,photosystem I assembly protein Ycf4,protein-coding,-,-,-,photosystem I assembly protein Ycf4,20201217,-
105883,42265093,cemA,GFD15_pgp051,-,-,-,-,chloroplast envelope membrane protein,protein-coding,-,-,-,chloroplast envelope membrane protein,20200905,-
105883,42265094,petA,GFD15_pgp050,-,-,-,-,component of cytochrome b6/f complex,protein-coding,-,-,-,component of cytochrome b6/f complex,20200905,-
105883,42265095,psbJ,GFD15_pgp049,-,-,-,-,photosystem II protein J,protein-coding,-,-,-,photosystem II protein J,20200919,-
105883,42265096,psbL,GFD15_pgp048,-,-,-,-,photosystem II protein L,protein-coding,-,-,-,photosystem II protein L,20200912,-
105883,42265097,psbF,GFD15_pgp047,-,-,-,-,photosystem II cytochrome b559 beta subunit,protein-coding,-,-,-,photosystem II cytochrome b559 beta subunit,20200801,-
105883,42265098,psbE,GFD15_pgp046,-,-,-,-,photosystem II cytochrome b559 alpha subunit,protein-coding,-,-,-,photosystem II cytochrome b559 alpha subunit,20200919,-
105883,42265099,petL,GFD15_pgp045,-,-,-,-,cytochrome b6/f complex subunit VI,protein-coding,-,-,-,cytochrome b6/f complex subunit VI,20200919,-
