#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2590400,56166729,H3H22_gp02,H3H22_gp02,Lys12581Vzw_02,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210406,-
2590400,56166730,H3H22_gp03,H3H22_gp03,Lys12581Vzw_03,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166731,H3H22_gp04,H3H22_gp04,Lys12581Vzw_04,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166732,H3H22_gp05,H3H22_gp05,Lys12581Vzw_05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166733,H3H22_gp06,H3H22_gp06,Lys12581Vzw_06,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166734,H3H22_gp07,H3H22_gp07,Lys12581Vzw_07,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210212,-
2590400,56166735,H3H22_gp08,H3H22_gp08,Lys12581Vzw_08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166736,H3H22_gp09,H3H22_gp09,Lys12581Vzw_09,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200728,-
2590400,56166737,H3H22_gp10,H3H22_gp10,Lys12581Vzw_10,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201003,-
2590400,56166738,H3H22_gp11,H3H22_gp11,Lys12581Vzw_11,-,-,-,terminase,protein-coding,-,-,-,terminase,20200728,-
2590400,56166739,H3H22_gp12,H3H22_gp12,Lys12581Vzw_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166740,H3H22_gp13,H3H22_gp13,Lys12581Vzw_13,-,-,-,Rha family transcriptional regulator,protein-coding,-,-,-,Rha family transcriptional regulator,20210406,-
2590400,56166741,H3H22_gp14,H3H22_gp14,Lys12581Vzw_14,-,-,-,putative endopeptidase,protein-coding,-,-,-,putative endopeptidase,20210406,-
2590400,56166742,H3H22_gp15,H3H22_gp15,Lys12581Vzw_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166743,H3H22_gp16,H3H22_gp16,Lys12581Vzw_16,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210212,-
2590400,56166744,H3H22_gp17,H3H22_gp17,Lys12581Vzw_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166745,R,H3H22_gp18,Lys12581Vzw_18,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20200912,-
2590400,56166746,S,H3H22_gp19,Lys12581Vzw_19,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2590400,56166747,H3H22_gp20,H3H22_gp20,Lys12581Vzw_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166748,H3H22_gp21,H3H22_gp21,Lys12581Vzw_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166749,H3H22_gp22,H3H22_gp22,Lys12581Vzw_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2590400,56166750,H3H22_gp23,H3H22_gp23,Lys12581Vzw_23,-,-,-,shiga toxin Stx2 subunit B,protein-coding,-,-,-,shiga toxin Stx2 subunit B,20210212,-
2590400,56166751,H3H22_gp24,H3H22_gp24,Lys12581Vzw_24,-,-,-,shiga toxin Stx2 subunit A,protein-coding,-,-,-,shiga toxin Stx2 subunit A,20210406,-
2590400,56166752,H3H22_gt01,H3H22_gt01,Lys12581Vzw_25,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2590400,56166753,H3H22_gt02,H3H22_gt02,Lys12581Vzw_26,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2590400,56166754,H3H22_gt03,H3H22_gt03,Lys12581Vzw_27,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2590400,56166755,H3H22_gp78,H3H22_gp78,Lys12581Vzw_28,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210129,-
2590400,56166756,Q,H3H22_gp77,Lys12581Vzw_29,-,-,-,antitermination protein Q,protein-coding,-,-,-,antitermination protein Q,20210123,-
2590400,56166757,H3H22_gp76,H3H22_gp76,Lys12581Vzw_30,-,-,-,NinH protein,protein-coding,-,-,-,NinH protein,20200912,-
2590400,56166758,H3H22_gp75,H3H22_gp75,Lys12581Vzw_31,-,-,-,NinG family protein,protein-coding,-,-,-,NinG family protein,20200912,-
2590400,56166759,H3H22_gp74,H3H22_gp74,Lys12581Vzw_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166760,H3H22_gp73,H3H22_gp73,Lys12581Vzw_33,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200905,-
2590400,56166761,H3H22_gp72,H3H22_gp72,Lys12581Vzw_34,-,-,-,helicase,protein-coding,-,-,-,helicase,20200905,-
2590400,56166762,H3H22_gp71,H3H22_gp71,Lys12581Vzw_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166763,H3H22_gp70,H3H22_gp70,Lys12581Vzw_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2590400,56166764,H3H22_gp69,H3H22_gp69,Lys12581Vzw_37,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200912,-
2590400,56166765,cI,H3H22_gp68,Lys12581Vzw_38,-,-,-,putative repressor protein,protein-coding,-,-,-,putative repressor protein,20200912,-
