#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2565500,55013326,HOV38_gp02,HOV38_gp02,RP180_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210123,-
2565500,55013327,HOV38_gp03,HOV38_gp03,RP180_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
2565500,55013328,HOV38_gp04,HOV38_gp04,RP180_4,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20210123,-
2565500,55013329,HOV38_gp05,HOV38_gp05,RP180_5,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210123,-
2565500,55013330,HOV38_gp06,HOV38_gp06,RP180_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2565500,55013331,HOV38_gp07,HOV38_gp07,RP180_7,-,-,-,spanin,protein-coding,-,-,-,spanin,20201222,-
2565500,55013332,HOV38_gp08,HOV38_gp08,RP180_8,-,-,-,scaffold protein,protein-coding,-,-,-,scaffold protein,20201222,-
2565500,55013333,HOV38_gp09,HOV38_gp09,RP180_9,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210123,-
2565500,55013334,HOV38_gp10,HOV38_gp10,RP180_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2565500,55013335,HOV38_gp11,HOV38_gp11,RP180_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2565500,55013336,HOV38_gp12,HOV38_gp12,RP180_12,-,-,-,head-tail joining protein,protein-coding,-,-,-,head-tail joining protein,20201222,-
2565500,55013337,HOV38_gp13,HOV38_gp13,RP180_13,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201222,-
2565500,55013338,HOV38_gp14,HOV38_gp14,RP180_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565500,55013339,HOV38_gp15,HOV38_gp15,RP180_15,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201222,-
2565500,55013340,HOV38_gp16,HOV38_gp16,RP180_16,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201222,-
2565500,55013341,HOV38_gp17,HOV38_gp17,RP180_17,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210123,-
2565500,55013342,HOV38_gp18,HOV38_gp18,RP180_18,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210123,-
2565500,55013343,HOV38_gp19,HOV38_gp19,RP180_19,-,-,-,replication factor C large subunit/ATPase,protein-coding,-,-,-,replication factor C large subunit/ATPase,20201222,-
2565500,55013344,HOV38_gp20,HOV38_gp20,RP180_20,-,-,-,polynucleotide 5' kinase/3' phosphatase,protein-coding,-,-,-,polynucleotide 5' kinase/3' phosphatase,20210123,-
2565500,55013345,HOV38_gp21,HOV38_gp21,RP180_21,-,-,-,calcineurin-like phosphoesterase superfamily domain protein,protein-coding,-,-,-,calcineurin-like phosphoesterase superfamily domain protein,20201222,-
2565500,55013346,HOV38_gp22,HOV38_gp22,RP180_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2565500,55013347,HOV38_gp23,HOV38_gp23,RP180_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565500,55013348,HOV38_gp24,HOV38_gp24,RP180_24,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20210123,-
2565500,55013349,HOV38_gp25,HOV38_gp25,RP180_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565500,55013350,HOV38_gp26,HOV38_gp26,RP180_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2565500,55013351,HOV38_gp27,HOV38_gp27,RP180_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565500,55013352,HOV38_gp28,HOV38_gp28,RP180_28,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210123,-
2565500,55013353,HOV38_gp29,HOV38_gp29,RP180_29,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201222,-
2565500,55013354,HOV38_gp30,HOV38_gp30,RP180_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565500,55013355,HOV38_gp31,HOV38_gp31,RP180_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2565500,55013356,HOV38_gp32,HOV38_gp32,RP180_32,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210123,-
2565500,55013357,HOV38_gp33,HOV38_gp33,RP180_33,-,-,-,DNA cytosine methyltransferase,protein-coding,-,-,-,DNA cytosine methyltransferase,20201222,-
2565500,55013358,HOV38_gp34,HOV38_gp34,RP180_34,-,-,-,restriction endonuclease,protein-coding,-,-,-,restriction endonuclease,20210123,-
2565500,55013359,HOV38_gp35,HOV38_gp35,RP180_35,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210123,-
2565500,55013360,HOV38_gp36,HOV38_gp36,RP180_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2565500,55013361,HOV38_gp37,HOV38_gp37,RP180_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565500,55013362,HOV38_gp38,HOV38_gp38,RP180_38,-,-,-,Cas4-like protein,protein-coding,-,-,-,Cas4-like protein,20210123,-
2565500,55013363,HOV38_gp39,HOV38_gp39,RP180_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565500,55013364,HOV38_gp40,HOV38_gp40,RP180_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2565500,55013365,HOV38_gp41,HOV38_gp41,RP180_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
