#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419752,55811056,HYP72_gp002,HYP72_gp002,SeSz1_2,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210403,-
2419752,55811057,HYP72_gp003,HYP72_gp003,SeSz1_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
2419752,55811058,HYP72_gp004,HYP72_gp004,SeSz1_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
2419752,55811059,HYP72_gp005,HYP72_gp005,SeSz1_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811060,HYP72_gp006,HYP72_gp006,SeSz1_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811061,HYP72_gp007,HYP72_gp007,SeSz1_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811062,HYP72_gp008,HYP72_gp008,SeSz1_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811063,HYP72_gp009,HYP72_gp009,SeSz1_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811064,HYP72_gp010,HYP72_gp010,SeSz1_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2419752,55811065,HYP72_gp011,HYP72_gp011,SeSz1_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811066,HYP72_gp012,HYP72_gp012,SeSz1_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2419752,55811067,HYP72_gp013,HYP72_gp013,SeSz1_13,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210424,-
2419752,55811068,HYP72_gp014,HYP72_gp014,SeSz1_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2419752,55811069,HYP72_gp015,HYP72_gp015,SeSz1_15,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200926,-
2419752,55811070,HYP72_gp016,HYP72_gp016,SeSz1_16,-,-,-,portal vertex protein of the head,protein-coding,-,-,-,portal vertex protein of the head,20210403,-
2419752,55811071,HYP72_gp017,HYP72_gp017,SeSz1_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811072,HYP72_gp018,HYP72_gp018,SeSz1_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811073,HYP72_gp019,HYP72_gp019,SeSz1_19,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20210327,-
2419752,55811074,HYP72_gp020,HYP72_gp020,SeSz1_20,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20210427,-
2419752,55811075,HYP72_gp021,HYP72_gp021,SeSz1_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2419752,55811076,HYP72_gp022,HYP72_gp022,SeSz1_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811077,HYP72_gp023,HYP72_gp023,SeSz1_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811078,HYP72_gp024,HYP72_gp024,SeSz1_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811079,HYP72_gp025,HYP72_gp025,SeSz1_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811080,HYP72_gp026,HYP72_gp026,SeSz1_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811081,HYP72_gp027,HYP72_gp027,SeSz1_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811082,HYP72_gp028,HYP72_gp028,SeSz1_28,-,-,-,-,other,-,-,-,-,20200910,-
2419752,55811083,HYP72_gp029,HYP72_gp029,SeSz1_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811084,HYP72_gp030,HYP72_gp030,SeSz1_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811085,HYP72_gp031,HYP72_gp031,SeSz1_31,-,-,-,-,other,-,-,-,-,20200910,-
2419752,55811086,HYP72_gp032,HYP72_gp032,SeSz1_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811087,HYP72_gp033,HYP72_gp033,SeSz1_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2419752,55811088,HYP72_gp034,HYP72_gp034,SeSz1_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2419752,55811089,HYP72_gp035,HYP72_gp035,SeSz1_35,-,-,-,helicase,protein-coding,-,-,-,helicase,20200910,-
2419752,55811090,HYP72_gp036,HYP72_gp036,SeSz1_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811091,HYP72_gp037,HYP72_gp037,SeSz1_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811092,HYP72_gp038,HYP72_gp038,SeSz1_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419752,55811093,HYP72_gp039,HYP72_gp039,SeSz1_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
