#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
55383,42269037,psbA,GFC71_pgp086,-,-,-,-,photosystem II protein D1,protein-coding,-,-,-,photosystem II protein D1,20201010,-
55383,42269038,trnK-UUU,GFC71_pgt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
55383,42269039,matK,GFC71_pgp085,-,-,-,-,maturase K,protein-coding,-,-,-,maturase K,20201128,-
55383,42269040,rps16,GFC71_pgp084,-,-,-,-,ribosomal protein S16,protein-coding,-,-,-,ribosomal protein S16,20201129,-
55383,42269041,trnQ-UUG,GFC71_pgt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
55383,42269042,psbK,GFC71_pgp083,-,-,-,-,photosystem II protein K,protein-coding,-,-,-,photosystem II protein K,20201128,-
55383,42269043,psbI,GFC71_pgp082,-,-,-,-,photosystem II protein I,protein-coding,-,-,-,photosystem II protein I,20200801,-
55383,42269044,trnS-GCU,GFC71_pgt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
55383,42269045,trnS-CGA,GFC71_pgt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
55383,42269046,trnR-UCU,GFC71_pgt006,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
55383,42269047,atpA,GFC71_pgp081,-,-,-,-,ATP synthase CF1 alpha subunit,protein-coding,-,-,-,ATP synthase CF1 alpha subunit,20201129,-
55383,42269048,atpF,GFC71_pgp080,-,-,-,-,ATP synthase CF0 subunit I,protein-coding,-,-,-,ATP synthase CF0 subunit I,20201128,-
55383,42269049,atpH,GFC71_pgp079,-,-,-,-,ATP synthase CF0 subunit III,protein-coding,-,-,-,ATP synthase CF0 subunit III,20200801,-
55383,42269050,atpI,GFC71_pgp078,-,-,-,-,ATP synthase CF0 subunit IV,protein-coding,-,-,-,ATP synthase CF0 subunit IV,20201128,-
55383,42269051,rps2,GFC71_pgp077,-,-,-,-,ribosomal protein S2,protein-coding,-,-,-,ribosomal protein S2,20201129,-
55383,42269052,rpoC2,GFC71_pgp076,-,-,-,-,RNA polymerase beta'' subunit,protein-coding,-,-,-,RNA polymerase beta'' subunit,20201128,-
55383,42269053,rpoC1,GFC71_pgp075,-,-,-,-,RNA polymerase beta,protein-coding,-,-,-,RNA polymerase beta,20201201,-
55383,42269054,rpoB,GFC71_pgp074,-,-,-,-,RNA polymerase beta subunit,protein-coding,-,-,-,RNA polymerase beta subunit,20201128,-
55383,42269055,trnC-GCA,GFC71_pgt007,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
55383,42269056,petN,GFC71_pgp073,-,-,-,-,cytochrome b6/f complex subunit VIII,protein-coding,-,-,-,cytochrome b6/f complex subunit VIII,20200801,-
55383,42269057,psbM,GFC71_pgp072,-,-,-,-,photosystem II protein M,protein-coding,-,-,-,photosystem II protein M,20201217,-
55383,42269058,trnD-GUC,GFC71_pgt008,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
55383,42269059,trnY-GUA,GFC71_pgt009,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
55383,42269060,trnE-UUC,GFC71_pgt010,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
55383,42269061,trnT-GGU,GFC71_pgt011,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
55383,42269062,psbD,GFC71_pgp071,-,-,-,-,photosystem II protein D2,protein-coding,-,-,-,photosystem II protein D2,20201217,-
55383,42269063,psbC,GFC71_pgp070,-,-,-,-,photosystem II CP43 chlorophyll apoprotein,protein-coding,-,-,-,photosystem II CP43 chlorophyll apoprotein,20201128,-
55383,42269064,trnS-UGA,GFC71_pgt012,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
55383,42269065,psbZ,GFC71_pgp069,-,-,-,-,photosystem II protein Z,protein-coding,-,-,-,photosystem II protein Z,20200801,-
55383,42269066,trnG-GCC,GFC71_pgt013,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
55383,42269067,trnfM-CAU,GFC71_pgt014,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
55383,42269068,rps14,GFC71_pgp068,-,-,-,-,ribosomal protein S14,protein-coding,-,-,-,ribosomal protein S14,20201217,-
55383,42269069,psaB,GFC71_pgp067,-,-,-,-,photosystem I P700 apoprotein A2,protein-coding,-,-,-,photosystem I P700 apoprotein A2,20201128,-
55383,42269070,psaA,GFC71_pgp066,-,-,-,-,photosystem I P700 apoprotein A1,protein-coding,-,-,-,photosystem I P700 apoprotein A1,20201128,-
55383,42269071,ycf3,GFC71_pgp065,-,-,-,-,photosystem I assembly factor I,protein-coding,-,-,-,photosystem I assembly factor I,20201217,-
55383,42269072,trnS-GGA,GFC71_pgt015,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
55383,42269073,rps4,GFC71_pgp064,-,-,-,-,ribosomal protein S4,protein-coding,-,-,-,ribosomal protein S4,20201128,-
55383,42269074,trnT-UGU,GFC71_pgt016,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
55383,42269075,trnL-UAA,GFC71_pgt017,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
55383,42269076,trnF-GAA,GFC71_pgt018,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
55383,42269077,ndhJ,GFC71_pgp063,-,-,-,-,NADH-plastoquinone oxidoreductase subunit J,protein-coding,-,-,-,NADH-plastoquinone oxidoreductase subunit J,20201217,-
55383,42269078,ndhK,GFC71_pgp062,-,-,-,-,NADH-plastoquinone oxidoreductase subunit K,protein-coding,-,-,-,NADH-plastoquinone oxidoreductase subunit K,20201128,-
55383,42269079,ndhC,GFC71_pgp061,-,-,-,-,NADH-plastoquinone oxidoreductase subunit 3,protein-coding,-,-,-,NADH-plastoquinone oxidoreductase subunit 3,20201217,-
55383,42269080,trnV,GFC71_pgt019,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
55383,42269081,trnM-CAU,GFC71_pgt020,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
55383,42269082,atpE,GFC71_pgp060,-,-,-,-,ATP synthase CF1 epsilon subunit,protein-coding,-,-,-,ATP synthase CF1 epsilon subunit,20201128,-
55383,42269083,atpB,GFC71_pgp059,-,-,-,-,ATP synthase CF1 beta subunit,protein-coding,-,-,-,ATP synthase CF1 beta subunit,20201128,-
