#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1223262,14515787,H388_gp02,H388_gp02,JBD88a_002,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210406,-
1223262,14515788,H388_gp03,H388_gp03,JBD88a_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515789,H388_gp04,H388_gp04,JBD88a_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515790,H388_gp05,H388_gp05,JBD88a_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515791,H388_gp06,H388_gp06,JBD88a_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515792,H388_gp07,H388_gp07,JBD88a_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515793,H388_gp08,H388_gp08,JBD88a_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515794,H388_gp09,H388_gp09,JBD88a_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515795,H388_gp10,H388_gp10,JBD88a_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515796,H388_gp11,H388_gp11,JBD88a_011,-,-,-,host-nuclease inhibitor Gam family protein,protein-coding,-,-,-,host-nuclease inhibitor Gam family protein,20210424,-
1223262,14515797,H388_gp12,H388_gp12,JBD88a_012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1223262,14515798,H388_gp13,H388_gp13,JBD88a_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
