#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2500149,62682131,JT346_gp02,JT346_gp02,AP13_002,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210424,-
2500149,62682132,JT346_gp03,JT346_gp03,AP13_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682133,JT346_gp04,JT346_gp04,AP13_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682134,JT346_gp05,JT346_gp05,AP13_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682135,JT346_gp06,JT346_gp06,AP13_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2500149,62682136,JT346_gp07,JT346_gp07,AP13_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2500149,62682137,JT346_gp08,JT346_gp08,AP13_008,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210417,-
2500149,62682138,JT346_gp09,JT346_gp09,AP13_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2500149,62682139,JT346_gp10,JT346_gp10,AP13_010,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2500149,62682140,JT346_gp11,JT346_gp11,AP13_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2500149,62682141,JT346_gp12,JT346_gp12,AP13_012,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210406,-
2500149,62682142,JT346_gp13,JT346_gp13,AP13_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2500149,62682143,JT346_gp14,JT346_gp14,AP13_014,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210327,-
2500149,62682144,JT346_gp15,JT346_gp15,AP13_015,-,-,-,peptidase S49,protein-coding,-,-,-,peptidase S49,20210425,-
2500149,62682145,JT346_gp16,JT346_gp16,AP13_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2500149,62682146,JT346_gp17,JT346_gp17,AP13_017,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2500149,62682147,JT346_gp18,JT346_gp18,AP13_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682148,JT346_gp19,JT346_gp19,AP13_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682149,JT346_gp20,JT346_gp20,AP13_020,-,-,-,DUF2740 domain-containing protein,protein-coding,-,-,-,DUF2740 domain-containing protein,20210215,-
2500149,62682150,JT346_gp21,JT346_gp21,AP13_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682151,JT346_gp22,JT346_gp22,AP13_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682152,JT346_gp23,JT346_gp23,AP13_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682153,JT346_gp24,JT346_gp24,AP13_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682154,JT346_gp25,JT346_gp25,AP13_025,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20210424,-
2500149,62682155,JT346_gp26,JT346_gp26,AP13_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682156,JT346_gp27,JT346_gp27,AP13_027,-,-,-,FAD/FMN-containing dehydrogenase,protein-coding,-,-,-,FAD/FMN-containing dehydrogenase,20210417,-
2500149,62682157,JT346_gp28,JT346_gp28,AP13_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682158,JT346_gp29,JT346_gp29,AP13_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682159,JT346_gp30,JT346_gp30,AP13_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210425,-
2500149,62682160,JT346_gp31,JT346_gp31,AP13_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2500149,62682161,JT346_gp32,JT346_gp32,AP13_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682162,JT346_gp33,JT346_gp33,AP13_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682163,JT346_gp34,JT346_gp34,AP13_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682164,JT346_gp35,JT346_gp35,AP13_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682165,JT346_gp36,JT346_gp36,AP13_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682166,JT346_gp37,JT346_gp37,AP13_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682167,JT346_gp38,JT346_gp38,AP13_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2500149,62682168,JT346_gp39,JT346_gp39,AP13_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682169,JT346_gp41,JT346_gp41,AP13_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682170,JT346_gp40,JT346_gp40,AP13_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682171,JT346_gp42,JT346_gp42,AP13_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682172,JT346_gp43,JT346_gp43,AP13_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682173,JT346_gp44,JT346_gp44,AP13_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682174,JT346_gp45,JT346_gp45,AP13_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682175,JT346_gp46,JT346_gp46,AP13_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682176,JT346_gp47,JT346_gp47,AP13_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682177,JT346_gp48,JT346_gp48,AP13_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682178,JT346_gp49,JT346_gp49,AP13_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682179,JT346_gp50,JT346_gp50,AP13_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682180,JT346_gp51,JT346_gp51,AP13_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2500149,62682181,JT346_gp52,JT346_gp52,AP13_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2500149,62682182,JT346_gp53,JT346_gp53,AP13_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
