#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
936308,20996190,L,OI21_gp5,-,-,-,-,large protein,protein-coding,-,-,-,large protein,20180816,-
936308,20996191,G,OI21_gp4,-,-,-,-,glycoprotein,protein-coding,-,-,-,glycoprotein,20180816,-
936308,20996192,P,OI21_gp2,-,-,-,-,phosphoprotein,protein-coding,-,-,-,phosphoprotein,20180816,-
936308,20996193,M,OI21_gp3,-,-,-,-,matrix protein,protein-coding,-,-,-,matrix protein,20180816,-
936308,20996194,N,OI21_gp1,-,-,-,-,nucleoprotein,protein-coding,-,-,-,nucleoprotein,20180816,-
936308,21953642,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200520,-
