#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
3213,38334844,trnK(UUU),EFH12_mgt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334845,cox1,EFH12_mgp40,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,cytochrome c oxidase subunit 1,20190108,-
3213,38334846,atp4,EFH12_mgp39,-,-,MT,-,ATPase subunit 4,protein-coding,-,-,-,ATPase subunit 4,20190108,-
3213,38334847,atp8,EFH12_mgp38,-,-,MT,-,ATPase subunit 8,protein-coding,-,-,-,ATPase subunit 8,20190108,-
3213,38334848,rps1,EFH12_mgp37,-,-,MT,-,ribosomal protein S1,protein-coding,-,-,-,ribosomal protein S1,20190108,-
3213,38334849,trnC(GCA),EFH12_mgt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334850,trnF(GAA),EFH12_mgt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334851,rps2,EFH12_mgp36,-,-,MT,-,ribosomal protein S2,protein-coding,-,-,-,ribosomal protein S2,20190108,-
3213,38334852,ccmB,EFH12_mgp35,-,-,MT,-,cytochrome c biogenesis B,protein-coding,-,-,-,cytochrome c biogenesis B,20190108,-
3213,38334853,ccmC,EFH12_mgp34,-,-,MT,-,cytochrome c biogenesis C,protein-coding,-,-,-,cytochrome c biogenesis C,20190108,-
3213,38334854,ccmFN,EFH12_mgp33,-,-,MT,-,cytochrome c biogenesis factor N,protein-coding,-,-,-,cytochrome c biogenesis factor N,20190108,-
3213,38334855,ccmFC,EFH12_mgp32,-,-,MT,-,cytochrome c biogenesis factor C,protein-coding,-,-,-,cytochrome c biogenesis factor C,20190108,-
3213,38334856,trnQ(UUG),EFH12_mgt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334857,trnL(UAG),EFH12_mgt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334858,trnS(UGA),EFH12_mgt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334859,trnG(UCC),EFH12_mgt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334860,rps4,EFH12_mgp31,-,-,MT,-,ribosomal protein S4,protein-coding,-,-,-,ribosomal protein S4,20190108,-
3213,38334861,tatC,EFH12_mgp30,-,-,MT,-,Sec-independent protein translocase protein,protein-coding,-,-,-,Sec-independent protein translocase protein,20190108,-
3213,38334862,trnR(UCU),EFH12_mgt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334863,trnY(GUA),EFH12_mgt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334864,nad4L,EFH12_mgp29,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20200912,-
3213,38334865,sdh4,EFH12_mgp28,-,-,MT,-,succinate dehydrogenase subunit 4,protein-coding,-,-,-,succinate dehydrogenase subunit 4,20190108,-
3213,38334866,sdh3,EFH12_mgp27,-,-,MT,-,succinate dehydrogenase subunit 3,protein-coding,-,-,-,succinate dehydrogenase subunit 3,20190108,-
3213,38334867,trnP(UGG),EFH12_mgt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334868,rrn18,EFH12_mgr03,-,-,MT,-,18S ribosomal RNA,rRNA,-,-,-,-,20200908,-
3213,38334869,trnM(CAU),EFH12_mgt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334870,rrn5,EFH12_mgr02,-,-,MT,-,5S ribosomal RNA,rRNA,-,-,-,-,20200908,-
3213,38334871,trnMf(CAU),EFH12_mgt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334872,rrn26,EFH12_mgr01,-,-,MT,-,26S ribosomal RNA,rRNA,-,-,-,-,20200908,-
3213,38334873,rpl10,EFH12_mgp26,-,-,MT,-,ribosomal protein L10,protein-coding,-,-,-,ribosomal protein L10,20190107,-
3213,38334874,trnH(GUG),EFH12_mgt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334875,trnL(CAA),EFH12_mgt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334876,trnL(UAA),EFH12_mgt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334877,nad5,EFH12_mgp25,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20190108,-
3213,38334878,nad4,EFH12_mgp24,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20190108,-
3213,38334879,nad2,EFH12_mgp23,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20190108,-
3213,38334880,trnG(GCC),EFH12_mgt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334881,trnR(ACG),EFH12_mgt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334882,trnE(UUC),EFH12_mgt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334883,rps12,EFH12_mgp22,-,-,MT,-,ribosomal protein S12,protein-coding,-,-,-,ribosomal protein S12,20190108,-
3213,38334884,rps7,EFH12_mgp21,-,-,MT,-,ribosomal protein S7,protein-coding,-,-,-,ribosomal protein S7,20190108,-
3213,38334885,atp6,EFH12_mgp20,-,-,MT,-,ATP synthase F0 subunit 6,protein-coding,-,-,-,ATP synthase F0 subunit 6,20190108,-
3213,38334886,nad6,EFH12_mgp19,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20190108,-
3213,38334887,cox2,EFH12_mgp18,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,cytochrome c oxidase subunit 2,20190108,-
3213,38334888,cox3,EFH12_mgp17,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,cytochrome c oxidase subunit 3,20190108,-
3213,38334889,nad1,EFH12_mgp16,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20190108,-
3213,38334890,cob,EFH12_mgp15,-,-,MT,-,cytochrome b,protein-coding,-,-,-,cytochrome b,20190108,-
3213,38334891,nad9,EFH12_mgp14,-,-,MT,-,NADH dehydrogenase subunit 9,protein-coding,-,-,-,NADH dehydrogenase subunit 9,20190108,-
3213,38334892,atp1,EFH12_mgp13,-,-,MT,-,ATP synthase F1 subunit alpha,protein-coding,-,-,-,ATP synthase F1 subunit alpha,20190108,-
3213,38334893,trnW(CCA),EFH12_mgt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334894,nad3,EFH12_mgp12,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20190108,-
3213,38334895,trnV(UAC),EFH12_mgt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334896,trnD(GUC),EFH12_mgt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334897,trnA(UGC),EFH12_mgt23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334898,trnT(GGU),EFH12_mgt24,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334899,nad7,EFH12_mgp11,-,-,MT,-,NADH dehydrogenase subunit 7,protein-coding,-,-,-,NADH dehydrogenase subunit 7,20200926,-
3213,38334900,trnI(CAU),EFH12_mgt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200908,-
3213,38334901,rpL2,EFH12_mgp10,-,-,MT,-,ribosomal protein L2,protein-coding,-,-,-,ribosomal protein L2,20190108,-
3213,38334902,rps19,EFH12_mgp09,-,-,MT,-,ribosomal protein S19,protein-coding,-,-,-,ribosomal protein S19,20190108,-
3213,38334903,rps3,EFH12_mgp08,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,ribosomal protein S3,20190108,-
3213,38334904,rpL16,EFH12_mgp07,-,-,MT,-,ribosomal protein L16,protein-coding,-,-,-,ribosomal protein L16,20190108,-
3213,38334905,rpL5,EFH12_mgp06,-,-,MT,-,ribosomal protein L5,protein-coding,-,-,-,ribosomal protein L5,20190108,-
3213,38334906,rps14,EFH12_mgp05,-,-,MT,-,ribosomal protein S14,protein-coding,-,-,-,ribosomal protein S14,20200926,-
3213,38334907,rpL6,EFH12_mgp04,-,-,MT,-,ribosomal protein L6,protein-coding,-,-,-,ribosomal protein L6,20190108,-
3213,38334908,rps13,EFH12_mgp03,-,-,MT,-,ribosomal protein S13,protein-coding,-,-,-,ribosomal protein S13,20190108,-
3213,38334909,rps11,EFH12_mgp02,-,-,MT,-,ribosomal protein S11,protein-coding,-,-,-,ribosomal protein S11,20190108,-
3213,38334910,atp9,EFH12_mgp01,-,-,MT,-,ATP synthase F0 subunit 9,protein-coding,-,-,-,ATP synthase F0 subunit 9,20190108,-
