#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
137556,5075898,MNeSV_gp4,MNeSV_gp4,-,-,-,-,p21 protein,protein-coding,-,-,-,p21 protein,20200909,-
137556,5075899,MNeSV_gp3,MNeSV_gp3,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20200909,-
137556,5075900,MNeSV_gs1,MNeSV_gs1,-,-,-,-,miscRNA,miscRNA,-,-,-,-,20200909,-
137556,5075901,MNeSV_gp2,MNeSV_gp2,-,-,-,-,p30 protein,protein-coding,-,-,-,p30 protein,20200909,-
137556,5075902,MNeSV_gp1,MNeSV_gp1,-,-,-,-,p89 protein,protein-coding,-,-,-,p89 protein,20200909,-
137556,5075903,MNeSV_gp5,MNeSV_gp5,-,-,-,-,p19 protein,protein-coding,-,-,-,p19 protein,20200909,-
137556,5075904,MNeSV_gs2,MNeSV_gs2,-,-,-,-,miscRNA,miscRNA,-,-,-,-,20200909,-
137556,5130070,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200516,-
