#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1838063,28800774,2,BH770_gp02,BOWSER_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1838063,28800775,3,BH770_gp03,BOWSER_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1838063,28800776,4,BH770_gp04,BOWSER_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
1838063,28800777,5,BH770_gp05,BOWSER_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1838063,28800778,6,BH770_gp06,BOWSER_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1838063,28800779,7,BH770_gp07,BOWSER_7,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20200927,-
1838063,28800780,8,BH770_gp08,BOWSER_8,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20200927,-
1838063,28800781,9,BH770_gp09,BOWSER_9,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20200927,-
1838063,28800782,10,BH770_gp10,BOWSER_10,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20200927,-
1838063,28800783,11,BH770_gp11,BOWSER_11,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20200927,-
1838063,28800784,12,BH770_gp12,BOWSER_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1838063,28800785,13,BH770_gp13,BOWSER_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800786,14,BH770_gp14,BOWSER_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800787,15,BH770_gp15,BOWSER_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800788,16,BH770_gp16,BOWSER_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1838063,28800789,17,BH770_gp17,BOWSER_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1838063,28800790,18,BH770_gp18,BOWSER_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
