#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419958,55006707,2,HOU50_gp02,PBI_JUDY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2419958,55006708,3,HOU50_gp03,PBI_JUDY_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2419958,55006709,4,HOU50_gp04,PBI_JUDY_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
2419958,55006710,5,HOU50_gp05,PBI_JUDY_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
2419958,55006711,6,HOU50_gp06,PBI_JUDY_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2419958,55006712,7,HOU50_gp07,PBI_JUDY_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006713,8,HOU50_gp08,PBI_JUDY_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006714,9,HOU50_gp09,PBI_JUDY_9,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
2419958,55006715,10,HOU50_gp10,PBI_JUDY_10,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
2419958,55006716,11,HOU50_gp11,PBI_JUDY_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006717,12,HOU50_gp12,PBI_JUDY_12,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
2419958,55006718,13,HOU50_gp13,PBI_JUDY_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006719,14,HOU50_gp14,PBI_JUDY_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2419958,55006720,15,HOU50_gp15,PBI_JUDY_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006721,17,HOU50_gp16,PBI_JUDY_17,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2419958,55006722,18,HOU50_gp18,PBI_JUDY_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2419958,55006723,16,HOU50_gp17,PBI_JUDY_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2419958,55006724,19,HOU50_gp19,PBI_JUDY_19,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2419958,55006725,20,HOU50_gp20,PBI_JUDY_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2419958,55006726,21,HOU50_gp21,PBI_JUDY_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2419958,55006727,22,HOU50_gp22,PBI_JUDY_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2419958,55006728,23,HOU50_gp23,PBI_JUDY_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2419958,55006729,24,HOU50_gp24,PBI_JUDY_24,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2419958,55006730,25,HOU50_gp25,PBI_JUDY_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
