#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2500581,65118390,KNU36_gp002,KNU36_gp002,SBP1_gp002,-,-,-,phosphatase,protein-coding,-,-,-,phosphatase,20210607,-
2500581,65118391,KNU36_gp003,KNU36_gp003,SBP1_gp003,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2500581,65118392,KNU36_gp004,KNU36_gp004,SBP1_gp004,-,-,-,metallo-dependent phosphatase-like protein,protein-coding,-,-,-,metallo-dependent phosphatase-like protein,20210607,-
2500581,65118393,KNU36_gp005,KNU36_gp005,SBP1_gp005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118394,KNU36_gp006,KNU36_gp006,SBP1_gp006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118395,KNU36_gp007,KNU36_gp007,SBP1_gp007,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2500581,65118396,KNU36_gp008,KNU36_gp008,SBP1_gp008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118397,KNU36_gp009,KNU36_gp009,SBP1_gp009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118398,KNU36_gp010,KNU36_gp010,SBP1_gp010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118399,KNU36_gp011,KNU36_gp011,SBP1_gp011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118400,KNU36_gp012,KNU36_gp012,SBP1_gp012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118401,KNU36_gp013,KNU36_gp013,SBP1_gp013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118402,KNU36_gp014,KNU36_gp014,SBP1_gp014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118403,KNU36_gp015,KNU36_gp015,SBP1_gp015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118404,KNU36_gp016,KNU36_gp016,SBP1_gp016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118405,KNU36_gt001,KNU36_gt001,SBP1_tRNA1,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2500581,65118406,KNU36_gt002,KNU36_gt002,SBP1_tRNA2,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2500581,65118407,KNU36_gt003,KNU36_gt003,SBP1_tRNA3,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2500581,65118408,KNU36_gt004,KNU36_gt004,SBP1_tRNA4,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2500581,65118409,KNU36_gp112,KNU36_gp112,SBP1_gp017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118410,KNU36_gp111,KNU36_gp111,SBP1_gp018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118411,KNU36_gp110,KNU36_gp110,SBP1_gp019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118412,KNU36_gp109,KNU36_gp109,SBP1_gp020,-,-,-,ATPase,protein-coding,-,-,-,ATPase,20210607,-
2500581,65118413,KNU36_gp108,KNU36_gp108,SBP1_gp021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118414,KNU36_gp107,KNU36_gp107,SBP1_gp022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118415,KNU36_gp106,KNU36_gp106,SBP1_gp023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500581,65118416,KNU36_gp105,KNU36_gp105,SBP1_gp024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
