#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
59201,39817053,CVJ36_RS23120,CVJ36_RS23120,CVJ36_23475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
59201,39817054,CVJ36_RS23090,CVJ36_RS23090,CVJ36_23445,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
59201,39817055,CVJ36_RS23095,CVJ36_RS23095,CVJ36_23450,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
59201,39817056,CVJ36_RS23080,CVJ36_RS23080,CVJ36_23435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
59201,39817057,CVJ36_RS23000,CVJ36_RS23000,CVJ36_23355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
59201,39817059,CVJ36_RS23075,CVJ36_RS23075,CVJ36_23430,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
59201,39817060,CVJ36_RS22950,CVJ36_RS22950,CVJ36_23305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
59201,39817061,CVJ36_RS22970,CVJ36_RS22970,CVJ36_23325,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
59201,39817062,CVJ36_RS22985,CVJ36_RS22985,CVJ36_23340,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
59201,39817063,CVJ36_RS23115,CVJ36_RS23115,CVJ36_23470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
59201,39817064,CVJ36_RS23065,CVJ36_RS23065,CVJ36_23420,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190423,-
59201,39817066,CVJ36_RS22960,CVJ36_RS22960,CVJ36_23315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190525,-
59201,40104385,E5O02_RS24470,E5O02_RS24470,E5O02_24470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,40104398,E5O02_RS24455,E5O02_RS24455,E5O02_24455,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40104415,E5O02_RS24395,E5O02_RS24395,E5O02_24395,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,40104419,E5O02_RS24460,E5O02_RS24460,E5O02_24460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,40104423,E5O02_RS24425,E5O02_RS24425,E5O02_24425,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,40104432,E5O02_RS24420,E5O02_RS24420,E5O02_24420,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,40104446,E5O02_RS24500,E5O02_RS24500,E5O02_24500,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,40104447,E5O02_RS24465,E5O02_RS24465,E5O02_24465,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,40104452,E5O02_RS24580,E5O02_RS24580,E5O02_24580,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40104461,E5O02_RS24525,E5O02_RS24525,E5O02_24525,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190504,-
59201,40104469,E5O02_RS23950,E5O02_RS23950,E5O02_23950,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,40104496,E5O02_RS24000,E5O02_RS24000,E5O02_24000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,40104521,E5O02_RS24265,E5O02_RS24265,E5O02_24265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40104524,E5O02_RS24080,E5O02_RS24080,E5O02_24080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40104554,E5O02_RS23890,E5O02_RS23890,E5O02_23890,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
59201,40104590,E5N98_RS25415,E5N98_RS25415,E5N98_25415,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,40104602,E5N98_RS24940,E5N98_RS24940,E5N98_24940,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,40104629,E5N98_RS24815,E5N98_RS24815,E5N98_24815,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,40104634,E5N98_RS25095,E5N98_RS25095,E5N98_25095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
59201,40104658,E5N98_RS25160,E5N98_RS25160,E5N98_25160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,40104659,E5N98_RS25180,E5N98_RS25180,E5N98_25180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40104676,E5N98_RS24980,E5N98_RS24980,E5N98_24980,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,40104729,E5N98_RS25080,E5N98_RS25080,E5N98_25080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40104738,E5N98_RS24530,E5N98_RS24530,E5N98_24530,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
59201,40104774,E5N98_RS24760,E5N98_RS24760,E5N98_24760,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40104831,E5N90_RS23835,E5N90_RS23835,E5N90_23835,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
59201,40104832,E5N90_RS24020,E5N90_RS24020,E5N90_24020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40104864,E5N90_RS24205,E5N90_RS24205,E5N90_24205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40104919,E5N87_RS24965,E5N87_RS24965,E5N87_24965,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
59201,40104937,E5N87_RS25150,E5N87_RS25150,E5N87_25150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40104948,E5N87_RS25335,E5N87_RS25335,E5N87_25335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40105022,E5N87_RS23925,E5N87_RS23925,E5N87_23925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40105037,E5N87_RS23480,E5N87_RS23480,E5N87_23480,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
59201,40105047,E5N87_RS24250,E5N87_RS24250,E5N87_24250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40105048,E5N87_RS23490,E5N87_RS23490,E5N87_23490,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
59201,40105049,E5N87_RS23750,E5N87_RS23750,E5N87_23750,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,40105052,E5N87_RS24060,E5N87_RS24060,E5N87_24060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,40105078,E5N87_RS23670,E5N87_RS23670,E5N87_23670,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,40105107,E5N87_RS24350,E5N87_RS24350,E5N87_24350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40105114,E5N87_RS24625,E5N87_RS24625,E5N87_24625,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40105115,E5N87_RS24145,E5N87_RS24145,E5N87_24145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40105119,E5N87_RS24215,E5N87_RS24215,E5N87_24215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
59201,40105125,E5N87_RS23780,E5N87_RS23780,E5N87_23780,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40105134,E5N87_RS24425,E5N87_RS24425,E5N87_24425,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,40105138,E5N87_RS24635,E5N87_RS24635,E5N87_24635,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40105150,E5N87_RS23775,E5N87_RS23775,E5N87_23775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40105151,E5N87_RS24380,E5N87_RS24380,E5N87_24380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40105152,E5N87_RS24445,E5N87_RS24445,E5N87_24445,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,40105161,E5N87_RS24130,E5N87_RS24130,E5N87_24130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,40105170,E5N87_RS24645,E5N87_RS24645,E5N87_24645,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201003,-
59201,40105174,E5N87_RS24495,E5N87_RS24495,E5N87_24495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40105176,E5N87_RS24135,E5N87_RS24135,E5N87_24135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40105182,E5N87_RS24040,E5N87_RS24040,E5N87_24040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,40105184,E5N87_RS24265,E5N87_RS24265,E5N87_24265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40105186,E5N87_RS24295,E5N87_RS24295,E5N87_24295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40105192,E5N87_RS24070,E5N87_RS24070,E5N87_24070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,40105199,E5N87_RS24415,E5N87_RS24415,E5N87_24415,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40105202,E5N87_RS23965,E5N87_RS23965,E5N87_23965,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40105224,E5N87_RS24195,E5N87_RS24195,E5N87_24195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40105250,E5N87_RS23825,E5N87_RS23825,E5N87_23825,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40105253,E5N87_RS24000,E5N87_RS24000,E5N87_24000,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
59201,40105256,E5N87_RS24740,E5N87_RS24740,E5N87_24740,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40105260,E5N87_RS23470,E5N87_RS23470,E5N87_23470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191025,-
59201,40105264,E5N87_RS23495,E5N87_RS23495,E5N87_23495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
59201,40105274,E5N87_RS24210,E5N87_RS24210,E5N87_24210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
59201,40105287,E5N87_RS24785,E5N87_RS24785,E5N87_24785,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190503,-
59201,40105289,E5N87_RS24030,E5N87_RS24030,E5N87_24030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
59201,40105299,E5N87_RS23760,E5N87_RS23760,E5N87_23760,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190508,-
