#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
113474,30423186,rps12,BOP67_gp040,-,-,-,-,ribosomal protein S12,protein-coding,-,-,-,-,20170310,-
113474,30423187,clpP,BOP67_gp039,-,-,-,-,ATP-dependent Clp protease proteolytic subunit,protein-coding,-,-,-,-,20170310,-
113474,30423188,trnH,BOP67_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20161210,-
113474,30423189,trnL,BOP67_gt024,-,-,-,-,tRNA,tRNA,-,-,-,-,20161210,-
113474,30423190,trnI,BOP67_gt037,-,-,-,-,tRNA,tRNA,-,-,-,-,20161210,-
113474,30423191,trnN,BOP67_gt031,-,-,-,-,tRNA,tRNA,-,-,-,-,20161210,-
113474,30423192,rpoC1,BOP67_gp074,-,-,-,-,RNA polymerase beta' subunit,protein-coding,-,-,-,-,20170310,-
113474,30423193,trnC,BOP67_gt007,-,-,-,-,tRNA,tRNA,-,-,-,-,20161210,-
113474,30423194,rrn4.5S,BOP67_gr006,-,-,-,-,4.5S ribosomal RNA,rRNA,-,-,-,-,20161210,-
113474,30423195,trnA,BOP67_gt033,-,-,-,-,tRNA,tRNA,-,-,-,-,20161210,-
113474,30423196,rpoB,BOP67_gp073,-,-,-,-,RNA polymerase beta subunit,protein-coding,-,-,-,-,20170310,-
113474,30423197,matK,BOP67_gp084,-,-,-,-,maturase K,protein-coding,-,-,-,-,20170310,-
113474,30423198,ycf3,BOP67_gp064,-,-,-,-,photosystem I assembly protein Ycf3,protein-coding,-,-,-,-,20170908,-
113474,30423199,rpl32,BOP67_gp016,-,-,-,-,ribosomal protein L32,protein-coding,-,-,-,-,20170310,-
113474,30423200,rps7,BOP67_gp019,-,-,-,-,ribosomal protein S7,protein-coding,-,-,-,-,20201217,-
113474,30423201,trnL,BOP67_gt036,-,-,-,-,tRNA,tRNA,-,-,-,-,20161210,-
113474,30423202,psaA,BOP67_gp065,-,-,-,-,photosystem I P700 chlorophyll a apoprotein A1,protein-coding,-,-,-,-,20170310,-
113474,30423203,psbB,BOP67_gp038,-,-,-,-,photosystem II 47 kDa protein,protein-coding,-,-,-,-,20170310,-
113474,30423204,ndhH,BOP67_gp008,-,-,-,-,NADH dehydrogenase subunit 7,protein-coding,-,-,-,-,20170310,-
113474,30423205,trnS,BOP67_gt015,-,-,-,-,tRNA,tRNA,-,-,-,-,20161210,-
113474,30423206,ndhF,BOP67_gp017,ndh5,-,-,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20170310,-
113474,30423207,rps16,BOP67_gp083,-,-,-,-,ribosomal protein S16,protein-coding,-,-,-,-,20170310,-
113474,30423208,psbT,BOP67_gp037,-,-,-,-,photosystem II protein T,protein-coding,-,-,-,-,20170908,-
113474,30423209,atpF,BOP67_gp079,-,-,-,-,ATP synthase CF0 B subunit,protein-coding,-,-,-,-,20170310,-
113474,30423210,psaC,BOP67_gp013,-,-,-,-,photosystem I subunit VII,protein-coding,-,-,-,-,20170908,-
113474,30423211,rbcL,BOP67_gp057,-,-,-,-,"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",protein-coding,-,-,-,-,20170310,-
113474,30423212,trnI,BOP67_gt026,-,-,-,-,tRNA,tRNA,-,-,-,-,20161210,-
113474,30423213,trnV,BOP67_gt035,-,-,-,-,tRNA,tRNA,-,-,-,-,20161210,-
113474,30423214,rpl23,BOP67_gp022,-,-,-,-,ribosomal protein L23,protein-coding,-,-,-,-,20170310,-
113474,30423215,psaI,BOP67_gp055,-,-,-,-,photosystem I subunit VIII,protein-coding,-,-,-,-,20170908,-
113474,30423216,accD,BOP67_gp056,-,-,-,-,acetyl-CoA carboxylase beta subunit,protein-coding,-,-,-,-,20170310,-
113474,30423217,trnS,BOP67_gt012,-,-,-,-,tRNA,tRNA,-,-,-,-,20161210,-
113474,30423218,rps3,BOP67_gp026,-,-,-,-,ribosomal protein S3,protein-coding,-,-,-,-,20170310,-
113474,30423219,petD,BOP67_gp033,-,-,-,-,cytochrome b6/f complex subunit IV,protein-coding,-,-,-,-,20170908,-
113474,30423220,atpH,BOP67_gp078,-,-,-,-,ATP synthase CF0 C subunit,protein-coding,-,-,-,-,20170908,-
113474,30423221,rpoA,BOP67_gp032,-,-,-,-,RNA polymerase alpha subunit,protein-coding,-,-,-,-,20170310,-
113474,30423222,rps15,BOP67_gp007,-,-,-,-,ribosomal protein S15,protein-coding,-,-,-,-,20170310,-
113474,30423223,trnQ,BOP67_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20161210,-
113474,30423224,trnK,BOP67_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20161210,-
113474,30423225,psbC,BOP67_gp069,-,-,-,-,photosystem II 44 kDa protein,protein-coding,-,-,-,-,20170310,-
113474,30423226,rps11,BOP67_gp031,-,-,-,-,ribosomal protein S11,protein-coding,-,-,-,-,20170310,-
113474,30423227,psbJ,BOP67_gp051,-,-,-,-,photosystem II protein J,protein-coding,-,-,-,-,20170908,-
113474,30423228,ndhD,BOP67_gp014,ndh4,-,-,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,-,20170310,-
113474,30423229,trnA,BOP67_gt027,-,-,-,-,tRNA,tRNA,-,-,-,-,20161210,-
